Date;Heure;genotype;plante;geno_plante;Plante;SPAD
27/07/2022;11;verdiso;9182;verdiso_9182;verdisco;38.1
27/07/2022;11;verdiso;9195;verdiso_9195;verdisco;35.7
27/07/2022;11;pardina;9140;pardina_9140;pardina;35
27/07/2022;11;pardina;9136;pardina_9136;pardina;31.8
27/07/2022;11;gerhma;9037;gerhma_9037;ghemra;35.1
27/07/2022;11;graeco;9327;graeco_9327;graeco;34.1
27/07/2022;11;graeco;9328;graeco_9328;graeco;31.7
27/07/2022;11;morrastel;9002;morrastel_9002;morrast;42.7
27/07/2022;11;morrastel;9004;morrastel_9004;morrast;38.1
27/07/2022;11;chaptal;9124;chaptal_9124;Chaptal;3226
27/07/2022;11;chaptal;9122;chaptal_9122;Chaptal;30.5
27/07/2022;11;souso;9474;souso_9474;souso;35.9
27/07/2022;11;souso;9479;souso_9479;souso;33.2
27/07/2022;11;mauzac;9105;mauzac_9105;mauzac;45.4
27/07/2022;11;mauzac;9104;mauzac_9104;mauzac;50.7
27/07/2022;11;freisa;9171;freisa_9171;freisa;29.4
27/07/2022;11;freisa;9166;freisa_9166;freisa;40.9
27/07/2022;11;belledenise;9352;belledenise_9352;belleden;33.8
27/07/2022;11;belledenise;9351;belledenise_9351;belleden;30.9
27/07/2022;11;ahmehsal;9277;ahmehsal_9277;ahmehsal;36.6
27/07/2022;11;ahmehsal;9281;ahmehsal_9281;ahmehsal;34.2
27/07/2022;11;totika;9488;totika_9488;totika;36.3
27/07/2022;11;totika;9487;totika_9487;totika;37.4
27/07/2022;11;staphid;9219;staphid_9219;staphid;38.8
27/07/2022;11;staphid;9218;staphid_9218;staphid;35.7
27/07/2022;11;affenthal;9199;affenthal_9199;affenth;35.7
27/07/2022;11;affenthal;9209;affenthal_9209;affenth;37.9
27/07/2022;11;plantdec;9301;plantdec_9301;plantdec;37.1
27/07/2022;11;plantdec;9310;plantdec_9310;plantdec;42.5
27/07/2022;11;lauzetb;9076;lauzetb_9076;lauzetb;38.2
27/07/2022;11;lauzetb;9080;lauzetb_9080;lauzetb;37
27/07/2022;11;verdiso;9192;verdiso_9192;verdisco;34
27/07/2022;11;verdiso;9191;verdiso_9191;verdisco;31.5
27/07/2022;11;pardina;9150;pardina_9150;pardina;37.6
27/07/2022;11;pardina;9148;pardina_9148;pardina;36.5
27/07/2022;11;gerhma;9038;gerhma_9038;ghemra;39.2
27/07/2022;11;gerhma;9032;gerhma_9032;ghemra;36
27/07/2022;11;graeco;9319;graeco_9319;graeco;37.9
27/07/2022;11;graeco;9320;graeco_9320;graeco;33.4
27/07/2022;11;morrastel;9003;morrastel_9003;morrast;40.4
27/07/2022;11;morrastel;9013;morrastel_9013;morrast;43
27/07/2022;11;chaptal;9127;chaptal_9127;Chaptal;35.4
27/07/2022;11;chaptal;9125;chaptal_9125;Chaptal;31.8
27/07/2022;11;souso;9477;souso_9477;souso;37.5
27/07/2022;11;souso;9468;souso_9468;souso;37.2
27/07/2022;11;mauzac;9098;mauzac_9098;mauzac;45.4
27/07/2022;11;mauzac;9103;mauzac_9103;mauzac;51
27/07/2022;11;freisa;9169;freisa_9169;freisa;38.2
27/07/2022;11;freisa;9170;freisa_9170;freisa;36.4
27/07/2022;11;belledenise;9350;belledenise_9350;belleden;38.1
27/07/2022;11;belledenise;9359;belledenise_9359;belleden;37.5
27/07/2022;11;ahmehsal;9278;ahmehsal_9278;ahmehsal;33.6
27/07/2022;11;ahmehsal;9282;ahmehsal_9282;ahmehsal;34.3
27/07/2022;11;totika;9484;totika_9484;totika;41.1
27/07/2022;11;totika;9482;totika_9482;totika;42.7
27/07/2022;11;staphid;9215;staphid_9215;staphid;37.5
27/07/2022;11;staphid;9221;staphid_9221;staphid;40.7
27/07/2022;11;affenthal;9201;affenthal_9201;affenth;37.6
27/07/2022;11;affenthal;9202;affenthal_9202;affenth;38.8
27/07/2022;11;plantdec;9314;plantdec_9314;plantdec;43.8
27/07/2022;11;plantdec;9308;plantdec_9308;plantdec;41.5
27/07/2022;11;lauzetb;9077;lauzetb_9077;lauzetb;36
27/07/2022;11;lauzetb;9087;lauzetb_9087;lauzetb;35.1
27/07/2022;12;verdiso;9192;verdiso_9192;verdisco;41.3
27/07/2022;12;verdiso;9191;verdiso_9191;verdisco;41.4
27/07/2022;12;pardina;9150;pardina_9150;pardina;32.7
27/07/2022;12;pardina;9148;pardina_9148;pardina;35
27/07/2022;12;gerhma;9038;gerhma_9038;ghemra;42.9
27/07/2022;12;gerhma;9032;gerhma_9032;ghemra;37.1
27/07/2022;12;graeco;9319;graeco_9319;graeco;33.3
27/07/2022;12;graeco;9320;graeco_9320;graeco;30.1
27/07/2022;12;morrastel;9003;morrastel_9003;morrast;39.1
27/07/2022;12;morrastel;9013;morrastel_9013;morrast;43.8
27/07/2022;12;chaptal;9127;chaptal_9127;Chaptal;32
27/07/2022;12;chaptal;9125;chaptal_9125;Chaptal;32.6
27/07/2022;12;souso;9477;souso_9477;souso;36.4
27/07/2022;12;souso;9468;souso_9468;souso;34.6
27/07/2022;12;mauzac;9098;mauzac_9098;mauzac;48.9
27/07/2022;12;mauzac;9103;mauzac_9103;mauzac;48.2
27/07/2022;12;freisa;9169;freisa_9169;freisa;35.3
27/07/2022;12;freisa;9170;freisa_9170;freisa;43.8
27/07/2022;12;belledenise;9350;belledenise_9350;belleden;37.8
27/07/2022;12;belledenise;9359;belledenise_9359;belleden;35.7
27/07/2022;12;ahmehsal;9278;ahmehsal_9278;ahmehsal;34.3
27/07/2022;12;ahmehsal;9282;ahmehsal_9282;ahmehsal;35.6
27/07/2022;12;totika;9484;totika_9484;totika;37.4
27/07/2022;12;totika;9482;totika_9482;totika;42.4
27/07/2022;12;staphid;9215;staphid_9215;staphid;33.2
27/07/2022;12;staphid;9221;staphid_9221;staphid;39.3
27/07/2022;12;affenthal;9201;affenthal_9201;affenth;38.3
27/07/2022;12;affenthal;9202;affenthal_9202;affenth;34.6
27/07/2022;12;plantdec;9314;plantdec_9314;plantdec;41.6
27/07/2022;12;plantdec;9308;plantdec_9308;plantdec;41.2
27/07/2022;12;lauzetb;9077;lauzetb_9077;lauzetb;35.3
27/07/2022;12;lauzetb;9087;lauzetb_9087;lauzetb;36.4
27/07/2022;12;verdiso;9182;verdiso_9182;verdisco;31.1
27/07/2022;12;verdiso;9195;verdiso_9195;verdisco;34.3
27/07/2022;12;pardina;9140;pardina_9140;pardina;33.5
27/07/2022;12;pardina;9136;pardina_9136;pardina;34.4
27/07/2022;12;gerhma;9037;gerhma_9037;ghemra;34.1
27/07/2022;12;gerhma;9041;gerhma_9041;ghemra;42.5
27/07/2022;12;graeco;9327;graeco_9327;graeco;36.9
27/07/2022;12;graeco;9328;graeco_9328;graeco;35.6
27/07/2022;12;morrastel;9002;morrastel_9002;morrast;38.4
27/07/2022;12;morrastel;9004;morrastel_9004;morrast;34.6
27/07/2022;12;chaptal;9124;chaptal_9124;Chaptal;35.2
27/07/2022;12;chaptal;9122;chaptal_9122;Chaptal;35.4
27/07/2022;12;souso;9474;souso_9474;souso;38.6
27/07/2022;12;souso;9479;souso_9479;souso;31.1
27/07/2022;12;mauzac;9105;mauzac_9105;mauzac;48.4
