"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;0,113071517186472;-0,117506223456499;15,88;1,87470923785153
1;"0";1;1;"1";0;0,490847386681171;-0,131122112246036;17,3;1,84267820802588
1;"0";1;1;"1";1;1,34831841040367;0,781918655450722;18,34;1,83591246782415
1;"0";1;1;"1";2;1,8139164681287;-0,224867542628435;20,3;1,77728678398025
1;"0";1;1;"1";3;3,55540796020025;1,39775606839244;23,26;1,77006315717933
1;"0";1;1;"1";4;2,16638787899905;0,24922517458948;26,55;1,76614602643043
1;"0";1;1;"1";5;3,01879751337634;2,25568918254497;31,09;1,74218280119219
1;"0";1;1;"p";0;8,12506483610785;7,76576486521978;30,85;0,206590155436307
1;"0";1;1;"F1";0;10,0394904901132;5,49810651015693;32,25;0
1;"0";1;1;"F2";0;9,18709997301909;5,42373980814504;28,07;0
1;"0";1;1;"F3";0;6,7019439489305;7,34561377277856;25,47;0
1;"0";1;1;"F4";0;6,43180948108169;11,2123989192898;26,53;0
1;"0";1;1;"F5";0;4,3409997658135;8,71109631173907;30,04;0
1;"0";1;1;"1";6;0,40286479587975;0,343492535353335;35,83;1,6868493036194
1;"0";1;1;"p";0;-3,15763558984716;-6,62418548556859;35,2;0,181428659305729
1;"0";1;1;"F1";0;0,0547150895524133;-7,97932500331614;35,12;0
1;"0";1;1;"F2";0;0,437873153534489;-8,0492528089839;31,63;0
1;"0";1;1;"F3";0;-3,44198683410162;-6,32461183871203;28,59;0
1;"0";1;1;"F4";0;-7,74796187899922;-4,37787638860097;32,92;0
1;"0";1;1;"F5";0;-5,88796154558562;-4,29244360975538;36,28;0
1;"0";1;1;"1";7;2,09911044790677;0,953124135567278;41,34;1,64529233505809
1;"0";1;1;"p";0;2,16170464664567;8,17605165605952;39,55;0,214766494102584
1;"0";1;1;"F1";0;6,0024024389604;8,27321372740812;41,12;0
1;"0";1;1;"F2";0;5,78472525008035;9,65886037841308;36,42;0
1;"0";1;1;"F3";0;1,53281399796407;9,33060635463418;32,92;0
1;"0";1;1;"F4";0;-1,58452465966592;9,24575534612149;35,94;0
1;"0";1;1;"F5";0;-1,31266399810167;7,21888786631581;40,46;0
1;"0";1;1;"1";8;-0,442395727626499;-0,9945787061738;45,56;1,62670833090149
1;"0";1;1;"p";0;-7,5189194135283;-2,68671124320239;43,26;0,248093067777159
1;"0";1;1;"F1";0;-8,49550016620897;-5,25199680888385;45,67;0
1;"0";1;1;"F2";0;-8,71735279814066;-7,38998217125306;39,44;0
1;"0";1;1;"F3";0;-11,1531257736995;-4,79567879432565;36,47;0
1;"0";1;1;"F4";0;-9,47883275548563;0,279825406161251;38,64;0
1;"0";1;1;"F5";0;-7,82255131163538;0,118481739544414;43,88;0
1;"0";1;1;"1";9;1,5598903491756;-0,391212758639058;51,78;1,61222706239905
1;"0";1;1;"p";0;-3,35226390850507;6,93160367691016;51,75;0,230235623369017
1;"0";1;1;"F1";0;-0,130415431517913;8,22689993311394;53,66;0
1;"0";1;1;"F2";0;-1,5295200568431;13,1294101317156;49,02;0
1;"0";1;1;"F3";0;-2,897492567808;10,199964585329;46,8;0
