"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;0.349009776476967;-0.239456298259011;15.87;1.87470923785153
1;"0";1;1;"1";0;-0.506449541789129;0.153849377763741;16.2;1.84267820802588
1;"0";1;1;"1";1;0.33467162922961;0.129046642751665;17.38;1.83591246782415
1;"0";1;1;"1";2;-1.29050714648921;0.190641666520549;18.98;1.77728678398025
1;"0";1;1;"1";3;0.0921206490964293;-0.109425624056104;21.17;1.77006315717933
1;"0";1;1;"p";0;1.9597311280347;-10.3910855629454;25.08;0.231905616042756
1;"0";1;1;"F1";0;7.41336021062157;-9.69911025300814;22.08;0
1;"0";1;1;"F2";0;4.3812066605814;-16.3277560309162;21.87;0
1;"0";1;1;"F3";0;1.57553381550323;-18.2876539584602;22.69;0
1;"0";1;1;"F4";0;-5.09291375478343;-11.6380820171742;24.05;0
1;"0";1;1;"F5";0;-1.65913036846411;-7.85511603056559;27.86;0
1;"0";1;1;"1";4;-1.33051409271055;1.74890975778534;24.24;1.74380349452293
1;"0";1;1;"1";5;-0.469080211741223;0.393021978978361;27.05;1.67836107931621
1;"0";1;1;"p";0;7.65953314375331;-0.403310185935207;31.25;0.18359063231764
1;"0";1;1;"F1";0;6.59542992765536;3.26000584540716;33.72;0
1;"0";1;1;"F2";0;11.2175373670768;4.79017669156936;30.38;0
1;"0";1;1;"F3";0;13.6961593307197;-2.25253820833588;26.12;0
1;"0";1;1;"F4";0;10.0969526462039;-4.23896999476518;28.16;0
1;"0";1;1;"F5";0;5.06411001916351;-3.16370486864718;30.42;0
1;"0";1;1;"1";6;-1.55102224307036;0.971815068815661;29.55;1.65734953240082
1;"0";1;1;"1";7;-0.599852652739762;0.489968194352078;32.92;1.61651931581579
1;"0";1;1;"1";8;-2.77082292424418;0.713771858852906;36.87;1.60163708420486
1;"0";1;1;"p";0;-8.49325183938084;8.79932733211558;34.02;0.199884656545049
1;"0";1;1;"F1";0;-12.6243241882215;7.34253590962421;36.45;0
1;"0";1;1;"F2";0;-14.1317084297136;6.21795031995081;30.98;0
1;"0";1;1;"F3";0;-10.1624758463082;11.8062678394581;25.66;0
1;"0";1;1;"F4";0;-7.47904713217989;14.6482408048805;30.09;0
1;"0";1;1;"F5";0;-5.32702832610007;11.870667213006;37.14;0
1;"0";1;1;"1";9;-0.00989363668037402;0.559598355706541;42.46;1.60111854425784
1;"0";1;1;"p";0;0.709473563700011;11.6984901691239;44.11;0.193892232256873
1;"0";1;1;"F1";0;5.42708612134321;11.0809695168643;48.34;0
1;"0";1;1;"F2";0;8.38421399671781;13.8630361459518;43.6;0
1;"0";1;1;"F3";0;3.52939968314699;19.262154405515;38.93;0
1;"0";1;1;"F4";0;-4.67403419317035;18.271057721589;41.17;0
1;"0";1;1;"F5";0;-5.76178204549614;10.2950120465843;44.62;0
1;"0";1;1;"1";10;-2.82735088166048;0.715914294462269;48.16;1.59693675764507
1;"0";1;1;"p";0;-12.2916251829405;7.71911441655872;49.8;0.184019815020213
1;"0";1;1;"F1";0;-14.8366586342712;3.30099210820107;54.11;0
1;"0";1;1;"F2";0;-16.8774325020177;1.54561692872429;46.21;0
1;"0";1;1;"F3";0;-16.0585643348676;12.1358744763399;42.75;0
1;"0";1;1;"F4";0;-13.1562342970866;15.7125461626697;45.58;0
1;"0";1;1;"F5";0;-7.07008349677255;11.8093592038069;52.09;0
1;"0";1;1;"1";11;0.100401368863036;1.60268752339653;56.37;1.54107942925328
1;"0";1;1;"p";0;-0.268271317904714;13.5328878758647;56.36;0.187575188389164
1;"0";1;1;"F1";0;3.02682979104727;15.5237692590172;60.98;0
1;"0";1;1;"F2";0;5.32910710840205;17.6442690005861;57.25;0
1;"0";1;1;"F3";0;-2.1705720783287;21.2189175282203;51.59;0
1;"0";1;1;"F4";0;-6.2235678164932;18.6482122657641;53.19;0
1;"0";1;1;"F5";0;-5.92077703281408;9.83401248692319;56.3;0
1;"0";1;1;"1";12;-3.27487735398566;0.110175029953032;66.28;1.48026167476243
1;"0";1;1;"p";0;-13.3910331380019;0.18223162933511;73.03;0.194015697642054
1;"0";1;1;"F1";0;-18.7771330624549;-1.71524764691732;75.86;0
1;"0";1;1;"F2";0;-19.6730106386784;-1.45485684750245;69.9;0
1;"0";1;1;"F3";0;-15.4875547761319;4.79749944614194;67.7;0
1;"0";1;1;"F4";0;-9.50873492633026;5.71723484484014;68.28;0
1;"0";1;1;"F5";0;-6.47810232606806;3.9040977727389;70.94;0
1;"0";1;1;"1";13;-0.362863919523235;0.955087899727406;74.39;1.44120343080555
1;"0";1;1;"p";0;4.48662870905937;11.8454561784094;74.83;0.199101327819695
1;"0";1;1;"F1";0;-0.936553530871748;13.0770382473336;72.78;0
1;"0";1;1;"F2";0;-0.31318261307514;18.5091196807112;69.07;0
1;"0";1;1;"F3";0;8.56141767861419;19.6587586078303;67.33;0
1;"0";1;1;"F4";0;12.1978329838754;11.9848428063856;74.37;0
1;"0";1;1;"F5";0;10.4423759436717;12.7165330277218;76.42;0
1;"0";1;1;"1";14;-3.50420283706492;0.0339528362659789;81.53;1.41200703057185
1;"0";1;1;"p";0;-14.535065373664;0.989814593349302;86.18;0.182161577454309
1;"0";1;1;"F1";0;-14.9786344176785;-4.73920334196841;88.04;0
1;"0";1;1;"F2";0;-21.07969839843;-4.77686370278814;82.19;0
1;"0";1;1;"F3";0;-21.7881957236127;1.54775735623263;78.94;0
1;"0";1;1;"F4";0;-21.6634817141454;5.95854486141157;81.57;0
1;"0";1;1;"F5";0;-13.642075011997;8.30808407554042;86.63;0
1;"0";1;1;"1";15;-0.313257445448565;0.210212609675524;86.96;1.39328193871022
1;"0";1;1;"p";0;3.52136856176345;11.7688216689358;89.91;0.216424423901962
1;"0";1;1;"F1";0;8.55692966165375;12.632317128838;96.22;0
1;"0";1;1;"F2";0;13.1642866380413;15.2669255802275;91.22;0
1;"0";1;1;"F3";0;7.96939808767248;20.8416841354698;84.45;0
1;"0";1;1;"F4";0;1.96486800650815;21.6707308798652;85.53;0
1;"0";1;1;"F5";0;-3.4006706136617;15.0880646027807;90.82;0
1;"0";1;1;"1";16;-3.60658700218902;-1.54722314468358;96.21;1.3778839967604
1;"0";1;1;"p";0;-13.6457818378741;5.22302552513301;100.65;0.195514642294434
1;"0";1;1;"F1";0;-16.0106010996362;-0.227967949381446;106.17;0
1;"0";1;1;"F2";0;-25.5678247636915;5.81639933224714;99.94;0
1;"0";1;1;"F3";0;-23.0211016208762;9.15888362298795;93.61;0
1;"0";1;1;"F4";0;-13.4992331646278;14.317393204437;93.46;0
1;"0";1;1;"F5";0;-11.675506203545;14.4534813061207;100.83;0
1;"0";1;1;"1";17;-1.11560660950465;-3.9696840181059;105.24;1.35843159233019
1;"0";1;1;"p";0;-1.54273349089965;-16.7330128404465;107.8;0.215642726014621
1;"0";1;1;"F1";0;5.59062561876802;-18.397370918662;114.42;0
1;"0";1;1;"F2";0;8.73138950311962;-21.7855861158938;106.52;0
1;"0";1;1;"F3";0;-0.59703926650616;-27.8147167903789;102.12;0
1;"0";1;1;"F4";0;-4.7697668206639;-27.1966190968282;103.26;0
1;"0";1;1;"F5";0;-11.0918371444908;-18.8760526004539;106.92;0
1;"0";1;1;"1";18;-2.41653282926408;-3.00755566349701;115.03;1.33287784114964
1;"0";1;1;"1";19;-0.197562910391997;-4.01863058611196;119.98;1.32164734470335
1;"0";1;1;"p";0;5.44456710583322;-17.210119087415;123.87;0.160212966082733
1;"0";1;1;"F1";0;-1.98238854709326;-22.1720571895545;127.14;0
1;"0";1;1;"F2";0;0.882659041619462;-29.6610626184757;119.98;0
1;"0";1;1;"F3";0;11.5975073055865;-26.8192099340175;117.43;0
1;"0";1;1;"F4";0;15.3837243617958;-21.0187478486945;125.51;0
1;"0";1;1;"F5";0;9.62664760161275;-18.5149572868943;130.75;0
1;"0";1;1;"1";20;-2.4263385150107;-3.45298113260159;133.31;1.30749587124334
1;"0";1;1;"p";0;-12.6048351057935;5.0562025621733;135.86;0.210072159444675
1;"0";1;1;"F1";0;-16.7171591349513;-0.76020449710407;143.93;0
1;"0";1;1;"F2";0;-23.3228545867353;-0.856576683338222;133.68;0
1;"0";1;1;"F3";0;-22.037507477785;10.4660724240709;130.5;0
1;"0";1;1;"F4";0;-14.7987172831847;15.130867866377;131.6;0
1;"0";1;1;"F5";0;-7.10885349563419;11.1598233024217;139.53;0
1;"0";1;1;"1";21;2.27701775611215;-2.39291519744029;144.05;1.30023714980297
1;"0";1;1;"p";0;6.4378840698935;-14.3394708315484;150.44;0.196884089865893
1;"0";1;1;"F1";0;12.1880787710227;-13.290775976452;158.12;0
1;"0";1;1;"F2";0;20.3577702905432;-15.6171122539222;149.59;0
1;"0";1;1;"F3";0;13.4373843944664;-24.9500785053013;144.24;0
1;"0";1;1;"F4";0;2.5511797019884;-25.5918318796355;145.41;0
1;"0";1;1;"F5";0;0.734990689826112;-21.2348538590229;155.31;0
1;"0";1;1;"1";22;-0.992910738480462;-1.29247544886189;155.28;1.25190364472327
1;"0";1;1;"1";23;-1.51459983366085;-0.494327287196477;165.8;1.20680838087221
1;"0";1;1;"p";0;4.63088327384848;-10.8602829775956;169.18;0.190436998897828
1;"0";1;1;"F1";0;13.4241518690589;-8.12250515379655;174.98;0
1;"0";1;1;"F2";0;16.3628244636235;-12.1752947340678;167.84;0
1;"0";1;1;"F3";0;13.8214998462709;-18.3625937561967;161.31;0
1;"0";1;1;"F4";0;2.51108989098953;-22.9155298026916;163.01;0
1;"0";1;1;"F5";0;-3.35887906257216;-17.7892870768521;167.38;0
2;"0";1;1;"0";0;-0.349009776476965;-19.760543701741;15.87;1.87470923785153
2;"0";1;1;"1";0;0.506449541789131;-20.1538493777637;16.2;1.84267820802588
2;"0";1;1;"1";1;-0.334671629229608;-20.1290466427517;17.38;1.83591246782415
2;"0";1;1;"1";2;1.29050714648921;-20.1906416665205;18.98;1.77728678398025
2;"0";1;1;"1";3;-0.0921206490964269;-19.8905743759439;21.17;1.77006315717933
2;"0";1;1;"p";0;-1.9597311280347;-9.6089144370546;25.08;0.231905616042756
2;"0";1;1;"F1";0;-7.41336021062157;-10.3008897469919;22.08;0
2;"0";1;1;"F2";0;-4.3812066605814;-3.6722439690838;21.87;0
2;"0";1;1;"F3";0;-1.57553381550323;-1.7123460415398;22.69;0
2;"0";1;1;"F4";0;5.09291375478343;-8.3619179828258;24.05;0
2;"0";1;1;"F5";0;1.65913036846411;-12.1448839694344;27.86;0
2;"0";1;1;"1";4;1.33051409271055;-21.7489097577853;24.24;1.74380349452293
2;"0";1;1;"1";5;0.469080211741225;-20.3930219789784;27.05;1.67836107931621
2;"0";1;1;"p";0;-7.65953314375331;-19.5966898140648;31.25;0.18359063231764
2;"0";1;1;"F1";0;-6.59542992765536;-23.2600058454072;33.72;0
2;"0";1;1;"F2";0;-11.2175373670768;-24.7901766915694;30.38;0
2;"0";1;1;"F3";0;-13.6961593307197;-17.7474617916641;26.12;0
2;"0";1;1;"F4";0;-10.0969526462039;-15.7610300052348;28.16;0
2;"0";1;1;"F5";0;-5.06411001916351;-16.8362951313528;30.42;0
2;"0";1;1;"1";6;1.55102224307036;-20.9718150688157;29.55;1.65734953240082
2;"0";1;1;"1";7;0.599852652739765;-20.4899681943521;32.92;1.61651931581579
2;"0";1;1;"1";8;2.77082292424418;-20.7137718588529;36.87;1.60163708420486
2;"0";1;1;"p";0;8.49325183938084;-28.7993273321156;34.02;0.199884656545049
