"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;0.0591003895281501;0.584166912247581;16.56;1.87470923785153
1;"0";1;1;"1";0;1.31254696707458;-0.391779642250741;18.29;1.84267820802588
1;"0";1;1;"1";1;1.51842337118457;-2.31170539764618;19.71;1.83591246782415
1;"0";1;1;"1";2;2.6303153972205;-2.21528899635637;21.94;1.77728678398025
1;"0";1;1;"1";3;2.0158280584046;-4.00291460325367;24.15;1.77006315717933
1;"0";1;1;"1";4;4.21793363028867;-3.70943368346988;27.79;1.76614602643043
1;"0";1;1;"1";5;2.18783428410909;-3.65289480621514;32.08;1.74218280119219
1;"0";1;1;"p";0;-3.91554604756984;-1.43439339154921;28.02;0.206590155436307
1;"0";1;1;"F1";0;-2.83299384210722;-3.17145433534133;26.87;0
1;"0";1;1;"F2";0;-5.74592021074756;-6.59971336448132;24.57;0
1;"0";1;1;"F3";0;-1.71558123957769;-2.77776781574971;22.03;0
1;"0";1;1;"F4";0;-0.80813844172378;0.329811236925069;25.15;0
1;"0";1;1;"F5";0;-0.716352022005053;-0.958938255084616;29.15;0
1;"0";1;1;"1";6;4.36398540815132;-4.28603482653427;38.37;1.6868493036194
1;"0";1;1;"p";0;12.5811145164667;-4.12175087334438;36.4;0.181428659305729
1;"0";1;1;"F1";0;13.464411627674;-8.54559379701752;37.27;0
1;"0";1;1;"F2";0;12.936422511041;-7.95786299748668;34.63;0
1;"0";1;1;"F3";0;12.1557704054513;-6.0494651642144;31.42;0
1;"0";1;1;"F4";0;11.4122079642997;-0.586067421407397;31.2;0
1;"0";1;1;"F5";0;11.7648110426265;-0.184232792294293;35.48;0
1;"0";1;1;"1";7;2.45937121326726;-5.116543567395;46.84;1.64529233505809
1;"0";1;1;"p";0;-3.53507457633731;-0.184016864427009;44.27;0.214766494102584
1;"0";1;1;"F1";0;-3.16970452717759;-3.33339850646041;43.38;0
1;"0";1;1;"F2";0;-4.41308905013861;-1.67072146985319;38.93;0
1;"0";1;1;"F3";0;-2.90995547045058;-1.33802124199903;38.19;0
1;"0";1;1;"F4";0;-0.937407231407502;1.26671549031157;39.04;0
1;"0";1;1;"F5";0;-1.38180228958283;-0.0928112774533508;42.38;0
1;"0";1;1;"1";8;5.10764191291203;-7.71559383651311;53.32;1.62670833090149
1;"0";1;1;"1";9;6.16140755919623;-3.57598298974125;60.16;1.62618167398274
1;"0";1;1;"p";0;2.22324238244108;3.94156016215306;56.57;0.193892232256873
1;"0";1;1;"F1";0;-0.0516484738712446;2.22850102952903;54.56;0
1;"0";1;1;"F2";0;-2.03033125363296;3.06115609441149;52.9;0
1;"0";1;1;"F3";0;3.91854498861421;3.6449980716854;49.12;0
1;"0";1;1;"F4";0;8.50664985425689;5.40323404613991;52.4;0
1;"0";1;1;"F5";0;5.82208602148742;2.53385832522323;55.63;0
1;"0";1;1;"1";10;3.82161401753933;-5.30600211750276;71.44;1.62193442771944
1;"0";1;1;"p";0;-4.38251018085553;-2.81368469443803;67.72;0.184019815020213
1;"0";1;1;"F1";0;-2.30883817573193;-5.84946868134598;67.99;0
1;"0";1;1;"F2";0;-3.59442911383812;-6.74933308216383;63.25;0
1;"0";1;1;"F3";0;-2.67309637127096;-3.11118163156785;60.57;0
1;"0";1;1;"F4";0;-2.50686511223823;2.0722600019919;63.02;0
1;"0";1;1;"F5";0;-2.42647385942376;1.03938186471194;64.09;0
1;"0";1;1;"1";11;5.32132353288606;-3.52741521504946;77.82;1.56520273591928
1;"0";1;1;"p";0;5.67461262782665;4.26566420295959;76.03;0.187575188389164
1;"0";1;1;"F1";0;2.29495450485846;3.41948988767041;74.13;0
1;"0";1;1;"F2";0;1.74172452834764;3.6262181950931;71.05;0
1;"0";1;1;"F3";0;6.96389870084177;5.32827486633976;68.55;0
1;"0";1;1;"F4";0;10.440061728579;4.84995425775965;72.78;0
1;"0";1;1;"F5";0;10.6045006775071;5.29968732534022;78.14;0
1;"0";1;1;"1";12;5.2844108754065;-7.50762092025085;87.04;1.50343296992631
1;"0";1;1;"p";0;-4.05427404787354;-9.41176479708949;85.13;0.194015697642054
1;"0";1;1;"F1";0;-5.86703533077997;-2.65155795623058;83.83;0
1;"0";1;1;"F2";0;-7.83326090188621;-4.62600902007793;78.02;0
1;"0";1;1;"F3";0;-4.68095308490711;-9.03009296875699;76.41;0
1;"0";1;1;"F4";0;-1.9786438459464;-12.6319292750079;78.15;0
1;"0";1;1;"F5";0;-0.217901973423252;-11.9407071266767;81.63;0
1;"0";1;1;"1";13;8.89982736419327;-3.53062914095223;95.45;1.46376332724532
1;"0";1;1;"p";0;14.8639875956016;3.27420684047208;91.3;0.199101327819695
1;"0";1;1;"F1";0;18.2900616091101;-1.16927342323588;91.63;0
1;"0";1;1;"F2";0;17.7761338840191;-2.72261765211202;86.59;0
1;"0";1;1;"F3";0;14.1770689862746;-0.783408570598828;81.96;0
1;"0";1;1;"F4";0;11.1843931296939;4.31875677535374;85.31;0
1;"0";1;1;"F5";0;11.2712453657939;5.84370159044851;89.62;0
1;"0";1;1;"1";14;7.33272594582279;-3.86617816053246;103.37;1.43410990078506
1;"0";1;1;"p";0;-2.8054296512491;0.667639335745937;107.72;0.182161577454309
1;"0";1;1;"F1";0;-3.15924420693548;-3.60338106460156;104.63;0
1;"0";1;1;"F2";0;-5.29751469535602;-3.57510884590927;101.71;0
1;"0";1;1;"F3";0;-5.84708266843789;1.39355043431539;101.33;0
1;"0";1;1;"F4";0;-4.86739116716117;4.94988345616896;106.51;0
1;"0";1;1;"F5";0;-2.70824428999604;4.48794757011108;108.8;0
1;"0";1;1;"1";15;10.0266880570831;1.28444977624318;110.72;1.41509169545715
1;"0";1;1;"p";0;9.17104364021327;9.33478347317025;108.38;0.216424423901962
1;"0";1;1;"F1";0;6.18302533655387;7.7681799441954;107.89;0
1;"0";1;1;"F2";0;2.89369332589647;9.14120395114668;103.63;0
1;"0";1;1;"F3";0;10.1563829130727;10.6230406359141;101.12;0
1;"0";1;1;"F4";0;13.7464257867627;14.5379342698546;107.37;0
1;"0";1;1;"F5";0;11.9757434946134;8.34819403134146;110.42;0
