"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;0.00469861632111238;0.226085490760846;13.31;1.87470923785153
1;"0";1;1;"1";0;-0.0509133674331893;-1.83912813190943;15.77;1.84267820802588
1;"0";1;1;"1";1;-0.640617808651706;-3.94956616037821;16.72;1.83591246782415
1;"0";1;1;"1";2;-0.406118941511868;-3.12797606713819;18.48;1.77728678398025
1;"0";1;1;"1";3;-1.50715245568756;-4.44908363303203;19.86;1.77006315717933
1;"0";1;1;"1";4;-1.09145360213813;-3.56066117543784;21.03;1.76614602643043
1;"0";1;1;"1";5;-2.72946363641387;-5.43688694213331;23.88;1.74218280119219
1;"0";1;1;"p";0;-12.3727675329527;-1.29717802011977;24.65;0.206590155436307
1;"0";1;1;"F1";0;-17.8303728326744;-3.30791032265285;27.79;0
1;"0";1;1;"F2";0;-20.5402891494011;-1.63302120502788;24.59;0
1;"0";1;1;"F3";0;-17.3077783566914;0.598967588630282;18.13;0
1;"0";1;1;"F4";0;-11.3564011983746;4.19468864559019;19.24;0
1;"0";1;1;"F5";0;-9.81663910086755;3.88787814531236;23.43;0
1;"0";1;1;"1";6;-1.31961788663714;-4.85728797574664;26.48;1.6868493036194
1;"0";1;1;"p";0;2.65815663992163;-0.751084155201422;30.73;0.181428659305729
1;"0";1;1;"F1";0;1.69025741502585;4.61433018951103;31.71;0
1;"0";1;1;"F2";0;3.19690231688948;6.08062522792871;26.61;0
1;"0";1;1;"F3";0;8.98229208443654;1.06490342169169;26.26;0
1;"0";1;1;"F4";0;8.96383903603414;-1.43472844820529;27.79;0
1;"0";1;1;"F5";0;6.20722251537162;-4.68766025782111;31.77;0
1;"0";1;1;"1";7;-4.43889622315109;-4.19872692363777;31.2;1.64529233505809
1;"0";1;1;"p";0;-9.38308967422568;3.21665918352829;32.14;0.214766494102584
1;"0";1;1;"F1";0;-14.0182428134864;0.638412613550646;34.43;0
1;"0";1;1;"F2";0;-15.6418460413108;-0.771130773010459;28.87;0
1;"0";1;1;"F3";0;-12.272763946044;5.07966283430065;24.52;0
1;"0";1;1;"F4";0;-7.16142542712702;7.10451308679722;26.25;0
1;"0";1;1;"F5";0;-5.31428637197296;6.84264038695134;31.11;0
1;"0";1;1;"1";8;-2.45004047556986;-7.00546040142169;35.96;1.62670833090149
1;"0";1;1;"1";9;-2.78448890270729;-5.87274496955662;41.44;1.62618167398274
1;"0";1;1;"p";0;-7.40171042850888;2.48608661037575;44.64;0.193892232256873
1;"0";1;1;"F1";0;-12.134811392444;-0.41912513151101;48.19;0
1;"0";1;1;"F2";0;-14.338273178566;3.97346592128457;42.06;0
1;"0";1;1;"F3";0;-11.564088187935;6.58773400963311;36.51;0
1;"0";1;1;"F4";0;-2.00258541732825;4.35162918926367;38.28;0
1;"0";1;1;"F5";0;-2.15930463815281;3.41192759523281;45.22;0
1;"0";1;1;"1";10;-2.29506790040015;-8.87103899825038;46.4;1.62193442771944
1;"0";1;1;"p";0;-5.95337176588461;-13.7760785320137;53.44;0.184019815020213
1;"0";1;1;"F1";0;-9.89911698911241;-9.72311731416637;57.13;0
1;"0";1;1;"F2";0;-12.0568081721584;-10.4836229082322;52.34;0
1;"0";1;1;"F3";0;-11.8569585768318;-22.0291181396741;51.36;0
1;"0";1;1;"F4";0;-1.95060854552534;-21.0629768160396;50.91;0
1;"0";1;1;"F5";0;0.73947347175605;-16.1199050240969;55.3;0
1;"0";1;1;"1";11;-2.84239823163654;-6.81849679198308;52.43;1.56520273591928
1;"0";1;1;"p";0;-6.78438156715853;-0.158739485408982;57.97;0.187575188389164
1;"0";1;1;"F1";0;-11.545133964681;-2.474260292805;60.07;0
1;"0";1;1;"F2";0;-14.3167034890724;-1.57487029315802;54.8;0
1;"0";1;1;"F3";0;-8.62112178875029;4.43809479030589;51.06;0
1;"0";1;1;"F4";0;-4.29075940547379;5.97235735893745;52.65;0
1;"0";1;1;"F5";0;-1.29969354233996;2.40999508056155;58.33;0
1;"0";1;1;"1";12;-3.05098780860124;-10.3407958122796;59.7;1.50343296992631
1;"0";1;1;"p";0;-7.28112978436268;-16.4859970998617;63.4;0.194015697642054
1;"0";1;1;"F1";0;-11.5434908706058;-15.6370106627027;67.38;0
1;"0";1;1;"F2";0;-14.6449411452403;-20.009402021441;62.87;0
1;"0";1;1;"F3";0;-10.4606530640429;-21.5549547554327;56.97;0
1;"0";1;1;"F4";0;-3.49699858440365;-21.0958074063165;59.75;0
1;"0";1;1;"F5";0;-2.29254247901237;-19.2426248761307;65.7;0
1;"0";1;1;"1";13;-2.74445265808348;-6.83866271922086;66.05;1.46376332724532
1;"0";1;1;"p";0;-3.74949280936077;1.73821866589346;71.53;0.199101327819695
1;"0";1;1;"F1";0;-10.1709826077253;2.26601480977889;75.29;0
1;"0";1;1;"F2";0;-13.1465267586398;0.528362080963783;70.06;0
1;"0";1;1;"F3";0;-9.08464250536748;3.34715549535556;63.66;0
1;"0";1;1;"F4";0;-0.228286183619313;10.7676374677231;66.38;0
1;"0";1;1;"F5";0;4.65570509559366;4.22022353666821;68.96;0
1;"0";1;1;"1";14;-4.48904919821326;-8.48874844795351;74.6;1.43410990078506
1;"0";1;1;"p";0;-7.22667547768104;-15.2495769736571;80;0.182161577454309
1;"0";1;1;"F1";0;-11.7134299562322;-11.7018968514926;82.84;0
1;"0";1;1;"F2";0;-14.8963902491896;-13.7031374101103;76.82;0
1;"0";1;1;"F3";0;-7.97798943992575;-17.2226018924395;72.65;0
1;"0";1;1;"F4";0;-3.18242272577355;-21.5117906141112;75.88;0
1;"0";1;1;"F5";0;-3.52896260521698;-19.1881705694491;82.56;0
1;"0";1;1;"1";15;-5.49441647504045;-5.93351134766613;80.4;1.41509169545715
1;"0";1;1;"p";0;-9.33844748364547;1.74747332911087;82.18;0.216424423901962
1;"0";1;1;"F1";0;-15.5312110423844;1.38280977793622;83.92;0
1;"0";1;1;"F2";0;-16.7563702678058;5.43921026018214;79.59;0
1;"0";1;1;"F3";0;-12.9537770149591;4.71755622021194;74.13;0
1;"0";1;1;"F4";0;-5.22241128690715;3.59948467549619;76.01;0
1;"0";1;1;"F5";0;-4.09086703884251;1.02235301128657;83.51;0
1;"0";1;1;"1";16;-5.9274219555261;-10.2284276744261;86.31;1.39945272162498
1;"0";1;1;"p";0;-10.5225568591334;-16.5496407872431;91.09;0.195514642294434
1;"0";1;1;"F1";0;-13.6766855302178;-14.8404677924169;97.34;0
1;"0";1;1;"F2";0;-19.8936477514178;-15.2532398120259;93.31;0
1;"0";1;1;"F3";0;-19.5661071176543;-15.4574875371877;85.63;0
1;"0";1;1;"F4";0;-12.3285132481974;-18.1605478363303;80.9;0
1;"0";1;1;"F5";0;-6.5926559714322;-20.6299690844327;86.53;0
1;"0";1;1;"1";17;-5.67015745275791;-8.22515161366577;92.61;1.37969581873184
1;"0";1;1;"p";0;-14.234618008895;-4.05232099376622;94.08;0.215642726014621
1;"0";1;1;"F1";0;-20.2306508645198;-8.2616427911901;95.63;0
1;"0";1;1;"F2";0;-21.7430346270783;-6.23502113070444;86.11;0
1;"0";1;1;"F3";0;-15.7475772333078;-1.91939943279305;83.25;0
1;"0";1;1;"F4";0;-16.6333729690559;3.74561300448638;90.6;0
1;"0";1;1;"F5";0;-11.6228865975407;1.80942439774861;94.91;0
1;"0";1;1;"1";18;-5.01307219878638;-10.5677866618568;97.41;1.35374206157853
1;"0";1;1;"p";0;-5.44636428463857;-14.6359874887996;107.2;0.216083790194898
1;"0";1;1;"F1";0;-10.8938438494367;-10.0022561207651;107.66;0
1;"0";1;1;"F2";0;-15.0669610747028;-18.3400011770851;107.96;0
1;"0";1;1;"F3";0;-11.8235435202154;-22.2932836824523;103.3;0
1;"0";1;1;"F4";0;-3.50969476314089;-24.3113071819416;102.25;0
1;"0";1;1;"F5";0;1.28565062816238;-18.3069785285361;107.57;0
1;"0";1;1;"1";19;-3.8071763131985;-8.8067883333164;103.48;1.32543423559899
1;"0";1;1;"p";0;-6.3652209379976;1.48040796584774;104.85;0.212396514957894
1;"0";1;1;"F1";0;-13.9712920221248;-0.214579545376104;103.28;0
1;"0";1;1;"F2";0;-10.7569139056315;4.49802836577132;97.35;0
1;"0";1;1;"F3";0;-4.5356098326287;8.10555877191327;96.98;0
1;"0";1;1;"F4";0;0.209286973760656;8.65805700423266;101.69;0
1;"0";1;1;"F5";0;-1.20201431406176;5.74072454546305;108.45;0
1;"0";1;1;"1";20;-5.20290411301175;-9.0401205188984;110.81;1.29773900212592
1;"0";1;1;"p";0;-15.178641194637;-3.9661802671526;113.1;0.221715387242914
1;"0";1;1;"F1";0;-20.9741657015928;-6.98344652807073;117.01;0
1;"0";1;1;"F2";0;-24.7727397259439;-8.39441618810066;109.67;0
1;"0";1;1;"F3";0;-18.7504907146858;-3.98833892522841;102.77;0
1;"0";1;1;"F4";0;-16.1949264888485;3.03867263642572;104.71;0
1;"0";1;1;"F5";0;-19.4467208814833;3.49990276123184;114;0
1;"0";1;1;"1";21;-3.33586772701608;-6.20028335219883;117.58;1.2585367610016
1;"0";1;1;"p";0;-9.7812133044427;2.7309663021075;117.82;0.170584952322015
1;"0";1;1;"F1";0;-17.5413723853057;6.03985297887659;116.91;0
1;"0";1;1;"F2";0;-15.8656594695218;2.51552520980131;110.91;0
1;"0";1;1;"F3";0;-13.7047863628669;5.29486459478754;108.46;0
1;"0";1;1;"F4";0;-6.61810982214353;7.87885677882386;108.75;0
1;"0";1;1;"F5";0;-4.33597030454451;8.58923641128304;117.91;0
1;"0";1;1;"1";22;-7.03305241117299;-9.65774273897918;125.91;1.22411687335971
1;"0";1;1;"p";0;-12.4194339700691;-1.01803246015712;126.47;0.200934523443767
1;"0";1;1;"F1";0;-19.2770864101939;-2.98554434333623;126.4;0
1;"0";1;1;"F2";0;-18.906909823416;-3.0719694241951;118.87;0
1;"0";1;1;"F3";0;-14.5209151962935;3.65168665942882;115.55;0
1;"0";1;1;"F4";0;-11.6484957756216;6.36620441986928;120.85;0
1;"0";1;1;"F5";0;-12.8696425259113;7.24858790467436;125.58;0
1;"0";1;1;"1";23;-2.01679791438621;-10.5741437557107;134.3;1.1950725062945
1;"0";1;1;"p";0;2.67570710091976;-4.16679666964388;132.6;0.227173591030581
1;"0";1;1;"F1";0;-3.22922494312959;2.25185408851077;133.07;0
1;"0";1;1;"F2";0;-2.23334715909653;2.3183930941345;124.33;0
1;"0";1;1;"F3";0;5.35569715009705;-0.661222061065317;123.76;0
1;"0";1;1;"F4";0;8.32429073633296;-4.59059250933806;127.02;0
1;"0";1;1;"F5";0;9.00820812797559;-0.594412207924112;133.82;0
1;"0";1;1;"1";24;-4.1010265405855;-10.8290771464844;143.39;1.16921427916412
1;"0";1;1;"p";0;-10.0546109992254;0.579907562675341;142.4;0.191333793650864
1;"0";1;1;"F1";0;-15.765700905039;1.94974408128381;146.01;0
1;"0";1;1;"F2";0;-18.1466705746251;-1.87876521510187;141.22;0
1;"0";1;1;"F3";0;-15.5974566892777;3.19336535959278;135.2;0
1;"0";1;1;"F4";0;-7.44576365050692;5.93175915918702;134.54;0
1;"0";1;1;"F5";0;-3.30901082701071;3.95697408802204;140.05;0
1;"0";1;1;"1";25;1.89442860206363;-6.86058654771996;147.78;1.1345127841687
1;"0";1;1;"p";0;9.32621424651902;-5.11950581011279;139.68;0.198923899188342
1;"0";1;1;"F1";0;13.7406458363257;-11.1210134322788;138.7;0
1;"0";1;1;"F2";0;8.85027495204595;-11.0411847770931;132.9;0
