"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.308980010268027;-0.197067520262094;20.05;1.87470923785153
1;"0";1;1;"1";0;-0.467901926719225;-0.706227440593094;21.3;1.84267820802588
1;"0";1;1;"1";1;-0.254408735310597;0.0551664503872336;23.44;1.83591246782415
1;"0";1;1;"1";2;-1.29681592697251;0.756441893256525;26.78;1.77728678398025
1;"0";1;1;"p";0;-2.85414165953081;10.5013039529633;24.66;0.225448586428588
1;"0";1;1;"F1";0;-2.42597820923761;13.5248244274818;27.6;0
1;"0";1;1;"F2";0;3.53033835315368;10.9242873659149;23.17;0
1;"0";1;1;"F3";0;0.343681544906499;10.3125534478983;17.78;0
1;"0";1;1;"F4";0;-4.47681004791887;7.95981869797434;17.25;0
1;"0";1;1;"F5";0;-7.90679443050559;7.88361413635761;23.21;0
1;"0";1;1;"1";3;-2.66893285344792;-0.841367588527719;29.83;1.75317239995984
1;"0";1;1;"p";0;-13.5818141949206;4.8356228841557;31.36;0.206590155436307
1;"0";1;1;"F1";0;-16.9601310491397;0.37491943822935;33.89;0
1;"0";1;1;"F2";0;-15.8124680571684;-1.37912436306513;27.54;0
1;"0";1;1;"F3";0;-16.4269895015146;3.52083108514444;22.6;0
1;"0";1;1;"F4";0;-13.2555914921577;6.7667569416986;23.46;0
1;"0";1;1;"F5";0;-11.8998883468599;11.5651492747441;31.55;0
1;"0";1;1;"1";4;-3.23818334238419;-1.3450082152109;34.7;1.69748986155373
1;"0";1;1;"p";0;-3.80976117884671;11.2408925780126;37.62;0.181428659305729
1;"0";1;1;"F1";0;-12.8924882924797;10.3526537704408;37.11;0
1;"0";1;1;"F2";0;-7.76559117160241;11.7137657834436;27.37;0
1;"0";1;1;"F3";0;1.43420767955666;12.6813406375051;27.01;0
1;"0";1;1;"F4";0;4.95747623683573;14.1122769300383;35.95;0
1;"0";1;1;"F5";0;2.06879032776846;15.4330319106294;40.9;0
1;"0";1;1;"1";5;-5.02823036128403;-3.53866536028344;41.21;1.65567075378969
1;"0";1;1;"p";0;-18.6538902173686;4.47004823718553;43.61;0.214766494102584
1;"0";1;1;"F1";0;-25.3381956172414;0.599717331276812;45.25;0
1;"0";1;1;"F2";0;-26.0604490114262;1.18653078936085;37.79;0
1;"0";1;1;"F3";0;-26.727559433827;5.72796929321886;33.96;0
1;"0";1;1;"F4";0;-24.1778567916951;12.5433061474547;38.62;0
1;"0";1;1;"F5";0;-14.4853443831254;4.44712166279018;46.32;0
1;"0";1;1;"1";6;-4.81789653425415;-4.1717211881588;48.55;1.63696952269857
1;"0";1;1;"p";0;-7.02582477296421;11.1969044137845;50.2;0.248093067777159
1;"0";1;1;"F1";0;0.1214039717654;11.4346464389104;54.89;0
1;"0";1;1;"F2";0;0.0850173274765957;15.252076989964;48.02;0
1;"0";1;1;"F3";0;-3.44984522305322;15.3508026141041;39.17;0
1;"0";1;1;"F4";0;-12.5688311720805;16.6588527895343;39.55;0
1;"0";1;1;"F5";0;-16.3218730987341;12.0603773577438;47.99;0
1;"0";1;1;"1";7;-7.44132179415645;-6.17674984274372;56.45;1.62239690710535
1;"0";1;1;"p";0;-8.88395091724896;-19.4306104581722;60.61;0.230235623369017
1;"0";1;1;"F1";0;-2.38092231139628;-16.535594231713;55.54;0
1;"0";1;1;"F2";0;-4.88578738949603;-24.0397631357634;52.57;0
1;"0";1;1;"F3";0;-11.4463246907189;-25.9196967301394;50.58;0
1;"0";1;1;"F4";0;-18.9479338067228;-23.8043100821037;56.95;0
1;"0";1;1;"F5";0;-17.0598385842153;-18.0899162882928;65.05;0
1;"0";1;1;"1";8;-6.02238500674602;-5.37405538447621;67.09;1.59979197092272
1;"0";1;1;"p";0;-7.091756508572;7.16492561842361;65.68;0.177046859815273
1;"0";1;1;"F1";0;-0.419866622248287;8.11922397049769;63.75;0
1;"0";1;1;"F2";0;-3.92394546065444;9.74557924971383;58.37;0
1;"0";1;1;"F3";0;-7.09986926408927;13.048124933694;57.67;0
1;"0";1;1;"F4";0;-14.8622295260516;5.88811353960334;61.29;0
1;"0";1;1;"F5";0;-14.3400545158393;10.4291523259065;66.47;0
1;"0";1;1;"1";9;-6.91532628990442;-6.27984557256143;75.88;1.56050838109027
1;"0";1;1;"p";0;-19.3192008186926;-3.64619854342471;82.39;0.15570600225645
1;"0";1;1;"F1";0;-22.8403534758571;-10.7901459091983;83.18;0
1;"0";1;1;"F2";0;-29.1907184327676;-5.77794430570661;84.47;0
1;"0";1;1;"F3";0;-30.2290889807409;-3.07345052588357;76.59;0
1;"0";1;1;"F4";0;-24.5125524993899;5.41644998339116;78.28;0
1;"0";1;1;"F5";0;-17.882135159625;5.06308628895554;82.39;0
1;"0";1;1;"1";10;-4.61960638272423;-4.61306121105073;83.64;1.55237443999483
1;"0";1;1;"p";0;-12.9402353974189;10.3903394967829;82.68;0.191769783344099
1;"0";1;1;"F1";0;-6.26373137626289;13.0646607294489;83.76;0
1;"0";1;1;"F2";0;-5.98023613173495;13.9572022950524;75.17;0
1;"0";1;1;"F3";0;-14.0364980674458;18.9733406128439;72.76;0
1;"0";1;1;"F4";0;-23.3421465009293;13.2890194368014;74.44;0
1;"0";1;1;"F5";0;-23.6436265173485;8.92145606580147;82.83;0
1;"0";1;1;"1";11;-6.22667201367874;-4.76252711955425;94.12;1.52750948889441
1;"0";1;1;"p";0;-17.8392578073071;6.54766081812484;96.75;0.199676194738021
1;"0";1;1;"F1";0;-25.6985728439184;3.12303424646851;97.19;0
1;"0";1;1;"F2";0;-25.06334065468;7.80731434758921;89.35;0
1;"0";1;1;"F3";0;-23.7644466990314;15.7020388197908;87.64;0
1;"0";1;1;"F4";0;-13.0605280526525;16.7390661153338;92.96;0
1;"0";1;1;"F5";0;-11.4909924596397;13.3011804246416;98.57;0
1;"0";1;1;"1";12;-2.98597145692345;-3.46670309544989;102.99;1.51696193313984
1;"0";1;1;"p";0;-5.26390174875282;11.7707748318702;104.37;0.208713665987114
1;"0";1;1;"F1";0;2.777773014283;13.3885408858942;104.01;0
1;"0";1;1;"F2";0;3.41551502687356;17.5346818778742;100;0
1;"0";1;1;"F3";0;-3.42870108678326;20.2202741383561;92;0
1;"0";1;1;"F4";0;-11.1215426516984;17.7575137648903;94.37;0
1;"0";1;1;"F5";0;-14.2527172318554;12.1027329779297;102.04;0
1;"0";1;1;"1";13;-4.59240963203994;-3.75070378123858;112.54;1.46283331067013
1;"0";1;1;"1";14;-4.7536914777602;-3.27574255519896;123.31;1.44666671740989
1;"0";1;1;"p";0;-9.39302938322297;10.9918621421192;125.58;0.195514642294434
1;"0";1;1;"F1";0;-0.302678664462062;14.5485915119087;126.52;0
1;"0";1;1;"F2";0;-3.49699275166013;17.1724164893659;117.03;0
1;"0";1;1;"F3";0;-10.3496597850604;16.7294102486087;113.83;0
1;"0";1;1;"F4";0;-19.0573841232812;14.8037838960792;115.72;0
1;"0";1;1;"F5";0;-21.5551867965253;16.3040111473764;126.5;0
1;"0";1;1;"1";15;-6.30703523356133;-5.70020603735613;133.01;1.4262432665759
1;"0";1;1;"p";0;-19.6132965569013;3.94972192066438;137.19;0.215642726014621
1;"0";1;1;"F1";0;-27.3535075943894;0.646809100872183;142.03;0
1;"0";1;1;"F2";0;-26.6263565680777;-3.3807275389281;133.72;0
1;"0";1;1;"F3";0;-25.370745476619;5.82572350297758;124.83;0
1;"0";1;1;"F4";0;-19.4873799763942;12.3325284324928;126.94;0
1;"0";1;1;"F5";0;-16.5424960426443;14.1026862267988;136.5;0
1;"0";1;1;"1";16;-6.47885601963371;-4.55929516552017;143.62;1.39941389529008
1;"0";1;1;"p";0;-5.19735884817839;9.61550871317783;149.31;0.216083790194898
1;"0";1;1;"F1";0;2.49713734596769;12.9984849646865;151.28;0
1;"0";1;1;"F2";0;2.15003082696086;16.9794794465293;143.91;0
1;"0";1;1;"F3";0;-3.78766771338401;18.9349170047209;138.56;0
1;"0";1;1;"F4";0;-14.4522402098728;14.8802661606735;140.5;0
1;"0";1;1;"F5";0;-17.0306780116599;12.632387493504;147.45;0
1;"0";1;1;"1";17;-10.0351682889168;-6.23641860860555;156.35;1.37015103484897
1;"0";1;1;"p";0;-16.6346462281578;-7.89502975335039;170.34;0.212396514957894
1;"0";1;1;"F1";0;-7.83648570282279;-13.0883303772733;174.04;0
1;"0";1;1;"F2";0;-15.5298489998701;-19.1048211467871;173.47;0
1;"0";1;1;"F3";0;-22.5331090445554;-19.2928337700711;171.42;0
1;"0";1;1;"F4";0;-30.0655355465059;-12.8010273194201;171.03;0
1;"0";1;1;"F5";0;-23.2424089021877;-6.18354722533636;177.06;0
2;"0";1;1;"0";0;0.308980010268029;-19.8029324797379;20.05;1.87470923785153
2;"0";1;1;"1";0;0.467901926719227;-19.2937725594069;21.3;1.84267820802588
2;"0";1;1;"1";1;0.254408735310599;-20.0551664503872;23.44;1.83591246782415
2;"0";1;1;"1";2;1.29681592697251;-20.7564418932565;26.78;1.77728678398025
2;"0";1;1;"p";0;2.85414165953081;-30.5013039529633;24.66;0.225448586428588
2;"0";1;1;"F1";0;2.42597820923761;-33.5248244274818;27.6;0
2;"0";1;1;"F2";0;-3.53033835315368;-30.9242873659149;23.17;0
2;"0";1;1;"F3";0;-0.343681544906495;-30.3125534478983;17.78;0
2;"0";1;1;"F4";0;4.47681004791887;-27.9598186979743;17.25;0
2;"0";1;1;"F5";0;7.90679443050559;-27.8836141363576;23.21;0
2;"0";1;1;"1";3;2.66893285344792;-19.1586324114723;29.83;1.75317239995984
2;"0";1;1;"p";0;13.5818141949206;-24.8356228841557;31.36;0.206590155436307
2;"0";1;1;"F1";0;16.9601310491397;-20.3749194382293;33.89;0
2;"0";1;1;"F2";0;15.8124680571684;-18.6208756369349;27.54;0
2;"0";1;1;"F3";0;16.4269895015146;-23.5208310851444;22.6;0
2;"0";1;1;"F4";0;13.2555914921577;-26.7667569416986;23.46;0
2;"0";1;1;"F5";0;11.8998883468599;-31.5651492747441;31.55;0
2;"0";1;1;"1";4;3.23818334238419;-18.6549917847891;34.7;1.69748986155373
2;"0";1;1;"p";0;3.80976117884671;-31.2408925780126;37.62;0.181428659305729
2;"0";1;1;"F1";0;12.8924882924797;-30.3526537704408;37.11;0
2;"0";1;1;"F2";0;7.76559117160241;-31.7137657834436;27.37;0
2;"0";1;1;"F3";0;-1.43420767955666;-32.6813406375051;27.01;0
2;"0";1;1;"F4";0;-4.95747623683573;-34.1122769300383;35.95;0
2;"0";1;1;"F5";0;-2.06879032776846;-35.4330319106294;40.9;0
2;"0";1;1;"1";5;5.02823036128403;-16.4613346397166;41.21;1.65567075378969
2;"0";1;1;"p";0;18.6538902173686;-24.4700482371855;43.61;0.214766494102584
2;"0";1;1;"F1";0;25.3381956172414;-20.5997173312768;45.25;0
2;"0";1;1;"F2";0;26.0604490114262;-21.1865307893608;37.79;0
2;"0";1;1;"F3";0;26.727559433827;-25.7279692932189;33.96;0
2;"0";1;1;"F4";0;24.1778567916951;-32.5433061474547;38.62;0
2;"0";1;1;"F5";0;14.4853443831254;-24.4471216627902;46.32;0
2;"0";1;1;"1";6;4.81789653425415;-15.8282788118412;48.55;1.63696952269857
2;"0";1;1;"p";0;7.02582477296421;-31.1969044137845;50.2;0.248093067777159
2;"0";1;1;"F1";0;-0.121403971765396;-31.4346464389104;54.89;0
2;"0";1;1;"F2";0;-0.0850173274765914;-35.252076989964;48.02;0
2;"0";1;1;"F3";0;3.44984522305322;-35.3508026141041;39.17;0
2;"0";1;1;"F4";0;12.5688311720805;-36.6588527895343;39.55;0
2;"0";1;1;"F5";0;16.3218730987341;-32.0603773577438;47.99;0
2;"0";1;1;"1";7;7.44132179415645;-13.8232501572563;56.45;1.62239690710535
2;"0";1;1;"p";0;8.88395091724896;-0.569389541827799;60.61;0.230235623369017
2;"0";1;1;"F1";0;2.38092231139628;-3.464405768287;55.54;0
2;"0";1;1;"F2";0;4.88578738949603;4.0397631357634;52.57;0
2;"0";1;1;"F3";0;11.4463246907189;5.9196967301394;50.58;0
2;"0";1;1;"F4";0;18.9479338067228;3.8043100821037;56.95;0
2;"0";1;1;"F5";0;17.0598385842153;-1.9100837117072;65.05;0
2;"0";1;1;"1";8;6.02238500674602;-14.6259446155238;67.09;1.59979197092272
2;"0";1;1;"p";0;7.091756508572;-27.1649256184236;65.68;0.177046859815273
2;"0";1;1;"F1";0;0.41986662224829;-28.1192239704977;63.75;0
2;"0";1;1;"F2";0;3.92394546065444;-29.7455792497138;58.37;0
2;"0";1;1;"F3";0;7.09986926408927;-33.048124933694;57.67;0
2;"0";1;1;"F4";0;14.8622295260516;-25.8881135396033;61.29;0
2;"0";1;1;"F5";0;14.3400545158393;-30.4291523259065;66.47;0
2;"0";1;1;"1";9;6.91532628990442;-13.7201544274386;75.88;1.56050838109027
2;"0";1;1;"p";0;19.3192008186926;-16.3538014565753;82.39;0.15570600225645
2;"0";1;1;"F1";0;22.8403534758571;-9.2098540908017;83.18;0
2;"0";1;1;"F2";0;29.1907184327676;-14.2220556942934;84.47;0
2;"0";1;1;"F3";0;30.2290889807409;-16.9265494741164;76.59;0
2;"0";1;1;"F4";0;24.5125524993899;-25.4164499833912;78.28;0
2;"0";1;1;"F5";0;17.882135159625;-25.0630862889555;82.39;0
2;"0";1;1;"1";10;4.61960638272423;-15.3869387889493;83.64;1.55237443999483
2;"0";1;1;"p";0;12.9402353974189;-30.3903394967829;82.68;0.191769783344099
2;"0";1;1;"F1";0;6.26373137626289;-33.0646607294489;83.76;0
2;"0";1;1;"F2";0;5.98023613173495;-33.9572022950524;75.17;0
2;"0";1;1;"F3";0;14.0364980674458;-38.9733406128439;72.76;0
2;"0";1;1;"F4";0;23.3421465009293;-33.2890194368014;74.44;0
2;"0";1;1;"F5";0;23.6436265173485;-28.9214560658015;82.83;0
2;"0";1;1;"1";11;6.22667201367874;-15.2374728804458;94.12;1.52750948889441
2;"0";1;1;"p";0;17.8392578073071;-26.5476608181248;96.75;0.199676194738021
2;"0";1;1;"F1";0;25.6985728439184;-23.1230342464685;97.19;0
2;"0";1;1;"F2";0;25.06334065468;-27.8073143475892;89.35;0
2;"0";1;1;"F3";0;23.7644466990314;-35.7020388197908;87.64;0
2;"0";1;1;"F4";0;13.0605280526525;-36.7390661153338;92.96;0
2;"0";1;1;"F5";0;11.4909924596397;-33.3011804246416;98.57;0
2;"0";1;1;"1";12;2.98597145692345;-16.5332969045501;102.99;1.51696193313984
2;"0";1;1;"p";0;5.26390174875282;-31.7707748318702;104.37;0.208713665987114
2;"0";1;1;"F1";0;-2.777773014283;-33.3885408858942;104.01;0
2;"0";1;1;"F2";0;-3.41551502687356;-37.5346818778742;100;0
2;"0";1;1;"F3";0;3.42870108678326;-40.2202741383561;92;0
2;"0";1;1;"F4";0;11.1215426516984;-37.7575137648903;94.37;0
2;"0";1;1;"F5";0;14.2527172318554;-32.1027329779297;102.04;0
2;"0";1;1;"1";13;4.59240963203994;-16.2492962187614;112.54;1.46283331067013
2;"0";1;1;"1";14;4.7536914777602;-16.724257444801;123.31;1.44666671740989
2;"0";1;1;"p";0;9.39302938322297;-30.9918621421192;125.58;0.195514642294434
2;"0";1;1;"F1";0;0.302678664462066;-34.5485915119087;126.52;0
2;"0";1;1;"F2";0;3.49699275166013;-37.1724164893659;117.03;0
2;"0";1;1;"F3";0;10.3496597850604;-36.7294102486087;113.83;0
2;"0";1;1;"F4";0;19.0573841232812;-34.8037838960792;115.72;0
2;"0";1;1;"F5";0;21.5551867965253;-36.3040111473764;126.5;0
2;"0";1;1;"1";15;6.30703523356133;-14.2997939626439;133.01;1.4262432665759
2;"0";1;1;"p";0;19.6132965569013;-23.9497219206644;137.19;0.215642726014621
2;"0";1;1;"F1";0;27.3535075943894;-20.6468091008722;142.03;0
2;"0";1;1;"F2";0;26.6263565680777;-16.6192724610719;133.72;0
2;"0";1;1;"F3";0;25.370745476619;-25.8257235029776;124.83;0
2;"0";1;1;"F4";0;19.4873799763942;-32.3325284324928;126.94;0
2;"0";1;1;"F5";0;16.5424960426443;-34.1026862267988;136.5;0
2;"0";1;1;"1";16;6.47885601963371;-15.4407048344798;143.62;1.39941389529008
2;"0";1;1;"p";0;5.19735884817839;-29.6155087131778;149.31;0.216083790194898
2;"0";1;1;"F1";0;-2.49713734596769;-32.9984849646865;151.28;0
2;"0";1;1;"F2";0;-2.15003082696086;-36.9794794465293;143.91;0
2;"0";1;1;"F3";0;3.78766771338401;-38.9349170047209;138.56;0
2;"0";1;1;"F4";0;14.4522402098728;-34.8802661606735;140.5;0
2;"0";1;1;"F5";0;17.0306780116599;-32.632387493504;147.45;0
2;"0";1;1;"1";17;10.0351682889168;-13.7635813913944;156.35;1.37015103484897
2;"0";1;1;"p";0;16.6346462281578;-12.1049702466496;170.34;0.212396514957894
2;"0";1;1;"F1";0;7.83648570282279;-6.9116696227267;174.04;0
2;"0";1;1;"F2";0;15.5298489998701;-0.895178853212899;173.47;0
2;"0";1;1;"F3";0;22.5331090445554;-0.707166229928899;171.42;0
2;"0";1;1;"F4";0;30.0655355465059;-7.1989726805799;171.03;0
2;"0";1;1;"F5";0;23.2424089021877;-13.8164527746636;177.06;0
