"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.156366054337838;0.163359674273431;5.06;1.87470923785153
1;"0";1;1;"1";0;1.06413145388221;1.58018211637006;5.29;1.84267820802588
1;"0";1;1;"1";1;0.699741070780999;2.16397972573767;6.49;1.83591246782415
1;"0";1;1;"1";2;2.10135638086211;2.30706893758197;7.74;1.77728678398025
1;"0";1;1;"1";3;1.74075388774195;2.6301259634389;9.96;1.77006315717933
1;"0";1;1;"1";4;3.579678710004;2.55559074982486;11.4;1.76614602643043
1;"0";1;1;"1";5;2.60963550504098;2.90661237380986;14.02;1.74218280119219
1;"0";1;1;"1";6;4.29392996926382;2.44093849888418;16.19;1.71633675583527
1;"0";1;1;"1";7;3.57600196420541;2.1750825612923;18.94;1.65192512748224
1;"0";1;1;"1";8;6.41680583767649;1.61728927299299;22.18;1.59945830541889
1;"0";1;1;"p";0;12.9627463287268;1.83051002157826;19.45;0.181428659305729
1;"0";1;1;"F1";0;11.4651573832218;-2.42457250997165;17.98;0
1;"0";1;1;"F2";0;13.7294615668312;-2.26511541828543;15.6;0
1;"0";1;1;"F3";0;14.2058322466052;2.48444992766484;12.81;0
1;"0";1;1;"F4";0;12.4104896790814;6.63416619088539;15.66;0
1;"0";1;1;"F5";0;11.8921465630139;6.51618138667155;20.19;0
1;"0";1;1;"1";9;5.36643443994535;1.16174572202522;26.96;1.56005428849171
1;"0";1;1;"1";10;7.57150466007105;1.17460357234228;29.89;1.54569189330113
1;"0";1;1;"1";11;5.86832631803412;2.62335597879975;34.35;1.51463580492082
1;"0";1;1;"p";0;1.91929385344996;9.03141673020188;32.67;0.21151562703307
1;"0";1;1;"F1";0;-0.581157414838796;7.33367014872598;35;0
1;"0";1;1;"F2";0;-4.17743476063149;8.30926701841049;29.09;0
1;"0";1;1;"F3";0;-0.854095249661276;12.9214697996013;28.01;0
1;"0";1;1;"F4";0;3.28382979295376;14.3668681328296;28.1;0
1;"0";1;1;"F5";0;4.73828106045048;11.9817745266001;33.82;0
1;"0";1;1;"1";12;7.24505950884972;2.36721984057111;40.1;1.47707496832001
1;"0";1;1;"p";0;10.4418444040913;6.55647590024991;42.73;0.215271869222809
1;"0";1;1;"F1";0;14.0151891477002;4.73065900271549;44.18;0
1;"0";1;1;"F2";0;16.9124609122722;5.88266435088618;42.54;0
1;"0";1;1;"F3";0;14.4025228929632;8.53393030118745;38.74;0
1;"0";1;1;"F4";0;10.2609874366188;9.9242482733946;37.42;0
1;"0";1;1;"F5";0;8.71161213734211;9.33949517849791;38.71;0
1;"0";1;1;"1";13;6.0541704693377;2.87227755565932;44.33;1.43052598590333
1;"0";1;1;"p";0;4.38510465708636;9.04806247050001;42.62;0.207796864728229
1;"0";1;1;"F1";0;0.318660135268403;9.07106140475297;44.58;0
1;"0";1;1;"F2";0;-0.394430376165;9.68661150222974;38.89;0
1;"0";1;1;"F3";0;2.56099796220112;10.0033816662011;36.27;0
1;"0";1;1;"F4";0;6.1318096817703;11.9951154996706;38.1;0
1;"0";1;1;"F5";0;8.06112668868916;12.2455868289953;43.24;0
1;"0";1;1;"1";14;8.38698383906409;3.64866778101368;46.85;1.3885955908906
1;"0";1;1;"p";0;10.5031497888172;9.14768057178854;50.4;0.194210768526236
1;"0";1;1;"F1";0;11.5994312030291;7.4461909124448;54.11;0
1;"0";1;1;"F2";0;15.251415456713;8.9719730105325;53.67;0
1;"0";1;1;"F3";0;17.8328447567971;11.3259532077022;48.52;0
1;"0";1;1;"F4";0;12.7864319683556;11.3799714329002;43.96;0
1;"0";1;1;"F5";0;7.4278256751791;13.1767848886406;45.74;0
1;"0";1;1;"1";15;6.37522240602162;4.00449911257807;52.88;1.35429105650286
1;"0";1;1;"1";16;8.54896768870048;4.80082281939044;58.51;1.34723199561401
1;"0";1;1;"1";17;6.68945954595315;4.86662150521594;63.02;1.31168387810996
1;"0";1;1;"1";18;9.21176602673607;6.43275368897324;69.04;1.2845099916024
1;"0";1;1;"p";0;6.69672341332381;13.3425844143037;69.96;0.205044468963123
1;"0";1;1;"F1";0;8.34428896558441;12.4483653410312;73.22;0
1;"0";1;1;"F2";0;6.76022212345247;21.2739946239582;71.04;0
1;"0";1;1;"F3";0;4.84554576765872;19.3293315547957;65.25;0
1;"0";1;1;"F4";0;1.917671502826;14.7926750448393;63.45;0
1;"0";1;1;"F5";0;2.27942398379458;11.4336669855287;67.7;0
1;"0";1;1;"1";19;8.65030675261617;6.74829050695928;75.96;1.24269752672329
1;"0";1;1;"p";0;3.5873979140826;12.0034074507293;73.34;0.218876724213706
1;"0";1;1;"F1";0;-1.34259058258822;9.74570653548532;74.47;0
1;"0";1;1;"F2";0;-3.2708024137719;10.3167574387183;68.55;0
1;"0";1;1;"F3";0;2.06598721293398;12.0280950676754;65.63;0
1;"0";1;1;"F4";0;5.17718963109811;16.934062812495;68.77;0
1;"0";1;1;"F5";0;5.22254392666643;17.9832734623997;73.05;0
1;"0";1;1;"1";20;9.17495375663697;6.4851450696589;83.26;1.23246962207635
1;"0";1;1;"p";0;15.09781767625;13.4201420408007;83.35;0.175249231561401
1;"0";1;1;"F1";0;16.5516917028784;7.16759453480797;87.65;0
1;"0";1;1;"F2";0;22.5017377174538;8.42991478911548;83.87;0
1;"0";1;1;"F3";0;24.107247475284;12.6482128366119;81.79;0
1;"0";1;1;"F4";0;20.3302350661793;19.8871821873875;84.92;0
1;"0";1;1;"F5";0;14.260188398239;16.3779752329565;86.21;0
1;"0";1;1;"1";21;7.65849169329584;6.74998994963047;90.78;1.2034461668282
1;"0";1;1;"p";0;3.8535702581543;13.0588942025416;85.13;0.218379547432164
1;"0";1;1;"F1";0;-1.06112774836416;8.95666998820087;83.76;0
1;"0";1;1;"F2";0;2.23315901481044;8.44074875199062;78.88;0
1;"0";1;1;"F3";0;4.99580023487049;12.5769080198653;77.48;0
1;"0";1;1;"F4";0;3.16076818068235;18.9834638309155;80.39;0
1;"0";1;1;"F5";0;2.75102350201282;18.5180507903784;87.99;0
1;"0";1;1;"1";22;9.27800928929149;5.72726674354758;99.07;1.19299701742152
1;"0";1;1;"p";0;10.8710609614213;13.443113189008;95.68;0.202666727216297
1;"0";1;1;"F1";0;3.64751476493649;14.2540264687426;97.17;0
1;"0";1;1;"F2";0;5.13437911954758;15.6041503115759;89.48;0
1;"0";1;1;"F3";0;12.1801508274225;18.3712247667559;85.92;0
1;"0";1;1;"F4";0;16.6271868959098;17.8636125076719;92.61;0
1;"0";1;1;"F5";0;15.8204998167966;15.0483405924936;98.9;0
1;"0";1;1;"1";23;8.29063195897948;5.31789404344911;104.27;1.18294512192821
1;"0";1;1;"1";24;11.3336308375284;7.84349453148159;109.56;1.13673129833066
1;"0";1;1;"p";0;13.7262939576305;16.0104745849471;109.47;0.198857864512324
1;"0";1;1;"F1";0;10.3560333725593;15.7896950824673;112.11;0
1;"0";1;1;"F2";0;14.9663637287155;19.6704236232318;103.65;0
1;"0";1;1;"F3";0;21.4239726963733;18.4663943790581;107.74;0
1;"0";1;1;"F4";0;21.1273753282927;16.6012321873848;113.65;0
1;"0";1;1;"F5";0;17.9368109628675;12.5117824652243;114.1;0
1;"0";1;1;"1";25;9.19382060838343;9.1992276111276;116.34;1.12276003206124
1;"0";1;1;"1";26;12.8838612381297;10.6925795960333;119.97;1.09929971966927
1;"0";1;1;"p";0;14.3206494416183;20.2416968148298;122.15;0.221715387242914
1;"0";1;1;"F1";0;7.2006419005416;21.106273367259;124.02;0
1;"0";1;1;"F2";0;8.5962975151949;23.2435953844774;117.1;0
1;"0";1;1;"F3";0;17.0226010638445;29.0306419979078;118.21;0
1;"0";1;1;"F4";0;20.8153422737418;24.6161642128525;123.02;0
1;"0";1;1;"F5";0;17.7393082550969;18.3453656420054;127.55;0
1;"0";1;1;"1";27;10.5194450705003;12.3027771572824;126.98;1.06609195400315
1;"0";1;1;"p";0;5.01170651191485;17.9763753075105;124.2;0.170584952322015
1;"0";1;1;"F1";0;-0.274057744229109;13.3862885732024;117.62;0
1;"0";1;1;"F2";0;3.36150305752161;16.09538393084;114.98;0
1;"0";1;1;"F3";0;5.79619418600849;19.3101590565474;113.23;0
1;"0";1;1;"F4";0;7.341059158118;24.3237697532359;116.76;0
1;"0";1;1;"F5";0;3.61453342473042;28.1930727858763;124.35;0
1;"0";1;1;"1";28;13.8858621934992;13.1049216292945;134.03;1.03693526473528
1;"0";1;1;"p";0;18.4689889347371;15.5846291269138;131.43;0.200934523443767
1;"0";1;1;"F1";0;22.2483506255403;9.18714327619955;132.76;0
1;"0";1;1;"F2";0;22.9947263514803;10.8739815244402;128.37;0
1;"0";1;1;"F3";0;23.6731253200585;19.6688138047871;125.84;0
1;"0";1;1;"F4";0;20.7515208910437;22.1453491993174;129.48;0
1;"0";1;1;"F5";0;19.0911145145337;21.5474774197151;133.83;0
1;"0";1;1;"1";29;13.6041107388409;11.9602312266973;141.26;1.01233211686005
1;"0";1;1;"p";0;13.0106533960897;24.1407364864283;137.68;0.227173591030581
1;"0";1;1;"F1";0;7.07786890870438;27.6565960152264;141.24;0
1;"0";1;1;"F2";0;6.83254071950653;28.703884934095;136.2;0
1;"0";1;1;"F3";0;10.2810858621493;27.1263119883473;128.52;0
1;"0";1;1;"F4";0;16.5220196237882;30.8052175026049;130.96;0
1;"0";1;1;"F5";0;16.9456377042835;37.6020290875966;134.24;0
1;"0";1;1;"1";30;16.927745136335;11.2721510047795;150.16;0.990427911323349
1;"0";1;1;"p";0;23.2306018417931;6.78138299134782;144.51;0.191333793650864
1;"0";1;1;"F1";0;21.00806483218;-0.424318170988829;146.03;0
1;"0";1;1;"F2";0;19.9768937187427;-0.0895254966176429;138.74;0
1;"0";1;1;"F3";0;27.2903041650175;2.47049943379188;135.27;0
1;"0";1;1;"F4";0;33.378557085699;5.30727160896093;140.25;0
1;"0";1;1;"F5";0;29.8701003544997;7.0488890656093;150.93;0
1;"0";1;1;"1";31;16.5941069437006;17.9758876908686;155.37;0.961032675718903
1;"0";1;1;"p";0;17.1449016929061;25.2056266311241;155.95;0.198923899188342
1;"0";1;1;"F1";0;9.17287429710382;29.2794183784496;158.36;0
1;"0";1;1;"F2";0;8.36647583842476;28.3978734131529;149.31;0
1;"0";1;1;"F3";0;17.1291773860018;33.1519938983836;145.55;0
1;"0";1;1;"F4";0;9.64803941693816;37.3855591438751;157.5;0
1;"0";1;1;"F5";0;11.2443357903159;33.5788889600607;160.93;0
1;"0";1;1;"1";32;15.2764687861406;19.1801840355204;165.26;0.925829930191597
1;"0";1;1;"p";0;20.7203904559162;21.8066297047371;171.27;0.223038235081744
1;"0";1;1;"F1";0;22.9897929675392;24.9415319743843;178.17;0
1;"0";1;1;"F2";0;27.2047091557609;17.6552310249129;177.61;0
1;"0";1;1;"F3";0;31.6756162858934;19.7812341843014;171.85;0
1;"0";1;1;"F4";0;25.4478720349177;29.9783809197583;170.53;0
1;"0";1;1;"F5";0;20.3092286889201;29.5171385077513;175.63;0
2;"0";1;1;"0";0;0.15636605433784;-20.1633596742734;5.06;1.87470923785153
2;"0";1;1;"1";0;-1.06413145388221;-21.5801821163701;5.29;1.84267820802588
2;"0";1;1;"1";1;-0.699741070780996;-22.1639797257377;6.49;1.83591246782415
2;"0";1;1;"1";2;-2.10135638086211;-22.307068937582;7.74;1.77728678398025
2;"0";1;1;"1";3;-1.74075388774195;-22.6301259634389;9.96;1.77006315717933
