"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.354012470335116;-0.115762147006165;16.97;1.87470923785153
1;"0";1;1;"1";0;-0.48035060595386;0.378341764624159;17.02;1.84267820802588
1;"0";1;1;"1";1;-0.701853041449843;1.27312479478809;17.92;1.83591246782415
1;"0";1;1;"1";2;-1.00317397051154;0.713387626369367;19.53;1.77728678398025
1;"0";1;1;"1";3;-0.58674392434605;1.78464203903268;21.55;1.77006315717933
1;"0";1;1;"1";4;-0.250286575342516;-0.169992569353631;24.47;1.76614602643043
1;"0";1;1;"p";0;-3.33253372955233;6.65811496351121;28.78;0.208292828689128
1;"0";1;1;"F1";0;-7.62259473710041;4.91941529090654;31.5;0
1;"0";1;1;"F2";0;-9.38473650530165;5.08390355419789;26.99;0
1;"0";1;1;"F3";0;-4.99301712906373;5.15462074006137;23.3;0
1;"0";1;1;"F4";0;-0.424285310218791;4.9129814066039;23.82;0
1;"0";1;1;"F5";0;1.09660263351561;4.10818338063504;29.04;0
1;"0";1;1;"1";5;3.39925297646341;-1.64422493224768;27.86;1.69986512841618
1;"0";1;1;"p";0;3.88287927523029;8.44171109784596;31.04;0.18359063231764
1;"0";1;1;"F1";0;6.49859966601187;8.84034230240655;32.16;0
1;"0";1;1;"F2";0;7.51954701586859;8.09350463007033;26.87;0
1;"0";1;1;"F3";0;6.65524121022148;11.055847532964;23.67;0
1;"0";1;1;"F4";0;2.34998994747891;7.56950108364873;24.66;0
1;"0";1;1;"F5";0;0.819845144925244;6.13090562862392;29.44;0
1;"0";1;1;"1";6;2.01678300168365;-4.04505328280348;29.23;1.67858437045788
1;"0";1;1;"p";0;5.57287814806315;-4.45332685517395;38.33;0.194105591064189
1;"0";1;1;"F1";0;10.818466289265;-4.75383484655338;36.58;0
1;"0";1;1;"F2";0;7.808443174784;0.0678620383918389;33.05;0
1;"0";1;1;"F3";0;2.88725216157956;0.0281252600141741;32.07;0
1;"0";1;1;"F4";0;-1.49147907703315;-2.57719866226445;34.36;0
1;"0";1;1;"F5";0;-0.54294784764022;-5.86894417291169;39.57;0
1;"0";1;1;"1";7;5.07044529423261;-7.74327536957227;39.24;1.64485820239769
1;"0";1;1;"p";0;-5.35463512059386;-2.85581198409291;40.53;0.21151562703307
1;"0";1;1;"F1";0;-6.75366761316697;-6.72109439094557;43.09;0
1;"0";1;1;"F2";0;-12.5764258677315;-4.78068559151681;37.12;0
1;"0";1;1;"F3";0;-10.4697500735714;0.178096224443639;33.72;0
1;"0";1;1;"F4";0;-5.98075964649405;-0.732378896362985;34.22;0
1;"0";1;1;"F5";0;-1.4755543334753;-1.12687235327649;42.78;0
1;"0";1;1;"1";8;6.43445904084226;-7.94641694350519;44.05;1.60406803358547
1;"0";1;1;"p";0;0.268844735068663;2.07869653377975;48.1;0.215271869222809
1;"0";1;1;"F1";0;5.77427886769475;2.51675476200471;49.53;0
1;"0";1;1;"F2";0;3.66537864859408;4.72128189177135;41.88;0
1;"0";1;1;"F3";0;-0.946084044029551;4.01636215553158;41.12;0
1;"0";1;1;"F4";0;-5.61432825594267;3.15120553506356;41.31;0
1;"0";1;1;"F5";0;-5.3708121293966;-0.391843984222342;45.42;0
1;"0";1;1;"1";9;5.8918071855156;-9.93214828583489;47.16;1.5535169537202
1;"0";1;1;"p";0;-1.89316051894238;-12.886260308177;54.91;0.207796864728229
1;"0";1;1;"F1";0;2.87169735724495;-11.9192911154229;55.53;0
1;"0";1;1;"F2";0;1.67028085859144;-21.4419534740684;54.98;0
1;"0";1;1;"F3";0;-2.2360700170575;-22.2070174167011;54.27;0
1;"0";1;1;"F4";0;-5.16756979877348;-14.861923201526;49.33;0
1;"0";1;1;"F5";0;-6.39757385412938;-10.9062702814876;51.26;0
1;"0";1;1;"1";10;5.77254205595577;-7.39982211630793;53.62;1.5079815491415
