"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;0.0898852529318155;0.432371655553764;14.28;1.87470923785153
1;"0";1;1;"1";0;0.0898852529318155;0.432371655553764;14.78;1.87470923785153
1;"0";1;1;"1";0;0.50870235858902;0.595442903813298;14.65;1.84267820802588
1;"0";1;1;"p";0;3.25086710183872;-0.0660195069692775;16.62;0.22659598525845
1;"0";1;1;"F1";0;4.61062009983984;1.63576537497879;16.79;0
1;"0";1;1;"F2";0;6.61005711226973;0.140723023295952;15.14;0
1;"0";1;1;"F3";0;6.49037048630933;-1.96310090269363;14.4;0
1;"0";1;1;"F4";0;4.46482648685897;-2.54117659522071;14.12;0
1;"0";1;1;"F5";0;1.73683117279773;-1.59722661431074;15.57;0
1;"0";1;1;"1";1;0.294801367979395;1.13008892335916;16.18;1.83518880349705
1;"0";1;1;"p";0;-1.8974626940058;2.45072448343169;17.58;0.231905616042756
1;"0";1;1;"F1";0;-1.27393837109746;-0.221375331085282;16.6;0
1;"0";1;1;"F2";0;-2.33917613977501;0.419692915034324;14.88;0
1;"0";1;1;"F3";0;-2.16403218163722;2.64109440822006;14.52;0
1;"0";1;1;"F4";0;-1.64886295749848;4.72508113334579;14.63;0
1;"0";1;1;"F5";0;-0.383336663600634;4.54832367394677;17.46;0
1;"0";1;1;"1";2;1.3448295256204;0.326944560146002;17.71;1.80796297333661
1;"0";1;1;"p";0;5.07185539169823;2.07990725044687;19.26;0.169200999161926
1;"0";1;1;"F1";0;4.94041141063421;-0.681762983278023;18.38;0
1;"0";1;1;"F2";0;8.37476080206018;-0.811548412398718;19.3;0
1;"0";1;1;"F3";0;9.20161643382295;0.570048404412252;18.26;0
1;"0";1;1;"F4";0;7.73913105804553;3.45414904857104;18.47;0
1;"0";1;1;"F5";0;6.13513159311186;4.64615815780323;19.03;0
1;"0";1;1;"1";3;0.846180398458847;-0.0162012513991985;19.59;1.74841277725374
1;"0";1;1;"p";0;-3.39482701840931;1.39303829178332;22.27;0.20974858104857
1;"0";1;1;"F1";0;-4.43778280091014;-2.17958584682238;21.19;0
1;"0";1;1;"F2";0;-4.44114495547887;-1.11742357300701;18.78;0
1;"0";1;1;"F3";0;-4.6304623589651;3.01260777321026;16.31;0
1;"0";1;1;"F4";0;-4.14710060475024;7.14429767137086;20.17;0
1;"0";1;1;"F5";0;-1.47175743209676;3.73916347305555;22.12;0
1;"0";1;1;"1";4;1.70267303508513;-1.00787678472901;22.29;1.73231628917098
1;"0";1;1;"p";0;8.17074570065445;4.15465515153202;26.75;0.199884656545049
1;"0";1;1;"F1";0;3.99389383181914;4.86684084768649;25.9;0
1;"0";1;1;"F2";0;6.1179153641293;7.40820515259887;21.22;0
1;"0";1;1;"F3";0;11.2080276877089;7.40068628679774;18.81;0
1;"0";1;1;"F4";0;13.4671623871324;2.47299814631435;24.3;0
1;"0";1;1;"F5";0;11.4214494764295;1.63397568714916;28.02;0
1;"0";1;1;"1";5;0.463225033139669;-1.15810544535474;26.74;1.73175544102025
1;"0";1;1;"p";0;-3.32952884771013;5.65897736177755;26.86;0.193892232256873
1;"0";1;1;"F1";0;-3.12249965773833;1.88205547821951;25.69;0
1;"0";1;1;"F2";0;-3.16886967353544;5.61551899372826;21.14;0
1;"0";1;1;"F3";0;-0.113589240288817;8.79692771852619;20.48;0
1;"0";1;1;"F4";0;2.78210491185925;7.66756711304382;25.83;0
1;"0";1;1;"F5";0;-0.477415876203581;8.03638174424262;27.97;0
1;"0";1;1;"1";6;2.1219733587913;-2.24666136589714;30.74;1.72723245816815
1;"0";1;1;"p";0;8.96724753280019;-3.25553275643553;36.01;0.184019815020213
1;"0";1;1;"F1";0;7.06983442668718;-6.36050030936592;38.53;0
1;"0";1;1;"F2";0;7.84149069091106;-7.9143170971128;32.32;0
1;"0";1;1;"F3";0;14.3784079006366;-5.04914460785607;31.04;0
1;"0";1;1;"F4";0;14.4121115153683;-1.83653444377546;33.77;0
1;"0";1;1;"F5";0;8.516561550923;0.462811249400865;34.07;0
1;"0";1;1;"1";7;1.52066961576357;-1.9545418550444;33.6;1.66681767332274
1;"0";1;1;"p";0;-2.99129728569879;5.34465362665823;34.77;0.187575188389164
1;"0";1;1;"F1";0;-6.1463984489739;2.85500773828373;34.38;0
1;"0";1;1;"F2";0;-4.20947478824754;3.50124819857571;29.75;0
1;"0";1;1;"F3";0;1.07221148908287;6.88957965636723;28.25;0
1;"0";1;1;"F4";0;1.82821997490334;6.85873862254128;33.25;0
1;"0";1;1;"F5";0;-2.30550523627134;7.86611932441065;37.88;0
1;"0";1;1;"1";8;1.97581532419374;-2.05525125926069;36.76;1.60103773614827
1;"0";1;1;"p";0;2.2683156122772;-7.93920771571677;43.28;0.194015697642054
1;"0";1;1;"F1";0;6.73288465554839;-6.86751594199427;43.07;0
1;"0";1;1;"F2";0;7.6623825637233;-10.6381967344638;40;0
1;"0";1;1;"F3";0;1.03750843605105;-13.704276119036;37.39;0
1;"0";1;1;"F4";0;-2.91017544100193;-8.56445199686455;37.19;0
1;"0";1;1;"F5";0;-1.4577641894767;-3.74505353269467;41.2;0
1;"0";1;1;"1";9;3.37969011102146;-0.461878866218369;41.88;1.55879269018862
1;"0";1;1;"p";0;2.96474305689007;5.94505635604413;44.54;0.199101327819695
1;"0";1;1;"F1";0;6.15939982546062;6.25917119336701;46.43;0
1;"0";1;1;"F2";0;6.62099552277576;8.96888140152952;40.87;0
1;"0";1;1;"F3";0;2.16176254079128;8.1447204873982;37.98;0
1;"0";1;1;"F4";0;-3.52160237512391;5.78189099026043;42.18;0
1;"0";1;1;"F5";0;-2.19541783980825;5.12065383288831;46.3;0
1;"0";1;1;"1";10;4.51328920580632;-1.99845072991462;46.37;1.52721412585043
1;"0";1;1;"p";0;5.62746057202612;-8.01566122703833;51.87;0.182161577454309
1;"0";1;1;"F1";0;8.55349618433715;-4.87024939462473;51.93;0
1;"0";1;1;"F2";0;10.8902924402046;-9.94343214892834;47.96;0
1;"0";1;1;"F3";0;5.38876709649666;-14.6092888647458;47.09;0
1;"0";1;1;"F4";0;-1.14806402802469;-10.2741488612985;49.03;0
1;"0";1;1;"F5";0;0.449178416543438;-5.10801717760423;50.25;0
1;"0";1;1;"1";11;5.5615073038437;-0.861595937539221;51.8;1.50696123462556
1;"0";1;1;"p";0;8.57984076422211;3.13586114440174;56.53;0.216424423901962
1;"0";1;1;"F1";0;11.9896065685247;-0.589309611390371;56.63;0
1;"0";1;1;"F2";0;15.2512364153518;1.20115701557781;54.74;0
1;"0";1;1;"F3";0;13.6016041011485;8.54085818305979;52.83;0
1;"0";1;1;"F4";0;8.17279335312257;8.14764849076005;53.69;0
1;"0";1;1;"F5";0;6.16089453028959;2.33679974667082;57.78;0
1;"0";1;1;"1";12;6.48910505105079;-3.25866965759381;56.33;1.49030695887081
1;"0";1;1;"p";0;1.85160756538424;-5.94299770580933;63.3;0.195514642294434
1;"0";1;1;"F1";0;5.87423790947577;-8.31831770841823;65.86;0
1;"0";1;1;"F2";0;2.6359589257416;-12.0427840089109;62;0
