Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0,267168990050495;-0,00155255493500166;5,12;1,87470923785153
1;0;1;1;1;0;1,09901298078833;-1,17753536734059;6,33;1,84267820802588
1;0;1;1;1;1;0,68082511330965;-2,41613090563937;8,19;1,83591246782415
1;0;1;1;1;2;2,49209725378717;-2,13101122352326;10,07;1,77728678398025
1;0;1;1;1;3;1,93394089702685;-4,06012020992295;13,14;1,77006315717933
1;0;1;1;1;4;4,63301360118889;-3,49037769119417;15,9;1,76614602643043
1;0;1;1;1;5;3,00833325285325;-4,40389494102142;18,9;1,74218280119219
1;0;1;1;p;0;-1,69200868220668;-11,9873826408543;18,18;0,206590155436307
1;0;1;1;F1;0;2,78377877992796;-12,1131864317285;16,83;0
1;0;1;1;F2;0;2,81111021395684;-17,0237722412541;13,31;0
1;0;1;1;F3;0;-6,17194243909583;-18,6464136164457;12,56;0
1;0;1;1;F4;0;-10,5424600929462;-15,3278182151678;17,26;0
1;0;1;1;F5;0;-5,7239086778365;-9,28021023680611;20,7;0
1;0;1;1;1;6;6,69225668950121;-4,401046622935;22,76;1,6868493036194
1;0;1;1;p;0;13,2741333348852;-2,34005176002327;29,46;0,181428659305729
1;0;1;1;F1;0;11,3691561891961;-6,38104941832528;31,04;0
1;0;1;1;F2;0;17,4560974452548;-6,21447767615332;28,87;0
1;0;1;1;F3;0;18,1623390782996;-3,38477402457523;26,69;0
1;0;1;1;F4;0;15,6315087271052;-0,265303278843975;26,54;0
1;0;1;1;F5;0;11,4069946586037;2,18750753429125;29,18;0
1;0;1;1;1;7;5,80371512934068;-4,11348115931408;29,15;1,64529233505809
1;0;1;1;p;0;-3,14552968124135;-2,55723011264116;33,82;0,214766494102584
1;0;1;1;F1;0;-6,13743631794067;-7,90951884525589;36,77;0
1;0;1;1;F2;0;-7,14134758362281;-8,14395896689996;29,47;0
1;0;1;1;F3;0;-7,35958403371537;-1,02875181237165;26,13;0
1;0;1;1;F4;0;-7,03440716454287;4,82498716402243;30,6;0
1;0;1;1;F5;0;-3,27090070329932;4,23879682276957;34,93;0
1;0;1;1;1;8;9,69452873330615;-5,43335596367898;33,61;1,62670833090149
1;0;1;1;p;0;18,2586824248582;-10,1682552812438;36,89;0,248093067777159
1;0;1;1;F1;0;20,1261339303592;-4,00615134877059;37,47;0
1;0;1;1;F2;0;26,5624009834176;-5,83707090509046;35,24;0
1;0;1;1;F3;0;24,5412060114717;-12,8490942140492;31,45;0
