"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;0.108435882234028;-0.526609313255555;12.17;1.87470923785153
1;"0";1;1;"1";0;0.195440417685658;0.750782643354025;12.15;1.84267820802588
1;"0";1;1;"1";1;0.84338166526869;1.1987470835505;12.73;1.83591246782415
1;"0";1;1;"1";2;2.01357482076349;0.210239127673007;13.58;1.77728678398025
1;"0";1;1;"1";3;2.52306518305601;0.734566859851116;16.88;1.77006315717933
1;"0";1;1;"1";4;4.74790491798256;-1.825157374103;19.9;1.76614602643043
1;"0";1;1;"p";0;9.74854214599724;-5.91949826291447;20.88;0.208292828689128
1;"0";1;1;"F1";0;8.69486445608689;-8.87749814894983;18.65;0
1;"0";1;1;"F2";0;13.0524562793706;-6.99423143877538;17.39;0
1;"0";1;1;"F3";0;12.9299403419765;-3.89670180290675;18.32;0
1;"0";1;1;"F4";0;11.9238943293832;-2.34868002639809;19.95;0
1;"0";1;1;"F5";0;10.2071665431318;-2.62607092010685;21.59;0
1;"0";1;1;"1";5;5.08932348983036;-1.78233963481881;24.69;1.69986512841618
1;"0";1;1;"p";0;-0.0239045562255225;6.18050526816829;23.63;0.18359063231764
1;"0";1;1;"F1";0;-0.9880127632902;3.86287817023589;21.72;0
1;"0";1;1;"F2";0;-0.972648843340619;6.8699139116204;17.53;0
1;"0";1;1;"F3";0;1.94193651104883;12.9726749434795;17.98;0
1;"0";1;1;"F4";0;3.82283720461645;6.98042890539525;20.25;0
1;"0";1;1;"F5";0;4.25851986558734;5.32807282424042;25.59;0
1;"0";1;1;"1";6;6.17979037701313;-4.21837780528287;28.52;1.67858437045788
1;"0";1;1;"p";0;4.82519262160265;-2.18919941957183;34.01;0.194105591064189
1;"0";1;1;"F1";0;2.5208255491513;-3.34867878351153;31.25;0
1;"0";1;1;"F2";0;0.642244088520188;-2.72784732830562;29.02;0
1;"0";1;1;"F3";0;4.78075306003098;1.08917290909484;29.05;0
1;"0";1;1;"F4";0;6.46536754181919;1.62262773168945;29.56;0
1;"0";1;1;"F5";0;9.34272610463812;1.02512651748767;32.55;0
1;"0";1;1;"1";7;3.79943210973983;-3.23050406870334;33.58;1.64485820239769
1;"0";1;1;"p";0;-5.4617315473179;-0.0184412241759775;33.77;0.21151562703307
1;"0";1;1;"F1";0;-4.44507236145676;-4.63116320797298;34.19;0
1;"0";1;1;"F2";0;-7.63751901921457;-4.65076773222109;29.33;0
1;"0";1;1;"F3";0;-5.3576687215441;1.50595076225401;26.29;0
1;"0";1;1;"F4";0;-6.63704524086677;3.64531882825057;27.31;0
1;"0";1;1;"F5";0;-3.44966528654603;3.71466597523092;33.47;0
1;"0";1;1;"1";8;5.74189615233973;-2.44562608888329;41.06;1.60406803358547
1;"0";1;1;"p";0;1.19275015049029;5.4661164912224;41.69;0.215271869222809
1;"0";1;1;"F1";0;-1.81288141286209;2.01377251858874;40.56;0
1;"0";1;1;"F2";0;-1.42590698796359;5.63562988663548;36.35;0
1;"0";1;1;"F3";0;-0.403717739952467;6.23831483024238;35.35;0
1;"0";1;1;"F4";0;1.2978286494558;9.46736111121942;36.04;0
1;"0";1;1;"F5";0;4.61551064490601;7.50746668113766;39.42;0
1;"0";1;1;"1";9;3.44410993637894;-1.34078288474045;47.32;1.5535169537202
1;"0";1;1;"p";0;-5.39435024958252;1.64896987111982;47.85;0.207796864728229
1;"0";1;1;"F1";0;-5.96259329905571;-1.55510563309749;49.06;0
