"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;0.104871687360084;-0.527330672873869;25.99;1.87470923785153
1;"0";1;1;"1";0;-1.09587377115238;-0.470670776459098;28.27;1.84267820802588
1;"0";1;1;"1";1;1.16933930792293;-1.22174314739694;29.24;1.83591246782415
1;"0";1;1;"p";0;7.13203229200736;-4.6249170156485;25.31;0.183287427751799
1;"0";1;1;"F1";0;9.03601008403815;-2.23005406185479;26.86;0
1;"0";1;1;"F2";0;10.4372819137169;-0.887468027610175;22.2;0
1;"0";1;1;"F3";0;8.74678973272285;-3.85871964704565;18.33;0
1;"0";1;1;"F4";0;6.03142651373263;-9.04686985583442;20.39;0
1;"0";1;1;"F5";0;6.76088578254953;-8.13979258507017;25.67;0
1;"0";1;1;"1";2;1.46468703219746;0.236738844869627;31.82;1.83184961325829
1;"0";1;1;"p";0;-5.94680936342745;4.89046006316781;29.54;0.208292828689128
1;"0";1;1;"F1";0;-7.34258250022837;1.71417019122839;30.74;0
1;"0";1;1;"F2";0;-6.0944074116942;0.862431411811432;25.74;0
1;"0";1;1;"F3";0;-4.81035034506702;5.72170064181349;24.29;0
1;"0";1;1;"F4";0;-3.39679763150031;8.22465264414358;26.82;0
1;"0";1;1;"F5";0;-3.66675100423764;7.15431383024036;31.44;0
1;"0";1;1;"1";3;3.09674959737625;-0.130510094328333;35.54;1.76310295495439
1;"0";1;1;"p";0;1.76670979556643;-9.1146290898449;35.08;0.18359063231764
1;"0";1;1;"F1";0;6.36274379893651;-8.32629449091751;35.04;0
1;"0";1;1;"F2";0;7.02824862109081;-10.4247470950259;30.09;0
1;"0";1;1;"F3";0;1.27629648606816;-12.1566670228541;27.37;0
1;"0";1;1;"F4";0;-3.45875751718862;-10.3404722133026;30.43;0
1;"0";1;1;"F5";0;-2.75152566157042;-7.80419086014027;35.92;0
1;"0";1;1;"1";4;1.34084430591469;1.96276404142582;38.93;1.74103051719875
1;"0";1;1;"p";0;-7.25139993772335;7.09693767090787;35.17;0.194105591064189
1;"0";1;1;"F1";0;-6.34043686566504;11.4004183878794;36.71;0
1;"0";1;1;"F2";0;-7.67584467050546;11.7536689997279;29.78;0
1;"0";1;1;"F3";0;-9.68066923676369;7.6716990759622;27.3;0
1;"0";1;1;"F4";0;-13.2072871928661;7.19392738184854;30.66;0
1;"0";1;1;"F5";0;-11.0430110708924;3.40367556068222;35.55;0
1;"0";1;1;"1";5;1.82892326083579;1.05486595586603;42.29;1.70604967926508
1;"0";1;1;"p";0;9.65628894090062;-7.08715753406222;42.05;0.21151562703307
1;"0";1;1;"F1";0;14.4781155771648;-4.21411247875707;41.08;0
1;"0";1;1;"F2";0;12.9455143362413;-5.18947571177318;35.48;0
1;"0";1;1;"F3";0;9.42761168725634;-10.2831247919774;33.87;0
1;"0";1;1;"F4";0;7.15034776594252;-12.7877942377691;39.69;0
1;"0";1;1;"F5";0;5.46088290346179;-10.3366295190194;44.19;0
1;"0";1;1;"1";6;-1.25000699973828;2.86370217026502;46.49;1.66374204793382
1;"0";1;1;"p";0;-9.91228078705925;8.16399582566677;46.46;0.215271869222809
1;"0";1;1;"F1";0;-9.72361052337943;13.6625050355893;47.46;0
1;"0";1;1;"F2";0;-11.1199339263534;13.3248943806815;41.54;0
1;"0";1;1;"F3";0;-15.0502069279503;9.84346448293567;39.25;0
1;"0";1;1;"F4";0;-16.2333793134147;5.02190839529401;42.63;0
1;"0";1;1;"F5";0;-13.3895856729336;4.08071886583727;47.83;0
1;"0";1;1;"1";7;-0.985258233324667;3.52370829954147;51.26;1.61131038332897
1;"0";1;1;"p";0;3.64160216951794;-4.7858442042103;54.76;0.207796864728229
1;"0";1;1;"F1";0;7.49524380217019;-1.42821912581199;53.94;0
1;"0";1;1;"F2";0;8.19776904169879;-5.14241598217613;48.54;0
1;"0";1;1;"F3";0;4.98712250041381;-9.87538004150881;46.66;0
1;"0";1;1;"F4";0;3.15155876044434;-13.3707063147642;53.33;0
1;"0";1;1;"F5";0;-0.669673687973392;-7.64050714063772;57.13;0
1;"0";1;1;"1";8;-3.34526652753873;5.71627776280617;56.21;1.56408098552224
1;"0";1;1;"p";0;-6.75583169780244;15.348829097701;55.76;0.194210768526236
1;"0";1;1;"F1";0;-2.62439187599203;18.7428981893311;54.85;0
1;"0";1;1;"F2";0;-4.26800469313738;17.8152469039251;48.73;0
1;"0";1;1;"F3";0;-9.99589565065612;16.4432173201423;47.36;0
1;"0";1;1;"F4";0;-14.9445777237627;14.482262007211;53.84;0
1;"0";1;1;"F5";0;-11.9776197129812;14.9510478455847;57.63;0
1;"0";1;1;"1";9;-3.59572288004866;3.10888987154652;62.55;1.52544117541119
1;"0";1;1;"p";0;4.94532225311721;-3.41033922653123;64.47;0.222498618362862
1;"0";1;1;"F1";0;9.80473394193234;-0.340857505033806;65.76;0
1;"0";1;1;"F2";0;12.5985714631004;-3.99092214902484;60.99;0
1;"0";1;1;"F3";0;8.37939833471182;-9.84432100034904;57.92;0
1;"0";1;1;"F4";0;6.52973431555283;-11.8382475326537;61.72;0
1;"0";1;1;"F5";0;1.91317857347985;-8.71096227538457;66.19;0
1;"0";1;1;"1";10;-6.98064011919413;4.73395457306947;69.43;1.4938389227142
1;"0";1;1;"p";0;-15.540952230938;10.6948568998596;67.11;0.205044468963123
1;"0";1;1;"F1";0;-19.8007989363077;7.12987358338378;68.54;0
1;"0";1;1;"F2";0;-19.3031315835347;5.82510264333956;62.46;0
1;"0";1;1;"F3";0;-18.8319329766755;11.3102801129292;58.67;0
1;"0";1;1;"F4";0;-14.3632406314161;15.7007229975845;61.83;0
1;"0";1;1;"F5";0;-11.7343938658144;15.6049906468066;64.69;0
1;"0";1;1;"1";11;-5.71033956930124;4.05106621254351;75.73;1.44521252984893
1;"0";1;1;"p";0;-0.131458247990891;-3.13538515115016;81.24;0.218876724213706
1;"0";1;1;"F1";0;5.00327741662999;-0.531947106089305;77.81;0
1;"0";1;1;"F2";0;5.13037466408763;-6.68953967865276;75.14;0
1;"0";1;1;"F3";0;0.77095031361902;-11.764716457105;76.59;0
1;"0";1;1;"F4";0;-6.16350501981361;-10.5030789383907;78.77;0
1;"0";1;1;"F5";0;-5.57297556800925;-5.63939977889102;84.43;0
1;"0";1;1;"1";12;-6.15614122458542;6.75501903834241;82.7;1.43331784459207
1;"0";1;1;"p";0;-17.5893206259239;12.4409058448846;82.14;0.175249231561401
1;"0";1;1;"F1";0;-23.2392993164036;8.21946760689916;84.26;0
1;"0";1;1;"F2";0;-24.5397243718549;8.56398854262649;77.71;0
1;"0";1;1;"F3";0;-22.0598441354507;13.862355650811;72.88;0
1;"0";1;1;"F4";0;-18.1121496885468;19.0631448749466;74.84;0
1;"0";1;1;"F5";0;-14.9123109983412;19.2165474716111;80.78;0
1;"0";1;1;"1";13;-8.49626822914376;6.51857538218564;90.17;1.39956460996968
1;"0";1;1;"p";0;-0.864043948173211;0.0917836067378339;93.73;0.218379547432164
1;"0";1;1;"F1";0;4.1583090592573;4.36407459270237;90.52;0
1;"0";1;1;"F2";0;6.58962779524866;-0.967828370032168;87.29;0
1;"0";1;1;"F3";0;1.79232241978725;-7.67173477858003;85.93;0
1;"0";1;1;"F4";0;-3.20267438199139;-9.86410950709275;90.14;0
1;"0";1;1;"F5";0;-6.11620087956349;-3.19984935701268;96.47;0
1;"0";1;1;"1";14;-6.86510229263104;8.23257587447278;96.14;1.38741262501434
1;"0";1;1;"p";0;-14.7620492020458;15.5000946745782;96.27;0.202666727216297
1;"0";1;1;"F1";0;-11.2538630407222;21.2879379566218;93.14;0
1;"0";1;1;"F2";0;-16.0044027731407;21.575813364938;86.26;0
1;"0";1;1;"F3";0;-18.6811039451655;17.2069953513695;85.2;0
1;"0";1;1;"F4";0;-23.1441812767034;13.83565426321;89.17;0
1;"0";1;1;"F5";0;-23.0145693089203;14.3321426697286;96.59;0
1;"0";1;1;"1";15;-8.49087148810588;6.48292604577989;100.6;1.37572263207295
1;"0";1;1;"p";0;-5.22014713252441;-1.76263410437402;106.95;0.160212966082733
1;"0";1;1;"F1";0;0.358570792079068;0.798616823924094;102.41;0
1;"0";1;1;"F2";0;-0.243086735328275;-7.90132042985619;99;0
1;"0";1;1;"F3";0;-5.41663867469344;-12.5275024767163;101.17;0
1;"0";1;1;"F4";0;-8.53220508321349;-9.99488605212666;107.71;0
1;"0";1;1;"F5";0;-10.2409866001733;-3.30252729550754;111.78;0
1;"0";1;1;"1";16;-9.46709344285281;8.44738289057697;108.5;1.3609921501527
1;"0";1;1;"p";0;-16.2163395374983;15.434218880774;106.99;0.210072159444675
1;"0";1;1;"F1";0;-23.8068916609817;15.6932911885992;109.17;0
1;"0";1;1;"F2";0;-22.5613071066435;11.4862590853233;100.36;0
1;"0";1;1;"F3";0;-19.9034625057989;15.9055194394732;95.62;0
1;"0";1;1;"F4";0;-15.1263991514899;19.6301490464164;98.42;0
1;"0";1;1;"F5";0;-12.557556986352;21.4131661328768;105.65;0
1;"0";1;1;"1";17;-7.88461449652458;7.62942177632528;113.38;1.35343643765082
1;"0";1;1;"1";18;-9.09797283241436;10.4191460545877;118.23;1.32301644367066
1;"0";1;1;"1";19;-10.2189082146778;9.46683104956579;125.53;1.28305061883897
1;"0";1;1;"p";0;-19.8711225665447;9.54003013162506;125.13;0.170584952322015
1;"0";1;1;"F1";0;-21.8202884169321;2.73712248212078;125.8;0
1;"0";1;1;"F2";0;-25.6885165500422;3.57091568802725;118.18;0
1;"0";1;1;"F3";0;-22.3860090902697;10.5506466626528;113.27;0
1;"0";1;1;"F4";0;-20.6736593965016;17.4355183772349;118.93;0
1;"0";1;1;"F5";0;-21.7798658194942;16.6453238760328;126.35;0
1;"0";1;1;"1";20;-8.84588921931701;10.8107502578437;132.24;1.24796029847029
1;"0";1;1;"p";0;-12.1294068180242;19.0852298293322;133.34;0.200934523443767
1;"0";1;1;"F1";0;-5.77827396898441;21.2136122042471;133.14;0
1;"0";1;1;"F2";0;-6.7711867371169;21.3241754661358;126.4;0
1;"0";1;1;"F3";0;-12.6589801647219;21.0640052260024;122.7;0
1;"0";1;1;"F4";0;-18.1871015209651;19.7250226754635;125.52;0
1;"0";1;1;"F5";0;-20.6873754062628;18.0449540761205;133.28;0
1;"0";1;1;"1";21;-11.3322288221699;9.57599709251657;138.8;1.2183502034047
1;"0";1;1;"p";0;-20.258971658354;7.3213879608407;141.11;0.227173591030581
1;"0";1;1;"F1";0;-24.255519092187;1.53535230513283;143.37;0
1;"0";1;1;"F2";0;-27.1591774743567;0.907842942927266;138.36;0
1;"0";1;1;"F3";0;-27.9288097298828;4.25002279913695;132.89;0
1;"0";1;1;"F4";0;-28.3250133973127;12.0555479354692;137.4;0
1;"0";1;1;"F5";0;-19.7019754610618;15.07485526497;142.09;0
1;"0";1;1;"1";22;-9.55560705725343;10.9221081965586;147.7;1.1919883081071
1;"0";1;1;"p";0;-11.2056269649085;17.059537161878;152.11;0.191333793650864
1;"0";1;1;"F1";0;-7.21637408132334;21.0407884012256;154.73;0
1;"0";1;1;"F2";0;-7.29679846865005;25.0371031933714;150.59;0
1;"0";1;1;"F3";0;-13.6910529700539;26.1953818175706;146.07;0
1;"0";1;1;"F4";0;-18.6728604903127;19.9319966441127;147.71;0
1;"0";1;1;"F5";0;-19.0792197908091;18.5212265994562;151.99;0
1;"0";1;1;"1";23;-12.4292311167389;9.28089377889511;154.13;1.15661089521923
1;"0";1;1;"p";0;-19.1780197281233;4.27599095477881;157.57;0.198923899188342
1;"0";1;1;"F1";0;-20.5615119810363;2.26006705092485;162.87;0
1;"0";1;1;"F2";0;-21.8051516503013;-4.29297501921559;160.29;0
1;"0";1;1;"F3";0;-24.4271404110224;-4.5019605178805;153.64;0
1;"0";1;1;"F4";0;-28.2559235893068;0.018096934595766;154.45;0
1;"0";1;1;"F5";0;-25.2255613980358;6.33109186487371;158.89;0
1;"0";1;1;"1";24;-11.3337920378526;11.6431201068427;160.05;1.11424409537233
1;"0";1;1;"p";0;-11.5458921989171;15.2492279146705;167.65;0.223038235081744
1;"0";1;1;"F1";0;-6.0002997214659;13.508048982442;170.54;0
1;"0";1;1;"F2";0;-4.40537129446719;19.7047257783344;172.72;0
1;"0";1;1;"F3";0;-6.0941813388971;25.3201438957886;170.85;0
1;"0";1;1;"F4";0;-11.4106887553441;23.065072080776;171.72;0
1;"0";1;1;"F5";0;-13.2066297747774;18.1591678975783;164.69;0
1;"0";1;1;"1";25;-14.3604605625437;10.8090471833857;167.88;1.10708798970201
1;"0";1;1;"p";0;-20.2873787204508;6.11930932829496;170.74;0.192114200925793
1;"0";1;1;"F1";0;-16.6875289754295;-1.00207268738644;175.03;0
1;"0";1;1;"F2";0;-21.0999077867672;-4.94919989907578;170.08;0
1;"0";1;1;"F3";0;-25.9874298510872;-3.6638096584153;165.2;0
1;"0";1;1;"F4";0;-22.6484783780829;3.03812312705207;170.74;0
1;"0";1;1;"F5";0;-22.550053541269;7.22420871522369;174.46;0
1;"0";1;1;"1";26;-15.5206723028503;12.0247398738527;173.57;1.08389897980595
1;"0";1;1;"p";0;-13.4112602199214;10.6722308482289;179.54;0.224766082017068
1;"0";1;1;"F1";0;-11.1956189907309;6.32031932069176;181.91;0
1;"0";1;1;"F2";0;-13.9333612506609;9.35894850474722;187.56;0
1;"0";1;1;"F3";0;-13.7771995230177;15.3686750804593;188.37;0
1;"0";1;1;"F4";0;-15.7250557373034;14.8942742283641;182.67;0
1;"0";1;1;"F5";0;-14.5157988753535;13.8178459484369;180.23;0
2;"0";1;1;"0";0;-0.104871687360082;-19.4726693271261;25.99;1.87470923785153
2;"0";1;1;"1";0;1.09587377115238;-19.5293292235409;28.27;1.84267820802588
2;"0";1;1;"1";1;-1.16933930792293;-18.7782568526031;29.24;1.83591246782415
2;"0";1;1;"p";0;-7.13203229200736;-15.3750829843515;25.31;0.183287427751799
2;"0";1;1;"F1";0;-9.03601008403815;-17.7699459381452;26.86;0
2;"0";1;1;"F2";0;-10.4372819137169;-19.1125319723898;22.2;0
2;"0";1;1;"F3";0;-8.74678973272285;-16.1412803529544;18.33;0
2;"0";1;1;"F4";0;-6.03142651373263;-10.9531301441656;20.39;0
2;"0";1;1;"F5";0;-6.76088578254953;-11.8602074149298;25.67;0
2;"0";1;1;"1";2;-1.46468703219746;-20.2367388448696;31.82;1.83184961325829
