"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.385323818074539;-0.441179748857394;22.91;2.02402781681486
1;"0";1;1;"1";0;-0.00532381807454385;0.688820251142602;23.96;1.94589742806092
1;"0";1;1;"1";1;-0.815323818074546;1.5188202511426;24.64;1.92967248035538
1;"0";1;1;"1";2;0.114676181925461;1.8588202511426;26.48;1.89572892981018
1;"0";1;1;"p";0;5.48467618192547;1.66882025114261;23.98;0.17109946319833
1;"0";1;1;"F1";0;7.07467618192545;-0.121179748857401;24.42;0
1;"0";1;1;"F2";0;5.99467618192546;-0.601179748857405;20.55;0
1;"0";1;1;"F3";0;5.15467618192547;2.97882025114261;18.66;0
1;"0";1;1;"F4";0;6.92467618192546;4.6488202511426;21.76;0
1;"0";1;1;"F5";0;5.19467618192546;4.58882025114261;24.04;0
1;"0";1;1;"1";3;-1.64532381807454;2.1788202511426;28.46;1.84220293837933
1;"0";1;1;"p";0;-5.27532381807454;7.2388202511426;25.97;0.20003816412699
1;"0";1;1;"F1";0;-5.78532381807454;4.5788202511426;26.11;0
1;"0";1;1;"F2";0;-5.52532381807454;4.47882025114261;23.27;0
1;"0";1;1;"F3";0;-4.63532381807454;5.94882025114261;20.28;0
1;"0";1;1;"F4";0;-3.58532381807454;6.58882025114261;23.37;0
1;"0";1;1;"F5";0;-2.35532381807454;8.19882025114261;26.44;0
1;"0";1;1;"1";4;-1.58532381807454;1.75882025114259;33.13;1.83355824662634
1;"0";1;1;"p";0;1.57467618192545;-6.6411797488574;29.65;0.170161358229597
1;"0";1;1;"F1";0;4.73467618192547;-5.3211797488574;32.89;0
1;"0";1;1;"F2";0;7.63467618192546;-6.52117974885739;28.02;0
1;"0";1;1;"F3";0;5.77467618192546;-10.0811797488574;23.43;0
1;"0";1;1;"F4";0;-0.635323818074539;-8.5711797488574;25.01;0
