"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.039837482618168;-0.301164895296097;19.15;1.8612467127541
1;"0";1;1;"1";0;-0.519837482618172;-1.2011648952961;19.9;1.78967272576873
1;"0";1;1;"1";1;0.230162517381828;-0.331164895296098;21.46;1.72998188439579
1;"0";1;1;"1";2;-0.019837482618172;-1.5611648952961;23.19;1.71151988082829
1;"0";1;1;"1";3;0.79016251738183;-0.521164895296096;24.85;1.68843501125323
1;"0";1;1;"1";4;0.250162517381838;-1.6111648952961;27.57;1.68695832979856
1;"0";1;1;"1";5;1.15016251738183;-0.7511648952961;29.67;1.64533015643057
1;"0";1;1;"p";0;8.19016251738184;2.2288351047039;26.2;0.202818664372073
1;"0";1;1;"F1";0;11.4801625173818;-0.1411648952961;28.05;0
1;"0";1;1;"F2";0;8.97016251738184;-2.1911648952961;21.95;0
1;"0";1;1;"F3";0;9.23016251738183;3.1688351047039;18.63;0
1;"0";1;1;"F4";0;5.53016251738184;5.34883510470389;21.54;0
1;"0";1;1;"F5";0;5.29016251738183;5.56883510470391;26.29;0
1;"0";1;1;"1";6;-0.00983748261816686;-1.5011648952961;32.92;1.64190717130441
1;"0";1;1;"1";7;1.65016251738183;-1.1611648952961;39.32;1.60295217593523
1;"0";1;1;"p";0;9.04016251738183;4.0588351047039;36.09;0.227801559127513
1;"0";1;1;"F1";0;5.88016251738183;7.8288351047039;37.75;0
1;"0";1;1;"F2";0;5.73016251738183;8.4888351047039;30.89;0
1;"0";1;1;"F3";0;10.3601625173818;5.0588351047039;27.63;0
1;"0";1;1;"F4";0;14.4801625173818;0.388835104703901;31.78;0
1;"0";1;1;"F5";0;13.1501625173818;1.3088351047039;37.51;0
1;"0";1;1;"1";8;-0.0998374826181703;-0.521164895296096;44.94;1.5510149416055
1;"0";1;1;"p";0;-8.92983748261817;-0.0711648952960928;50.42;0.20247737778502
1;"0";1;1;"F1";0;-9.54983748261816;5.31883510470391;50.25;0
1;"0";1;1;"F2";0;-14.6398374826182;0.468835104703899;48.82;0
1;"0";1;1;"F3";0;-13.0398374826182;-2.5511648952961;45.16;0
1;"0";1;1;"F4";0;-11.6998374826182;-6.1411648952961;48.67;0
1;"0";1;1;"F5";0;-6.95983748261817;-3.4211648952961;53.46;0
1;"0";1;1;"1";9;1.53016251738184;0.628835104703896;47.75;1.49347251414493
1;"0";1;1;"p";0;5.09016251738183;9.56883510470391;43.96;0.219028949804343
1;"0";1;1;"F1";0;2.14016251738184;12.5088351047039;46.83;0
1;"0";1;1;"F2";0;1.72016251738184;14.7688351047039;41.04;0
1;"0";1;1;"F3";0;4.40016251738183;13.8788351047039;36.5;0
1;"0";1;1;"F4";0;10.1901625173818;10.8388351047039;38.35;0
1;"0";1;1;"F5";0;10.7201625173818;8.7788351047039;45.59;0
1;"0";1;1;"1";10;0.230162517381828;-0.0411648952961059;55.2;1.49126874772415
1;"0";1;1;"1";11;3.13016251738183;-0.511164895296105;61.24;1.46366359611462
1;"0";1;1;"p";0;9.09016251738183;5.50883510470391;58.58;0.247610813139448
1;"0";1;1;"F1";0;6.48016251738183;10.5388351047039;56.41;0
1;"0";1;1;"F2";0;7.31016251738184;8.3588351047039;51.55;0
1;"0";1;1;"F3";0;12.8601625173818;8.1688351047039;51.06;0
1;"0";1;1;"F4";0;16.7701625173818;7.6988351047039;54.6;0
1;"0";1;1;"F5";0;14.2301625173818;6.8088351047039;61.41;0
1;"0";1;1;"1";12;1.98016251738183;-0.901164895296105;66.86;1.41510018198609
1;"0";1;1;"p";0;-9.34983748261817;2.59883510470389;68.22;0.186011908163872
1;"0";1;1;"F1";0;-9.57983748261816;2.9788351047039;74.28;0
1;"0";1;1;"F2";0;-13.0898374826182;-3.24116489529609;71.42;0
1;"0";1;1;"F3";0;-16.9898374826182;-3.04116489529611;65.89;0
1;"0";1;1;"F4";0;-13.6698374826182;0.348835104703895;60.49;0
1;"0";1;1;"F5";0;-10.5798374826182;5.6688351047039;62.35;0
1;"0";1;1;"1";13;4.34016251738183;-1.24116489529609;72.75;1.39293756420218
1;"0";1;1;"1";14;3.91016251738183;-0.721164895296099;81.49;1.34004588308086
1;"0";1;1;"p";0;-4.45983748261817;3.17883510470391;83.44;0.243604078579418
1;"0";1;1;"F1";0;-4.21983748261816;0.528835104703901;88.98;0
1;"0";1;1;"F2";0;-11.6298374826182;2.20883510470389;88.2;0
1;"0";1;1;"F3";0;-12.1398374826182;0.208835104703894;80.94;0
1;"0";1;1;"F4";0;-11.2998374826182;6.7988351047039;78.27;0
1;"0";1;1;"F5";0;-5.42983748261817;8.78883510470391;80.1;0
1;"0";1;1;"1";15;5.58016251738184;-0.3911648952961;89.19;1.33892757374687
1;"0";1;1;"p";0;14.0001625173818;-1.7311648952961;94.96;0.147539895165017
1;"0";1;1;"F1";0;17.2801625173818;-8.4511648952961;96.79;0
1;"0";1;1;"F2";0;22.0401625173818;-3.1611648952961;92.75;0
1;"0";1;1;"F3";0;20.4901625173818;1.9488351047039;94.28;0
1;"0";1;1;"F4";0;15.8601625173818;5.7388351047039;97.59;0
1;"0";1;1;"F5";0;11.6101625173818;2.75883510470391;99.11;0
1;"0";1;1;"1";16;1.43016251738183;2.92883510470391;95.83;1.28698731377577
1;"0";1;1;"p";0;-4.49983748261816;11.0588351047039;95.27;0.211709735641889
1;"0";1;1;"F1";0;-9.25983748261817;7.81883510470391;99.39;0
1;"0";1;1;"F2";0;-12.2998374826182;10.2988351047039;97.55;0
1;"0";1;1;"F3";0;-14.2298374826182;12.5588351047039;93.24;0
1;"0";1;1;"F4";0;-9.59983748261817;15.3488351047039;87.62;0
1;"0";1;1;"F5";0;-2.46983748261816;17.2888351047039;90.36;0
1;"0";1;1;"1";17;2.05016251738184;3.7788351047039;104.69;1.26860037348627
1;"0";1;1;"p";0;7.45016251738184;3.3388351047039;112.75;0.235218667418905
1;"0";1;1;"F1";0;13.3101625173818;-1.43116489529609;113.4;0
1;"0";1;1;"F2";0;15.9201625173818;4.4888351047039;110.79;0
1;"0";1;1;"F3";0;13.2101625173818;7.3888351047039;107.8;0
1;"0";1;1;"F4";0;6.63016251738183;11.7788351047039;107.88;0
1;"0";1;1;"F5";0;2.98016251738183;7.2688351047039;115.57;0
1;"0";1;1;"1";18;1.59016251738183;6.8588351047039;110.78;1.22402438145474
1;"0";1;1;"p";0;-11.7498374826182;15.0688351047039;112.02;0.189558928410688
1;"0";1;1;"F1";0;-9.21983748261816;20.9988351047039;111.65;0
1;"0";1;1;"F2";0;-11.5298374826182;21.4688351047039;110.05;0
1;"0";1;1;"F3";0;-20.6098374826182;17.6088351047039;114.39;0
1;"0";1;1;"F4";0;-21.6398374826182;11.2988351047039;116.06;0
1;"0";1;1;"F5";0;-16.0198374826182;9.0788351047039;117.54;0
1;"0";1;1;"1";19;2.60016251738183;4.64883510470391;119.19;1.20967937888759
1;"0";1;1;"p";0;-4.29983748261816;-0.981164895296104;113.7;0.189578696576594
1;"0";1;1;"F1";0;-11.3398374826182;4.03883510470391;113.06;0
1;"0";1;1;"F2";0;-11.8998374826182;0.438835104703898;104.68;0
1;"0";1;1;"F3";0;-8.68983748261816;-8.3111648952961;106.36;0
1;"0";1;1;"F4";0;-4.02983748261816;-12.5211648952961;111.12;0
1;"0";1;1;"F5";0;-2.38983748261816;-8.8411648952961;117.4;0
1;"0";1;1;"1";20;2.27016251738183;6.2488351047039;129.67;1.16495986164931
1;"0";1;1;"p";0;-8.56983748261817;3.9988351047039;130.57;0.200026601326834
1;"0";1;1;"F1";0;-9.97983748261817;-2.54116489529611;126.7;0
1;"0";1;1;"F2";0;-13.6698374826182;3.14883510470391;119.66;0
1;"0";1;1;"F3";0;-7.90983748261817;12.0988351047039;122.28;0
1;"0";1;1;"F4";0;-11.1398374826182;11.4388351047039;130.95;0
1;"0";1;1;"F5";0;-7.73983748261817;8.0888351047039;134.86;0
1;"0";1;1;"1";21;6.45016251738184;8.0288351047039;135.04;1.13872351277597
1;"0";1;1;"p";0;12.7501625173818;17.8788351047039;132.19;0.192903221829049
1;"0";1;1;"F1";0;16.2001625173818;23.0388351047039;139.11;0
1;"0";1;1;"F2";0;18.4701625173818;25.4288351047039;127.43;0
1;"0";1;1;"F3";0;16.6301625173818;27.0488351047039;121.56;0
1;"0";1;1;"F4";0;11.5901625173818;22.9688351047039;120.01;0
1;"0";1;1;"F5";0;2.28016251738184;21.5288351047039;133.02;0
1;"0";1;1;"1";22;4.15016251738183;7.3388351047039;142.94;1.11641456979053
1;"0";1;1;"1";23;4.93016251738183;5.7688351047039;154.23;1.0749158458889
1;"0";1;1;"p";0;2.21016251738183;-4.49116489529609;161.18;0.202953542138317
1;"0";1;1;"F1";0;-5.46983748261816;-6.99116489529609;163.77;0
1;"0";1;1;"F2";0;-4.20983748261817;-9.8911648952961;152.38;0
1;"0";1;1;"F3";0;3.93016251738183;-12.4011648952961;154.02;0
1;"0";1;1;"F4";0;8.79016251738183;-7.68116489529609;160.52;0
1;"0";1;1;"F5";0;7.04016251738183;-4.1911648952961;167;0
1;"0";1;1;"1";24;-0.0298374826181629;11.3688351047039;162.44;1.07443896464974
1;"0";1;1;"p";0;-9.48983748261817;15.7588351047039;167.55;0.169123902968462
1;"0";1;1;"F1";0;-12.1398374826182;15.0388351047039;175.91;0
1;"0";1;1;"F2";0;-20.5298374826182;12.8188351047039;168.55;0
1;"0";1;1;"F3";0;-12.8498374826182;23.7588351047039;167.86;0
1;"0";1;1;"F4";0;-10.9498374826182;30.1288351047039;160.43;0
1;"0";1;1;"F5";0;-22.0568347541661;17.6524474801717;162.63;0
2;"0";1;1;"0";0;0.0398374826181704;-19.6988351047039;19.15;1.8612467127541
2;"0";1;1;"1";0;0.519837482618174;-18.7988351047039;19.9;1.78967272576873
2;"0";1;1;"1";1;-0.230162517381826;-19.6688351047039;21.46;1.72998188439579
2;"0";1;1;"1";2;0.0198374826181743;-18.4388351047039;23.19;1.71151988082829
2;"0";1;1;"1";3;-0.790162517381828;-19.4788351047039;24.85;1.68843501125323
2;"0";1;1;"1";4;-0.250162517381836;-18.3888351047039;27.57;1.68695832979856
2;"0";1;1;"1";5;-1.15016251738183;-19.2488351047039;29.67;1.64533015643057
2;"0";1;1;"p";0;-8.19016251738184;-22.2288351047039;26.2;0.202818664372073
2;"0";1;1;"F1";0;-11.4801625173818;-19.8588351047039;28.05;0
2;"0";1;1;"F2";0;-8.97016251738184;-17.8088351047039;21.95;0
2;"0";1;1;"F3";0;-9.23016251738183;-23.1688351047039;18.63;0
2;"0";1;1;"F4";0;-5.53016251738184;-25.3488351047039;21.54;0
2;"0";1;1;"F5";0;-5.29016251738183;-25.5688351047039;26.29;0
2;"0";1;1;"1";6;0.00983748261816913;-18.4988351047039;32.92;1.64190717130441
2;"0";1;1;"1";7;-1.65016251738183;-18.8388351047039;39.32;1.60295217593523
2;"0";1;1;"p";0;-9.04016251738183;-24.0588351047039;36.09;0.227801559127513
2;"0";1;1;"F1";0;-5.88016251738183;-27.8288351047039;37.75;0
2;"0";1;1;"F2";0;-5.73016251738183;-28.4888351047039;30.89;0
2;"0";1;1;"F3";0;-10.3601625173818;-25.0588351047039;27.63;0
2;"0";1;1;"F4";0;-14.4801625173818;-20.3888351047039;31.78;0
2;"0";1;1;"F5";0;-13.1501625173818;-21.3088351047039;37.51;0
2;"0";1;1;"1";8;0.0998374826181727;-19.4788351047039;44.94;1.5510149416055
2;"0";1;1;"p";0;8.92983748261817;-19.9288351047039;50.42;0.20247737778502
2;"0";1;1;"F1";0;9.54983748261816;-25.3188351047039;50.25;0
2;"0";1;1;"F2";0;14.6398374826182;-20.4688351047039;48.82;0
2;"0";1;1;"F3";0;13.0398374826182;-17.4488351047039;45.16;0
2;"0";1;1;"F4";0;11.6998374826182;-13.8588351047039;48.67;0
2;"0";1;1;"F5";0;6.95983748261817;-16.5788351047039;53.46;0
2;"0";1;1;"1";9;-1.53016251738184;-20.6288351047039;47.75;1.49347251414493
2;"0";1;1;"p";0;-5.09016251738183;-29.5688351047039;43.96;0.219028949804343
2;"0";1;1;"F1";0;-2.14016251738184;-32.5088351047039;46.83;0
2;"0";1;1;"F2";0;-1.72016251738184;-34.7688351047039;41.04;0
2;"0";1;1;"F3";0;-4.40016251738183;-33.8788351047039;36.5;0
2;"0";1;1;"F4";0;-10.1901625173818;-30.8388351047039;38.35;0
2;"0";1;1;"F5";0;-10.7201625173818;-28.7788351047039;45.59;0
2;"0";1;1;"1";10;-0.230162517381826;-19.9588351047039;55.2;1.49126874772415
2;"0";1;1;"1";11;-3.13016251738183;-19.4888351047039;61.24;1.46366359611462
2;"0";1;1;"p";0;-9.09016251738183;-25.5088351047039;58.58;0.247610813139448
2;"0";1;1;"F1";0;-6.48016251738183;-30.5388351047039;56.41;0
2;"0";1;1;"F2";0;-7.31016251738184;-28.3588351047039;51.55;0
2;"0";1;1;"F3";0;-12.8601625173818;-28.1688351047039;51.06;0
2;"0";1;1;"F4";0;-16.7701625173818;-27.6988351047039;54.6;0
2;"0";1;1;"F5";0;-14.2301625173818;-26.8088351047039;61.41;0
2;"0";1;1;"1";12;-1.98016251738183;-19.0988351047039;66.86;1.41510018198609
2;"0";1;1;"p";0;9.34983748261817;-22.5988351047039;68.22;0.186011908163872
2;"0";1;1;"F1";0;9.57983748261816;-22.9788351047039;74.28;0
2;"0";1;1;"F2";0;13.0898374826182;-16.7588351047039;71.42;0
2;"0";1;1;"F3";0;16.9898374826182;-16.9588351047039;65.89;0
2;"0";1;1;"F4";0;13.6698374826182;-20.3488351047039;60.49;0
2;"0";1;1;"F5";0;10.5798374826182;-25.6688351047039;62.35;0
2;"0";1;1;"1";13;-4.34016251738183;-18.7588351047039;72.75;1.39293756420218
2;"0";1;1;"1";14;-3.91016251738183;-19.2788351047039;81.49;1.34004588308086
2;"0";1;1;"p";0;4.45983748261817;-23.1788351047039;83.44;0.243604078579418
2;"0";1;1;"F1";0;4.21983748261816;-20.5288351047039;88.98;0
2;"0";1;1;"F2";0;11.6298374826182;-22.2088351047039;88.2;0
2;"0";1;1;"F3";0;12.1398374826182;-20.2088351047039;80.94;0
2;"0";1;1;"F4";0;11.2998374826182;-26.7988351047039;78.27;0
2;"0";1;1;"F5";0;5.42983748261817;-28.7888351047039;80.1;0
2;"0";1;1;"1";15;-5.58016251738184;-19.6088351047039;89.19;1.33892757374687
2;"0";1;1;"p";0;-14.0001625173818;-18.2688351047039;94.96;0.147539895165017
2;"0";1;1;"F1";0;-17.2801625173818;-11.5488351047039;96.79;0
2;"0";1;1;"F2";0;-22.0401625173818;-16.8388351047039;92.75;0
2;"0";1;1;"F3";0;-20.4901625173818;-21.9488351047039;94.28;0
2;"0";1;1;"F4";0;-15.8601625173818;-25.7388351047039;97.59;0
2;"0";1;1;"F5";0;-11.6101625173818;-22.7588351047039;99.11;0
2;"0";1;1;"1";16;-1.43016251738183;-22.9288351047039;95.83;1.28698731377577
2;"0";1;1;"p";0;4.49983748261816;-31.0588351047039;95.27;0.211709735641889
2;"0";1;1;"F1";0;9.25983748261817;-27.8188351047039;99.39;0
2;"0";1;1;"F2";0;12.2998374826182;-30.2988351047039;97.55;0
2;"0";1;1;"F3";0;14.2298374826182;-32.5588351047039;93.24;0
2;"0";1;1;"F4";0;9.59983748261817;-35.3488351047039;87.62;0
2;"0";1;1;"F5";0;2.46983748261816;-37.2888351047039;90.36;0
2;"0";1;1;"1";17;-2.05016251738184;-23.7788351047039;104.69;1.26860037348627
2;"0";1;1;"p";0;-7.45016251738184;-23.3388351047039;112.75;0.235218667418905
2;"0";1;1;"F1";0;-13.3101625173818;-18.5688351047039;113.4;0
2;"0";1;1;"F2";0;-15.9201625173818;-24.4888351047039;110.79;0
2;"0";1;1;"F3";0;-13.2101625173818;-27.3888351047039;107.8;0
2;"0";1;1;"F4";0;-6.63016251738183;-31.7788351047039;107.88;0
2;"0";1;1;"F5";0;-2.98016251738183;-27.2688351047039;115.57;0
2;"0";1;1;"1";18;-1.59016251738183;-26.8588351047039;110.78;1.22402438145474
2;"0";1;1;"p";0;11.7498374826182;-35.0688351047039;112.02;0.189558928410688
2;"0";1;1;"F1";0;9.21983748261817;-40.9988351047039;111.65;0
