"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;0.412966919830069;-0.314817629056051;22.98;1.62757325662269
1;"0";1;1;"1";0;0.392966919830073;0.96518237094395;23.9;1.61929324635381
1;"0";1;1;"1";1;-0.687033080169925;-0.794817629056041;24.6;1.60111458460918
1;"0";1;1;"1";2;0.80296691983007;0.35518237094395;25.57;1.57707326958027
1;"0";1;1;"1";3;-0.667033080169929;-1.71481762905604;27.58;1.5642174560033
1;"0";1;1;"p";0;1.22296691983007;-10.4548176290561;28.43;0.22799718551104
1;"0";1;1;"F1";0;5.09296691983008;-8.98481762905605;27.07;0
1;"0";1;1;"F2";0;5.34296691983008;-11.604817629056;24.21;0
1;"0";1;1;"F3";0;2.31296691983007;-16.0348176290561;23.92;0
1;"0";1;1;"F4";0;0.452966919830075;-16.264817629056;27.04;0
1;"0";1;1;"F5";0;-1.41703308016993;-11.7348176290561;30.84;0
1;"0";1;1;"1";4;1.60296691983007;-1.97481762905605;30.09;1.56342766834332
1;"0";1;1;"p";0;5.58296691983007;4.06518237094396;28.23;0.171397354613717
1;"0";1;1;"F1";0;7.42296691983007;2.63518237094395;29.91;0
1;"0";1;1;"F2";0;9.62296691983008;2.05518237094395;25.77;0
1;"0";1;1;"F3";0;9.68296691983008;6.41518237094395;22.13;0
1;"0";1;1;"F4";0;4.28296691983007;7.45518237094396;23.58;0
1;"0";1;1;"F5";0;2.84296691983008;7.07518237094395;28.23;0
1;"0";1;1;"1";5;-0.0170330801699237;-4.43481762905604;32.28;1.51370353325494
1;"0";1;1;"p";0;-2.67703308016993;-14.874817629056;32.12;0.188419011035294
1;"0";1;1;"F1";0;2.33296691983007;-16.324817629056;31.77;0
1;"0";1;1;"F2";0;0.162966919830069;-19.194817629056;27.41;0
1;"0";1;1;"F3";0;-6.31703308016992;-21.414817629056;26.85;0
1;"0";1;1;"F4";0;-9.35703308016993;-14.644817629056;31.01;0
1;"0";1;1;"F5";0;-4.82703308016993;-12.524817629056;35.82;0
1;"0";1;1;"1";6;2.66296691983007;-6.27481762905605;36.79;1.46073456902092
1;"0";1;1;"1";7;1.23296691983008;-7.72481762905605;40.36;1.43875217617241
1;"0";1;1;"p";0;-7.38703308016993;-0.164817629056046;47.8;0.215935088087127
1;"0";1;1;"F1";0;-8.37703308016992;-4.82481762905604;52.5;0
1;"0";1;1;"F2";0;-15.7770330801699;-4.67481762905605;49.4;0
1;"0";1;1;"F3";0;-13.8770330801699;2.86518237094396;42.66;0
1;"0";1;1;"F4";0;-12.1370330801699;7.39518237094396;44.73;0
1;"0";1;1;"F5";0;-4.09703308016992;5.92518237094396;46.44;0
1;"0";1;1;"1";8;4.51296691983008;-9.84481762905605;45.64;1.41899494803499
1;"0";1;1;"p";0;12.0429669198301;-8.53481762905605;56.68;0.219324533751938
1;"0";1;1;"F1";0;7.78296691983007;-11.4848176290561;59.9;0
1;"0";1;1;"F2";0;16.4529669198301;-13.9848176290561;60.99;0
1;"0";1;1;"F3";0;21.4929669198301;-13.264817629056;58.57;0
1;"0";1;1;"F4";0;22.1929669198301;-6.55481762905605;56;0
1;"0";1;1;"F5";0;13.3029669198301;-1.76481762905604;54.29;0
1;"0";1;1;"1";9;2.95296691983008;-7.19481762905605;52.34;1.40170913234068
1;"0";1;1;"p";0;1.13296691983007;5.62518237094396;56.32;0.191117090287318
1;"0";1;1;"F1";0;-3.60703308016993;5.73518237094396;60.68;0
1;"0";1;1;"F2";0;-2.92703308016993;13.895182370944;57.25;0
1;"0";1;1;"F3";0;-2.54703308016992;14.035182370944;52.49;0
1;"0";1;1;"F4";0;7.58296691983007;9.66518237094395;52.78;0
1;"0";1;1;"F5";0;6.18296691983008;8.74518237094395;58.06;0
1;"0";1;1;"1";10;4.01296691983008;-9.44481762905605;58.49;1.37533921210865
1;"0";1;1;"p";0;1.02296691983007;-16.0948176290561;68.89;0.200242289244877
1;"0";1;1;"F1";0;2.84296691983008;-22.374817629056;69.69;0
1;"0";1;1;"F2";0;-2.41703308016993;-24.014817629056;68.91;0
1;"0";1;1;"F3";0;-8.18703308016993;-18.684817629056;70.61;0
1;"0";1;1;"F4";0;-6.37703308016992;-15.634817629056;72.52;0
1;"0";1;1;"F5";0;-0.0370330801699339;-10.7848176290561;70.41;0
1;"0";1;1;"1";11;2.50296691983007;-5.78481762905605;62.02;1.35526480292165
1;"0";1;1;"p";0;4.32296691983007;4.37518237094396;71.77;0.197782799956995
1;"0";1;1;"F1";0;-0.707033080169921;5.81518237094396;74.51;0
1;"0";1;1;"F2";0;2.04296691983008;13.4351823709439;71.92;0
1;"0";1;1;"F3";0;4.03296691983007;13.035182370944;68.04;0
1;"0";1;1;"F4";0;11.5829669198301;5.96518237094395;68.24;0
1;"0";1;1;"F5";0;8.24296691983007;1.25518237094396;75.56;0
1;"0";1;1;"1";12;4.17296691983007;-7.00481762905605;70.78;1.34124793435696
1;"0";1;1;"p";0;4.82296691983007;-9.32481762905604;82.28;0.208632372560116
1;"0";1;1;"F1";0;10.5529669198301;-9.99481762905604;82.74;0
1;"0";1;1;"F2";0;8.21296691983007;-17.004817629056;83.68;0
1;"0";1;1;"F3";0;-0.347033080169922;-17.124817629056;84.12;0
1;"0";1;1;"F4";0;-0.287033080169934;-13.414817629056;87.74;0
1;"0";1;1;"F5";0;-1.35703308016993;-5.67481762905605;84.78;0
1;"0";1;1;"1";13;2.83296691983007;-2.47481762905605;78.88;1.29020354914426
1;"0";1;1;"p";0;3.72296691983007;5.39518237094396;89.14;0.17188751899998
1;"0";1;1;"F1";0;-2.02703308016993;3.64518237094396;91.49;0
1;"0";1;1;"F2";0;-3.06703308016992;13.145182370944;89.15;0
1;"0";1;1;"F3";0;0.932966919830079;17.415182370944;87.32;0
1;"0";1;1;"F4";0;11.5929669198301;8.69518237094395;88.09;0
1;"0";1;1;"F5";0;9.46296691983007;5.54518237094395;91.33;0
1;"0";1;1;"1";14;3.45296691983008;-5.66481762905605;86.92;1.25283969466541
1;"0";1;1;"p";0;4.44296691983007;-13.744817629056;96.83;0.205597811616786
1;"0";1;1;"F1";0;9.31296691983007;-14.644817629056;91.36;0
1;"0";1;1;"F2";0;4.17296691983007;-22.334817629056;90.94;0
1;"0";1;1;"F3";0;-1.75703308016993;-21.414817629056;92.15;0
1;"0";1;1;"F4";0;-3.42703308016993;-19.7848176290561;98.17;0
1;"0";1;1;"F5";0;0.882966919830068;-11.694817629056;101.52;0
1;"0";1;1;"1";15;3.18296691983008;-1.01481762905604;92.88;1.21655768510375
1;"0";1;1;"p";0;-0.767033080169924;10.3251823709439;101.95;0.182062878582515
1;"0";1;1;"F1";0;-8.30703308016993;10.415182370944;104.22;0
1;"0";1;1;"F2";0;-9.32703308016993;14.915182370944;99.53;0
1;"0";1;1;"F3";0;1.36296691983007;19.755182370944;98.14;0
1;"0";1;1;"F4";0;4.78296691983007;17.2151823709439;98.4;0
1;"0";1;1;"F5";0;4.19296691983007;15.025182370944;105.17;0
1;"0";1;1;"1";16;2.96296691983007;-1.61481762905605;103.44;1.19505712557833
1;"0";1;1;"p";0;9.68296691983008;-9.15481762905604;114.78;0.192390782398099
1;"0";1;1;"F1";0;5.48296691983008;-11.134817629056;119.55;0
1;"0";1;1;"F2";0;10.2029669198301;-19.5348176290561;116.03;0
1;"0";1;1;"F3";0;11.7529669198301;-18.0948176290561;112.06;0
1;"0";1;1;"F4";0;18.9929669198301;-9.75481762905605;113.11;0
1;"0";1;1;"F5";0;17.3829669198301;-7.11481762905605;113.27;0
1;"0";1;1;"1";17;2.76296691983008;2.31518237094396;111.47;1.16120786303076
1;"0";1;1;"p";0;-2.14703308016993;11.535182370944;120.56;0.239867628936283
1;"0";1;1;"F1";0;-8.09703308016992;9.46518237094395;125.31;0
1;"0";1;1;"F2";0;-8.20703308016992;19.925182370944;123.23;0
1;"0";1;1;"F3";0;-9.86703308016993;17.585182370944;118.46;0
1;"0";1;1;"F4";0;0.472966919830071;21.515182370944;115.96;0
1;"0";1;1;"F5";0;1.22296691983007;18.545182370944;121.66;0
1;"0";1;1;"1";18;5.51296691983008;-0.774817629056045;118.22;1.14626347364969
1;"0";1;1;"p";0;3.09296691983008;-0.424817629056051;131.03;0.209240562549955
1;"0";1;1;"F1";0;6.97296691983007;-4.35481762905604;129.28;0
1;"0";1;1;"F2";0;-1.11703308016993;-7.75481762905605;130.09;0
1;"0";1;1;"F3";0;-2.26703308016992;-8.94481762905605;129.28;0
1;"0";1;1;"F4";0;-3.50703308016993;8.98518237094396;129.71;0
1;"0";1;1;"F5";0;1.23296691983008;9.14518237094396;131.27;0
1;"0";1;1;"1";19;6.23296691983008;1.35518237094395;131.5;1.13877172576022
1;"0";1;1;"p";0;0.722966919830071;9.03518237094396;142.35;0.197397906801982
1;"0";1;1;"F1";0;-8.46703308016993;6.14518237094396;145.44;0
1;"0";1;1;"F2";0;-9.79703308016992;15.6551823709439;139.91;0
1;"0";1;1;"F3";0;-5.81703308016992;17.245182370944;135.68;0
1;"0";1;1;"F4";0;4.10296691983007;19.745182370944;141.91;0
1;"0";1;1;"F5";0;1.16296691983007;17.635182370944;147.26;0
