Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0.113071517;-0.117506223;15.88;1.874709238
1;0;1;1;1;0;0.490847387;-0.131122112;17.3;1.842678208
1;0;1;1;1;1;1.34831841;0.781918655;18.34;1.835912468
1;0;1;1;1;2;1.813916468;-0.224867543;20.3;1.777286784
1;0;1;1;1;3;3.55540796;1.397756068;23.26;1.770063157
1;0;1;1;1;4;2.166387879;0.249225175;26.55;1.766146026
1;0;1;1;1;5;3.018797513;2.255689183;31.09;1.742182801
1;0;1;1;p;0;8.125064836;7.765764865;30.85;0.206590155
1;0;1;1;F1;0;10.03949049;5.49810651;32.25;0
1;0;1;1;F2;0;9.187099973;5.423739808;28.07;0
1;0;1;1;F3;0;6.701943949;7.345613773;25.47;0
1;0;1;1;F4;0;6.431809481;11.21239892;26.53;0
1;0;1;1;F5;0;4.340999766;8.711096312;30.04;0
1;0;1;1;1;6;0.402864796;0.343492535;35.83;1.686849304
1;0;1;1;p;0;-3.15763559;-6.624185486;35.2;0.181428659
1;0;1;1;F1;0;0.05471509;-7.979325003;35.12;0
1;0;1;1;F2;0;0.437873154;-8.049252809;31.63;0
1;0;1;1;F3;0;-3.441986834;-6.324611839;28.59;0
1;0;1;1;F4;0;-7.747961879;-4.377876389;32.92;0
1;0;1;1;F5;0;-5.887961546;-4.29244361;36.28;0
1;0;1;1;1;7;2.099110448;0.953124136;41.34;1.645292335
1;0;1;1;p;0;2.161704647;8.176051656;39.55;0.214766494
1;0;1;1;F1;0;6.002402439;8.273213727;41.12;0
1;0;1;1;F2;0;5.78472525;9.658860378;36.42;0
1;0;1;1;F3;0;1.532813998;9.330606355;32.92;0
1;0;1;1;F4;0;-1.58452466;9.245755346;35.94;0
1;0;1;1;F5;0;-1.312663998;7.218887866;40.46;0
1;0;1;1;1;8;-0.442395728;-0.994578706;45.56;1.626708331
1;0;1;1;p;0;-7.518919414;-2.686711243;43.26;0.248093068
1;0;1;1;F1;0;-8.495500166;-5.251996809;45.67;0
1;0;1;1;F2;0;-8.717352798;-7.389982171;39.44;0
1;0;1;1;F3;0;-11.15312577;-4.795678794;36.47;0
1;0;1;1;F4;0;-9.478832755;0.279825406;38.64;0
1;0;1;1;F5;0;-7.822551312;0.11848174;43.88;0
1;0;1;1;1;9;1.559890349;-0.391212759;51.78;1.612227062
1;0;1;1;p;0;-3.352263909;6.931603677;51.75;0.230235623
1;0;1;1;F1;0;-0.130415432;8.226899933;53.66;0
1;0;1;1;F2;0;-1.529520057;13.12941013;49.02;0
1;0;1;1;F3;0;-2.897492568;10.19996459;46.8;0
1;0;1;1;F4;0;-6.682859976;5.064753432;47.15;0
1;0;1;1;F5;0;-6.92539865;4.629581063;50.92;0
1;0;1;1;1;10;1.763429719;-2.595089281;59.66;1.589763823
1;0;1;1;p;0;-7.852732664;-5.808548637;59.81;0.17704686
1;0;1;1;F1;0;-6.392999393;-8.595586272;63.38;0
1;0;1;1;F2;0;-9.544477091;-11.81625209;59.19;0
1;0;1;1;F3;0;-10.55983939;-10.70573897;54.64;0
1;0;1;1;F4;0;-10.45386683;-2.89619546;53.63;0
1;0;1;1;F5;0;-9.762681187;-0.912244251;58.47;0
1;0;1;1;1;11;3.954894616;-1.369862116;65.79;1.550726479
1;0;1;1;p;0;10.44528352;1.921315768;71.01;0.155706002
1;0;1;1;F1;0;7.583137011;-0.461920972;72.16;0
1;0;1;1;F2;0;12.52764179;-2.326316991;71.24;0
1;0;1;1;F3;0;15.24440921;0.760457182;68.51;0
1;0;1;1;F4;0;15.22751796;4.132906542;69.6;0
1;0;1;1;F5;0;9.806590899;6.29982827;69.81;0
1;0;1;1;1;12;2.536272465;-2.208677467;72.83;1.542643525
1;0;1;1;p;0;-6.850986249;-7.296837628;75.05;0.191769783
