Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0.164401022;0.563663145;29.59;1.874709238
1;0;1;1;1;0;1.145194175;0.518443781;27.57;1.842678208
1;0;1;1;1;1;0.150628822;0.136685012;31.06;1.835912468
1;0;1;1;p;0;4.520485888;7.189546078;34.21;0.183287428
1;0;1;1;F1;0;7.947578035;4.829241136;37.38;0
1;0;1;1;F2;0;7.128256598;9.495718649;29.06;0
1;0;1;1;F3;0;1.546443109;8.37663055;26.6;0
1;0;1;1;F4;0;0.480212573;7.254288158;31.34;0
1;0;1;1;F5;0;0.198520636;10.87925018;33.48;0
1;0;1;1;1;2;0.76717974;-1.311612252;30.82;1.831849613
1;0;1;1;1;3;0.022452022;-0.998114842;35.87;1.806994916
1;0;1;1;p;0;-0.793523319;10.2779609;33.69;0.206590155
1;0;1;1;F1;0;-3.191524882;6.444569651;35.33;0
1;0;1;1;F2;0;-1.999372438;10.64310184;21.01;0
1;0;1;1;F3;0;-0.038784012;16.11269899;27.65;0
1;0;1;1;F4;0;2.016826927;12.63474505;31.02;0
1;0;1;1;F5;0;1.477149794;9.452222683;40.09;0
1;0;1;1;1;4;-2.043411839;-3.726705414;40.31;1.74960292
1;0;1;1;p;0;-4.440631678;-11.51489115;34.47;0.181428659
1;0;1;1;F1;0;-0.424790622;-13.33912266;35.74;0
1;0;1;1;F2;0;-4.687016661;-18.42017858;30.96;0
1;0;1;1;F3;0;-7.113618232;-13.41776867;22.34;0
1;0;1;1;F4;0;-9.612974669;-5.689921794;27.03;0
1;0;1;1;F5;0;-6.769887696;-4.953948655;35.91;0
1;0;1;1;1;5;0.095340141;-2.862622102;44.98;1.706499962
1;0;1;1;p;0;-2.546372434;8.177480012;49.29;0.214766494
1;0;1;1;F1;0;1.587026814;4.922451493;52.62;0
1;0;1;1;F2;0;3.421619327;14.34221637;48.53;0
1;0;1;1;F3;0;0.138864325;17.18383907;37.08;0
1;0;1;1;F4;0;-6.412059202;13.54599618;38.7;0
1;0;1;1;F5;0;-6.608398181;8.787682294;48.33;0
1;0;1;1;1;6;-3.167535357;-5.162653295;49.24;1.687224602
1;0;1;1;p;0;-5.719885653;-15.62559781;45.16;0.248093068
1;0;1;1;F1;0;-2.058033911;-12.64636271;49;0
1;0;1;1;F2;0;3.120101048;-17.07191559;41;0
1;0;1;1;F3;0;-0.886187429;-19.56952498;32.33;0
1;0;1;1;F4;0;-9.819341514;-13.6998352;34.77;0
1;0;1;1;F5;0;-10.44301541;-10.24324282;45.52;0
1;0;1;1;1;7;1.617490852;-3.877342365;53.42;1.672204606
1;0;1;1;p;0;-8.410302796;6.437014355;52.47;0.230235623
1;0;1;1;F1;0;-9.060415138;2.676993884;52.63;0
1;0;1;1;F2;0;-11.7412235;4.271034833;44.35;0
1;0;1;1;F3;0;-7.513207351;8.959497211;39.96;0
1;0;1;1;F4;0;-6.205576901;13.2964665;44.79;0
1;0;1;1;F5;0;-1.283628213;13.68598045;47.63;0
1;0;1;1;1;8;-2.616949455;-8.046132992;63.85;1.648905697
1;0;1;1;p;0;-6.172111844;-19.64025738;57.99;0.17704686
1;0;1;1;F1;0;0.250035242;-21.01139808;61.57;0
1;0;1;1;F2;0;-0.680771157;-26.70649241;52.25;0
1;0;1;1;F3;0;-3.423483339;-24.323295;46.05;0
1;0;1;1;F4;0;-14.23035675;-19.50915052;50.57;0
1;0;1;1;F5;0;-11.85261818;-16.01353051;60.64;0
1;0;1;1;1;9;-2.779734388;-0.13930676;69.84;1.608416098
1;0;1;1;p;0;-7.204644659;9.340665239;76.78;0.155706002
1;0;1;1;F1;0;-2.845215219;10.55913763;81.93;0
1;0;1;1;F2;0;-5.885230393;17.76786204;73.26;0
1;0;1;1;F3;0;-8.018689345;21.08321314;69.3;0
1;0;1;1;F4;0;-8.699324974;18.23569929;63.96;0
1;0;1;1;F5;0;-9.161462053;14.7270059;75.88;0
1;0;1;1;1;10;-4.870862583;-3.999693123;81.39;1.600032444
1;0;1;1;p;0;-10.43271366;-12.72660624;79.93;0.191769783
1;0;1;1;F1;0;-5.809533758;-16.9817922;85.66;0
1;0;1;1;F2;0;-6.36142702;-21.04405928;71.59;0
1;0;1;1;F3;0;-10.01964988;-18.58847269;67.73;0
1;0;1;1;F4;0;-17.88104797;-11.91888349;73.21;0
1;0;1;1;F5;0;-16.42191594;-10.34197712;85.71;0
1;0;1;1;1;11;-4.571528234;-1.704546298;91.39;1.574404138
1;0;1;1;p;0;-7.587718167;10.84630619;96.87;0.199676195
1;0;1;1;F1;0;-5.480197195;9.551333087;107.02;0
1;0;1;1;F2;0;-2.930285393;17.76763699;97.28;0
1;0;1;1;F3;0;-5.907065728;20.77949337;85.88;0
1;0;1;1;F4;0;-3.149374686;19.11481919;80.38;0
1;0;1;1;F5;0;-4.352095387;15.67779098;94;0
1;0;1;1;1;12;-8.239629433;-4.536265492;102.05;1.563532771
1;0;1;1;p;0;-15.88226399;-8.823005173;103.36;0.208713666
1;0;1;1;F1;0;-14.91041639;-8.129022279;113.53;0
1;0;1;1;F2;0;-8.709197454;-6.52543765;106.82;0
1;0;1;1;F3;0;-7.04909383;-19.78926274;95.17;0
1;0;1;1;F4;0;-13.8886324;-16.50245392;94.2;0
1;0;1;1;F5;0;-20.46034151;-7.344591759;100.4;0
1;0;1;1;1;13;-3.756424897;0.897165936;110.34;1.507742396
1;0;1;1;p;0;-18.013391;9.55861602;123.22;0.211878026
1;0;1;1;F1;0;-17.1651349;10.22567043;133.89;0
1;0;1;1;F2;0;-15.52524977;19.4250061;121.93;0
1;0;1;1;F3;0;-21.90062142;21.32417337;114.14;0
1;0;1;1;F4;0;-23.67255942;24.97073829;111.41;0
1;0;1;1;F5;0;-24.91544041;17.21721994;121.38;0
1;0;1;1;1;14;-17.16717515;-1.455189805;127.68;1.496943722
1;0;1;1;1;15;-7.659577374;-10.65950317;145.01;1.475810481
1;0;1;1;p;0;-31.10918848;0.844019734;154.75;0.215642726
1;0;1;1;F1;0;-33.78513612;9.827977893;156.46;0
1;0;1;1;F2;0;-32.2461499;17.02461054;140.7;0
1;0;1;1;F3;0;-33.64747185;18.22748077;131.98;0
1;0;1;1;F4;0;-40.30282246;13.80631483;140.89;0
1;0;1;1;F5;0;-39.78177824;9.171941851;156.89;0
2;0;1;1;0;0;-0.164401022;-20.56366315;29.59;1.874709238
2;0;1;1;1;0;-1.145194175;-20.51844378;27.57;1.842678208
2;0;1;1;1;1;-0.150628822;-20.13668501;31.06;1.835912468
2;0;1;1;p;0;-4.520485888;-27.18954608;34.21;0.183287428
2;0;1;1;F1;0;-7.947578035;-24.82924114;37.38;0
2;0;1;1;F2;0;-7.128256598;-29.49571865;29.06;0
2;0;1;1;F3;0;-1.546443109;-28.37663055;26.6;0
2;0;1;1;F4;0;-0.480212573;-27.25428816;31.34;0
2;0;1;1;F5;0;-0.198520636;-30.87925018;33.48;0
2;0;1;1;1;2;-0.76717974;-18.68838775;30.82;1.831849613
2;0;1;1;1;3;-0.022452022;-19.00188516;35.87;1.806994916
2;0;1;1;p;0;0.793523319;-30.2779609;33.69;0.206590155
2;0;1;1;F1;0;3.191524882;-26.44456965;35.33;0
2;0;1;1;F2;0;1.999372438;-30.64310184;21.01;0
2;0;1;1;F3;0;0.038784012;-36.11269899;27.65;0
2;0;1;1;F4;0;-2.016826927;-32.63474505;31.02;0
2;0;1;1;F5;0;-1.477149794;-29.45222268;40.09;0
2;0;1;1;1;4;2.043411839;-16.27329459;40.31;1.74960292
2;0;1;1;p;0;4.440631678;-8.485108851;34.47;0.181428659
2;0;1;1;F1;0;0.424790622;-6.660877338;35.74;0
2;0;1;1;F2;0;4.687016661;-1.579821425;30.96;0
2;0;1;1;F3;0;7.113618232;-6.582231325;22.34;0
2;0;1;1;F4;0;9.612974669;-14.31007821;27.03;0
2;0;1;1;F5;0;6.769887696;-15.04605134;35.91;0
2;0;1;1;1;5;-0.095340141;-17.1373779;44.98;1.706499962
2;0;1;1;p;0;2.546372434;-28.17748001;49.29;0.214766494
2;0;1;1;F1;0;-1.587026814;-24.92245149;52.62;0
2;0;1;1;F2;0;-3.421619327;-34.34221637;48.53;0
2;0;1;1;F3;0;-0.138864325;-37.18383907;37.08;0
2;0;1;1;F4;0;6.412059202;-33.54599618;38.7;0
2;0;1;1;F5;0;6.608398181;-28.78768229;48.33;0
2;0;1;1;1;6;3.167535357;-14.83734671;49.24;1.687224602
2;0;1;1;p;0;5.719885653;-4.374402189;45.16;0.248093068
2;0;1;1;F1;0;2.058033911;-7.353637295;49;0
2;0;1;1;F2;0;-3.120101048;-2.928084409;41;0
2;0;1;1;F3;0;0.886187429;-0.430475025;32.33;0
2;0;1;1;F4;0;9.819341514;-6.300164802;34.77;0
2;0;1;1;F5;0;10.44301541;-9.75675718;45.52;0
2;0;1;1;1;7;-1.617490852;-16.12265763;53.42;1.672204606
2;0;1;1;p;0;8.410302796;-26.43701435;52.47;0.230235623
2;0;1;1;F1;0;9.060415138;-22.67699388;52.63;0
2;0;1;1;F2;0;11.7412235;-24.27103483;44.35;0
2;0;1;1;F3;0;7.513207351;-28.95949721;39.96;0
2;0;1;1;F4;0;6.205576901;-33.2964665;44.79;0
2;0;1;1;F5;0;1.283628213;-33.68598045;47.63;0
2;0;1;1;1;8;2.616949455;-11.95386701;63.85;1.648905697
2;0;1;1;p;0;6.172111844;-0.359742617;57.99;0.17704686
2;0;1;1;F1;0;-0.250035242;1.011398078;61.57;0
2;0;1;1;F2;0;0.680771157;6.70649241;52.25;0
2;0;1;1;F3;0;3.423483339;4.323295002;46.05;0
2;0;1;1;F4;0;14.23035675;-0.490849475;50.57;0
2;0;1;1;F5;0;11.85261818;-3.986469488;60.64;0
2;0;1;1;1;9;2.779734388;-19.86069324;69.84;1.608416098
2;0;1;1;p;0;7.204644659;-29.34066524;76.78;0.155706002
2;0;1;1;F1;0;2.845215219;-30.55913763;81.93;0
2;0;1;1;F2;0;5.885230393;-37.76786204;73.26;0
2;0;1;1;F3;0;8.018689345;-41.08321314;69.3;0
2;0;1;1;F4;0;8.699324974;-38.23569929;63.96;0
2;0;1;1;F5;0;9.161462053;-34.7270059;75.88;0
2;0;1;1;1;10;4.870862583;-16.00030688;81.39;1.600032444
2;0;1;1;p;0;10.43271366;-7.27339376;79.93;0.191769783
2;0;1;1;F1;0;5.809533758;-3.018207801;85.66;0
2;0;1;1;F2;0;6.36142702;1.044059279;71.59;0
2;0;1;1;F3;0;10.01964988;-1.411527307;67.73;0
