Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;-0.0392434599443457;-0.299290956914393;18.25;1.87470923785153
1;0;1;1;1;0;0.425909691515061;0.40500482305832;19.2;1.84267820802588
1;0;1;1;1;1;0.0871286952624096;-0.891346763733647;22.46;1.83591246782415
1;0;1;1;1;2;-0.857840289862792;-2.3135400055793;25.56;1.77728678398025
1;0;1;1;1;3;1.28026754037002;-2.47163778006427;26.56;1.77006315717933
1;0;1;1;p;0;5.8272470587205;0.655114090439872;24.23;0.231905616042756
1;0;1;1;F1;0;5.96351612362264;-2.12381209460908;24.54;0.0
1;0;1;1;F2;0;9.1746087896;-2.35049224483483;22.23;0.0
1;0;1;1;F3;0;7.98802726840926;-0.21851562827247;19.44;0.0
1;0;1;1;F4;0;3.6940963230786;3.39578334064691;22.6;0.0
1;0;1;1;F5;0;3.48496614399115;1.78321874715155;25.05;0.0
1;0;1;1;1;4;-0.186000680267999;-3.83180597008601;29.45;1.74380349452293
1;0;1;1;p;0;-7.14054754764374;0.72441811016665;27.53;0.169200999161926
1;0;1;1;F1;0;-6.62738840764033;-2.00497150969911;27.62;0.0
1;0;1;1;F2;0;-7.02072398748713;-2.49260571853456;24.33;0.0
1;0;1;1;F3;0;-5.4797161690847;3.87459891957961;23.82;0.0
1;0;1;1;F4;0;-5.38778305774161;3.49611734401908;24.99;0.0
1;0;1;1;F5;0;-4.81969541885096;2.79549159903131;29.52;0.0
1;0;1;1;1;5;1.88607288508279;-3.10999495619489;33.44;1.68636656602368
1;0;1;1;p;0;4.72757190159517;4.91371885594715;27.53;0.20974858104857
1;0;1;1;F1;0;7.24475273136165;1.84728759628127;26.95;0.0
1;0;1;1;F2;0;8.32130321218448;2.62769714404458;23.51;0.0
1;0;1;1;F3;0;4.16021481380423;3.93729377693014;20.67;0.0
1;0;1;1;F4;0;1.01433020056926;4.77006625498851;25.8;0.0
1;0;1;1;F5;0;2.12942459935386;4.12674325540025;29.36;0.0
1;0;1;1;1;6;0.496683720554945;-3.55316281321146;38.07;1.67084129665577
1;0;1;1;p;0;-7.50919313732895;1.46001339917117;35.35;0.199884656545049
1;0;1;1;F1;0;-6.82002961589565;-2.04727239481906;36.52;0.0
1;0;1;1;F2;0;-7.68758904475759;-2.53833312160623;29.85;0.0
1;0;1;1;F3;0;-8.40915654161547;-1.02527649759038;28.86;0.0
1;0;1;1;F4;0;-5.14624890322958;7.10291110748881;30.64;0.0
1;0;1;1;F5;0;-6.3400051806635;6.40473781231984;35.35;0.0
1;0;1;1;1;7;1.43706952638232;-1.87605979425335;44.9;1.67030035141543
1;0;1;1;p;0;0.117393212341224;5.19291852132797;37.31;0.193892232256873
1;0;1;1;F1;0;5.93671268346845;6.0217254306618;37.44;0.0
1;0;1;1;F2;0;6.41871144156662;3.78175284217063;32.42;0.0
1;0;1;1;F3;0;-2.25081255720236;0.540865057200488;30.1;0.0
1;0;1;1;F4;0;-7.73286432922966;5.30362773959527;32.97;0.0
1;0;1;1;F5;0;-3.98098304920205;4.21459750099843;40.21;0.0
1;0;1;1;1;8;-0.998335898256133;-3.79423612025718;56.4;1.66593787639825
1;0;1;1;p;0;-6.39849059576229;1.45369959228753;47.2;0.184019815020213
1;0;1;1;F1;0;-9.97999421623059;-2.15508577353469;48.76;0.0
1;0;1;1;F2;0;-10.9497053864707;-3.85939215629323;43.87;0.0
1;0;1;1;F3;0;-8.25631157370798;0.0303931551823746;37.91;0.0
1;0;1;1;F4;0;-3.66206534677991;3.47379287150305;40.96;0.0
1;0;1;1;F5;0;-2.99998351975392;5.46561305774526;46.91;0.0
1;0;1;1;1;9;1.71546916622364;-1.99972725374136;65.5;1.60766704093979
1;0;1;1;p;0;2.26909399560754;7.09344048628685;63.72;0.187575188389164
1;0;1;1;F1;0;5.47561221115379;5.04838769152332;64.19;0.0
1;0;1;1;F2;0;7.06014722870907;6.35458399305732;59.41;0.0
1;0;1;1;F3;0;-0.564447696855618;10.7802875779185;56.29;0.0
1;0;1;1;F4;0;-4.1924614664486;10.4565344502986;59.37;0.0
1;0;1;1;F5;0;-2.86314921747881;5.90626754112296;65.21;0.0
1;0;1;1;1;10;-1.08592934733462;-3.11164738047419;74.11;1.54422144719367
1;0;1;1;p;0;-7.12444994983812;3.60376540900799;68.96;0.194015697642054
1;0;1;1;F1;0;-12.8402609672944;2.51633522149014;70.07;0.0
1;0;1;1;F2;0;-14.774343569024;2.45449276287941;68.53;0.0
1;0;1;1;F3;0;-6.25645568186305;3.91790861005239;59.79;0.0
