Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;-0.401318899985836;-0.0755431044433235;25.46;1.87470923785153
1;0;1;1;1;0;0.973682306417942;0.136757819690602;25.6;1.84267820802588
1;0;1;1;1;1;0.104547951592857;-1.31372674529545;28.19;1.83591246782415
1;0;1;1;1;2;2.61753268471714;-0.48215730677313;26.2;1.77728678398025
1;0;1;1;1;3;-0.204724926921037;-1.75013284815807;31.34;1.77006315717933
1;0;1;1;1;4;3.99081544823964;-0.60823050539989;28.69;1.76614602643043
1;0;1;1;1;5;0.507516542149222;-1.57318062371131;34.29;1.74218280119219
1;0;1;1;p;0;1.19158838839625;-6.59388233852889;33.06;0.206590155436307
1;0;1;1;F1;0;1.4932647380244;-5.50017699426333;37.02;0.0
1;0;1;1;F2;0;-1.68459978387729;-2.12917164267481;35.67;0.0
1;0;1;1;F3;0;-3.18811538914973;-2.04233372064624;33.21;0.0
1;0;1;1;F4;0;0.38974651020545;-2.94089046851611;30.38;0.0
1;0;1;1;F5;0;3.28244457456915;-3.80552791185668;28.52;0.0
1;0;1;1;1;6;2.29423919694081;-1.7589820092133;37.53;1.6868493036194
1;0;1;1;p;0;1.05560572688815;4.10591245930575;34.85;0.181428659305729
1;0;1;1;F1;0;-1.59138600210996;2.66652551111719;37.03;0.0
1;0;1;1;F2;0;0.882122489278573;6.37410635892467;27.49;0.0
1;0;1;1;F3;0;1.09248012495698;4.73284170472908;30.69;0.0
1;0;1;1;F4;0;2.49759438069158;4.18252004575914;33.65;0.0
1;0;1;1;F5;0;3.70889313196459;3.52620050836561;35.29;0.0
1;0;1;1;1;7;1.23408378776863;-1.54317999716763;36.39;1.64529233505809
1;0;1;1;p;0;-3.73440594734695;-2.07177223325436;40.26;0.214766494102584
1;0;1;1;F1;0;-4.78243581507428;-3.07627877696197;44.27;0.0
1;0;1;1;F2;0;-6.18314946254816;-6.60578317245157;39.63;0.0
1;0;1;1;F3;0;-5.12615801097846;-3.13836784236656;33.77;0.0
1;0;1;1;F4;0;-2.32839244736752;3.31600337806016;35.53;0.0
1;0;1;1;F5;0;-1.3277563610076;-0.93822127781712;42.07;0.0
1;0;1;1;1;8;4.31524928345043;-2.36562707037048;43.65;1.62670833090149
1;0;1;1;1;9;3.89993044392708;-7.04029393139245;47.19;1.62618167398274
1;0;1;1;p;0;-3.2843966872437;-6.74374094738562;46.12;0.193892232256873
1;0;1;1;F1;0;-3.77221169073519;-9.51600293398945;51.45;0.0
1;0;1;1;F2;0;-6.70883454962914;-12.3541442596851;46.74;0.0
1;0;1;1;F3;0;-7.84367037636255;-7.75642225347786;42.07;0.0
1;0;1;1;F4;0;-6.61891326781475;-1.16550653371164;43.13;0.0
1;0;1;1;F5;0;-1.65161196271949;-2.03476929283509;48.05;0.0
1;0;1;1;1;10;4.05028682651812;-7.22842409434921;51.59;1.62193442771944
1;0;1;1;p;0;-2.97101252429663;0.379621346251695;51.89;0.184019815020213
1;0;1;1;F1;0;-6.98338532064476;-2.57836184219367;53.57;0.0
1;0;1;1;F2;0;-9.27483461763269;2.03794188690969;46.94;0.0
1;0;1;1;F3;0;-3.73093709856185;5.7107201674543;40.62;0.0
1;0;1;1;F4;0;2.21001896203835;3.01397377855942;48.3;0.0
1;0;1;1;F5;0;3.05197937956089;1.6159742594875;55.62;0.0
1;0;1;1;1;11;2.97503480085032;-9.28695101457572;51.7;1.56520273591928
1;0;1;1;p;0;-0.927919212822927;-15.314873539555;55.03;0.187575188389164
1;0;1;1;F1;0;-1.35460873535592;-19.900823392242;51.09;0.0
1;0;1;1;F2;0;5.18528343472862;-19.8832051157399;52.29;0.0
1;0;1;1;F3;0;8.93168183100837;-15.2369809437533;53.62;0.0
1;0;1;1;F4;0;7.39225541211319;-14.307106596969;60.78;0.0
1;0;1;1;F5;0;0.701942657288432;-15.895003080569;61.47;0.0
1;0;1;1;1;12;6.36947217474414;-9.17652042681683;59.15;1.50343296992631
1;0;1;1;1;13;-0.596145933427296;-12.3101228858269;67.49;1.46629143760773
1;0;1;1;p;0;-6.25593453618764;-12.6162159632791;73.88;0.222498618362862
1;0;1;1;F1;0;-3.21262300453201;-19.0884300296781;76.84;0.0
1;0;1;1;F2;0;-9.27380627882912;-19.6398439534966;74.24;0.0
1;0;1;1;F3;0;-14.9747735846952;-13.8554276668307;69.8;0.0
1;0;1;1;F4;0;-6.74248092599836;-8.67934250702453;73.4;0.0
1;0;1;1;F5;0;1.46425993505347;-8.65097986359754;74.04;0.0
1;0;1;1;1;14;3.684208891646;-15.2422488332364;74.24;1.43591457792567
1;0;1;1;p;0;8.51991202393056;-6.81787495641839;75.21;0.205044468963123
1;0;1;1;F1;0;15.5382561431537;-8.14114583729115;80.18;0.0
1;0;1;1;F2;0;17.3716820610788;-6.40475607589524;72.96;0.0
1;0;1;1;F3;0;8.24862165179328;-4.31423729613573;66.55;0.0
1;0;1;1;F4;0;0.21104360375076;2.78031266292614;65.62;0.0
