Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;-0.0854004503018269;0.248328735817697;19.02;1.87470923785153
1;0;1;1;1;0;0.708271934252598;-3.42271800128546;24.08;1.84267820802588
1;0;1;1;1;1;0.473994345880443;-4.52236067578775;27.08;1.83591246782415
1;0;1;1;p;0;-10.7782682706301;-3.24553413742002;21.2;0.183287427751799
1;0;1;1;F1;0;-14.4922117627721;-4.99265283320919;16.75;0.0
1;0;1;1;F2;0;-9.74147087149288;-5.05148296093147;12.73;0.0
1;0;1;1;F3;0;-6.68844477556305;-2.4569634182085;17.48;0.0
1;0;1;1;F4;0;-8.42046275805475;0.732411709982808;20.39;0.0
1;0;1;1;F5;0;-11.9100596155354;1.62191368989126;23.46;0.0
1;0;1;1;1;2;1.74761090673078;-6.5685524693222;33.58;1.83184961325829
1;0;1;1;p;0;8.63065905418;-3.57725706433526;43.86;0.208292828689128
1;0;1;1;F1;0;9.76721458340939;-5.09381287569801;43.99;0.0
1;0;1;1;F2;0;13.5548846338399;-0.901420290422652;47.03;0.0
1;0;1;1;F3;0;15.076966204469;1.41397766508116;46.57;0.0
1;0;1;1;F4;0;10.7115130247364;3.22704648218729;41.5;0.0
1;0;1;1;F5;0;5.88362176685889;0.363540588687212;39.95;0.0
1;0;1;1;1;3;2.74203778611822;-7.67743261683669;34.83;1.76310295495439
1;0;1;1;p;0;-3.41557938078191;4.59954790876066;33.23;0.18359063231764
1;0;1;1;F1;0;-7.1688936782873;3.26649435239408;36.43;0.0
1;0;1;1;F2;0;-10.940203271911;9.53174166986222;31.35;0.0
1;0;1;1;F3;0;-9.23419834256215;11.5967954660228;29.21;0.0
1;0;1;1;F4;0;-4.41891879042382;10.2496195922935;26.32;0.0
1;0;1;1;F5;0;2.64848934792975;5.04862524448519;31.6;0.0
1;0;1;1;1;4;2.02766430450165;-8.78746438609514;41.96;1.74103051719875
1;0;1;1;p;0;5.14748571939555;-2.49369648926503;55.28;0.194105591064189
1;0;1;1;F1;0;5.59827495927499;-8.31923415210859;57.03;0.0
1;0;1;1;F2;0;11.4927098920392;-3.46741626358375;54.12;0.0
1;0;1;1;F3;0;12.2990650667764;3.56613130021181;54.31;0.0
1;0;1;1;F4;0;5.23374036071851;6.3703578955439;53.98;0.0
1;0;1;1;F5;0;1.38854651145804;0.0042378635613561;52.29;0.0
1;0;1;1;1;5;0.915106490363191;-9.53493686732736;47.76;1.70604967926508
1;0;1;1;p;0;-5.99710016116395;6.42622534620157;51.14;0.21151562703307
1;0;1;1;F1;0;-8.91545508186538;3.02748961701964;57.24;0.0
1;0;1;1;F2;0;-15.5281209465407;10.4308030753407;50.51;0.0
1;0;1;1;F3;0;-12.8491112324324;12.6079358116969;42.71;0.0
1;0;1;1;F4;0;-4.05969669780281;13.8629227193744;45.0;0.0
1;0;1;1;F5;0;3.67335897396509;10.8686031009405;48.39;0.0
1;0;1;1;1;6;2.65897161345188;-12.2418602930036;57.12;1.66374204793382
1;0;1;1;p;0;5.58357384084037;-21.9337074756388;64.16;0.215271869222809
1;0;1;1;F1;0;-1.39719857998828;-25.106248477517;68.08;0.0
1;0;1;1;F2;0;0.400679920715891;-29.8086875145175;59.55;0.0
1;0;1;1;F3;0;9.88348247451859;-34.1646553433235;61.16;0.0
1;0;1;1;F4;0;12.9561536568777;-27.7229791790709;66.88;0.0
1;0;1;1;F5;0;13.2267897979657;-18.0523868456542;62.6;0.0
1;0;1;1;1;7;1.16612860194397;-9.31496437018846;64.1;1.61131038332897
1;0;1;1;p;0;-11.5600935145875;0.907964302198184;71.14;0.207796864728229
1;0;1;1;F1;0;-14.3545223544964;-2.98132450922807;77.59;0.0
1;0;1;1;F2;0;-21.8844181465778;0.0480102957077033;70.45;0.0
1;0;1;1;F3;0;-19.8337315554944;8.19826700977204;64.29;0.0
1;0;1;1;F4;0;-16.4520593118791;12.1902455714331;63.62;0.0
1;0;1;1;F5;0;-6.52110824270368;8.35845605977618;66.88;0.0
1;0;1;1;1;8;2.09882778058838;-14.0011325534866;74.86;1.56408098552224
1;0;1;1;p;0;6.61746411889558;-7.96391252750366;78.96;0.194210768526236
1;0;1;1;F1;0;0.873361357068282;-12.1971835395661;82.3;0.0
1;0;1;1;F2;0;6.00218335339476;-17.5226116847951;75.6;0.0
1;0;1;1;F3;0;11.4670779150983;-15.4505770737272;72.04;0.0
1;0;1;1;F4;0;12.0839188678055;-4.03888100175512;72.22;0.0
1;0;1;1;F5;0;8.91401859043411;-3.40782456091913;81.4;0.0
1;0;1;1;1;9;-2.8854912379646;-6.0070682604445;79.97;1.52544117541119
1;0;1;1;p;0;-12.4528120298747;4.62248360521217;87.61;0.222498618362862
1;0;1;1;F1;0;-15.961951832419;2.55527828251215;92.96;0.0
1;0;1;1;F2;0;-20.8512613767428;4.68611196438037;85.55;0.0
1;0;1;1;F3;0;-17.6483086851387;10.2376607622697;80.05;0.0
1;0;1;1;F4;0;-6.88400501174876;10.892386985239;81.07;0.0
1;0;1;1;F5;0;-12.2325671557608;6.74599301075445;91.68;0.0
1;0;1;1;1;10;-6.30604209877607;-8.23128313509171;88.84;1.4938389227142
1;0;1;1;p;0;-7.94242223038389;-8.36417431192146;94.92;0.205044468963123
1;0;1;1;F1;0;-3.63032000449019;-5.34394677191017;97.2;0.0
1;0;1;1;F2;0;-3.29608598369435;-13.9745717561939;97.55;0.0
1;0;1;1;F3;0;-5.08695261256921;-18.6344855662962;96.01;0.0
1;0;1;1;F4;0;-15.3036375459302;-18.0484403697168;101.72;0.0
1;0;1;1;F5;0;-9.07526903606734;-12.6980361134621;97.14;0.0
1;0;1;1;1;11;-1.39006961579394;-4.07675373375605;93.8;1.44521252984893
1;0;1;1;p;0;-3.05361442228853;2.75358437477011;88.98;0.218876724213706
1;0;1;1;F1;0;-13.671690675489;-3.69598589628061;97.53;0.0
1;0;1;1;F2;0;-23.3234335445406;2.29704001637082;97.09;0.0
1;0;1;1;F3;0;-19.6687227651836;7.53217985397322;93.15;0.0
1;0;1;1;F4;0;-6.83368482921823;11.945557379444;89.23;0.0
1;0;1;1;F5;0;2.43207684758818;6.96397524636367;89.93;0.0
1;0;1;1;1;12;-1.29936319464357;-6.33371459853907;101.44;1.43331784459207
1;0;1;1;p;0;-5.2539241751492;-11.5826332920856;109.65;0.175249231561401
1;0;1;1;F1;0;-15.2859397033091;-10.6172502371494;111.54;0.0
1;0;1;1;F2;0;-13.2463972240629;-20.3174186107061;108.14;0.0
1;0;1;1;F3;0;-8.00237591312801;-22.9098577113333;107.29;0.0
1;0;1;1;F4;0;0.170646261778449;-17.4073938515259;106.71;0.0
1;0;1;1;F5;0;-5.18374507539694;-19.5036985546597;120.43;0.0
1;0;1;1;1;13;-9.38540320040662;-5.44099010285213;112.11;1.39956460996968
1;0;1;1;p;0;-18.3518038740318;4.1009519929696;123.02;0.218379547432164
1;0;1;1;F1;0;-15.0117405752238;6.61794964095349;128.14;0.0
1;0;1;1;F2;0;-16.0238407981717;15.1947470116921;120.3;0.0
1;0;1;1;F3;0;-14.164417370595;21.287525074036;108.07;0.0
1;0;1;1;F4;0;-19.7522596171564;10.612881331618;128.36;0.0
1;0;1;1;F5;0;-23.7843920679839;7.58184060292703;121.85;0.0
1;0;1;1;1;14;-14.9557829440001;-4.86187913579696;116.59;1.38741262501434
1;0;1;1;p;0;-12.3133641320611;-1.53285182706082;122.81;0.202666727216297
1;0;1;1;F1;0;-15.285444524942;-3.36327203516956;135.84;0.0
1;0;1;1;F2;0;-28.4686625830568;5.57002308097856;130.41;0.0
1;0;1;1;F3;0;-25.5399000489384;11.5872109639305;119.58;0.0
1;0;1;1;F4;0;-14.7108253652359;1.23074720959842;112.3;0.0
1;0;1;1;F5;0;-22.9187731235397;5.52390381016122;121.21;0.0
1;0;1;1;1;15;-15.7507150720638;-12.173040665388;133.49;1.37572263207295
1;0;1;1;p;0;-13.1200633456786;14.8682864376679;126.32;0.160212966082733
1;0;1;1;F1;0;-10.111766568969;12.2818312373524;133.99;0.0
1;0;1;1;F2;0;-7.3655404321731;13.0179983417378;136.32;0.0
1;0;1;1;F3;0;-9.81363126217518;6.15679937303999;136.76;0.0
1;0;1;1;F4;0;-2.80273206685671;28.1891413382756;113.43;0.0
1;0;1;1;F5;0;-9.70732595916037;16.5295280006746;131.63;0.0
1;0;1;1;1;16;-19.7758977649061;-13.3595078116855;140.7;1.3609921501527
1;0;1;1;p;0;-26.6408669935323;-26.1572028186004;146.95;0.210072159444675
1;0;1;1;F1;0;-23.6824848240906;-32.1353107918249;148.39;0.0
1;0;1;1;F2;0;-23.690567685159;-29.1725359661999;137.04;0.0
1;0;1;1;F3;0;-30.4654994742727;-26.5624020131515;135.33;0.0
1;0;1;1;F4;0;-31.8216655205615;-12.8278319924012;135.59;0.0
1;0;1;1;F5;0;-27.36768850314;-9.49126358634674;143.78;0.0
2;0;1;1;0;0;0.0854004503018294;-20.2483287358177;19.02;1.87470923785153
2;0;1;1;1;0;-0.708271934252596;-16.5772819987145;24.08;1.84267820802588
2;0;1;1;1;1;-0.473994345880441;-15.4776393242122;27.08;1.83591246782415
2;0;1;1;p;0;10.7782682706301;-16.75446586258;21.2;0.183287427751799
2;0;1;1;F1;0;14.4922117627721;-15.0073471667908;16.75;0.0
2;0;1;1;F2;0;9.74147087149288;-14.9485170390685;12.73;0.0
2;0;1;1;F3;0;6.68844477556305;-17.5430365817915;17.48;0.0
2;0;1;1;F4;0;8.42046275805475;-20.7324117099828;20.39;0.0
2;0;1;1;F5;0;11.9100596155354;-21.6219136898913;23.46;0.0
2;0;1;1;1;2;-1.74761090673078;-13.4314475306778;33.58;1.83184961325829
2;0;1;1;p;0;-8.63065905418;-16.4227429356647;43.86;0.208292828689128
2;0;1;1;F1;0;-9.76721458340939;-14.906187124302;43.99;0.0
2;0;1;1;F2;0;-13.5548846338399;-19.0985797095773;47.03;0.0
2;0;1;1;F3;0;-15.076966204469;-21.4139776650812;46.57;0.0
2;0;1;1;F4;0;-10.7115130247364;-23.2270464821873;41.5;0.0
2;0;1;1;F5;0;-5.88362176685889;-20.3635405886872;39.95;0.0
2;0;1;1;1;3;-2.74203778611822;-12.3225673831633;34.83;1.76310295495439
2;0;1;1;p;0;3.41557938078191;-24.5995479087607;33.23;0.18359063231764
2;0;1;1;F1;0;7.1688936782873;-23.2664943523941;36.43;0.0
2;0;1;1;F2;0;10.940203271911;-29.5317416698622;31.35;0.0
2;0;1;1;F3;0;9.23419834256215;-31.5967954660228;29.21;0.0
2;0;1;1;F4;0;4.41891879042382;-30.2496195922935;26.32;0.0
2;0;1;1;F5;0;-2.64848934792975;-25.0486252444852;31.6;0.0
2;0;1;1;1;4;-2.02766430450165;-11.2125356139049;41.96;1.74103051719875
2;0;1;1;p;0;-5.14748571939555;-17.506303510735;55.28;0.194105591064189
2;0;1;1;F1;0;-5.59827495927499;-11.6807658478914;57.03;0.0
2;0;1;1;F2;0;-11.4927098920392;-16.5325837364162;54.12;0.0
2;0;1;1;F3;0;-12.2990650667764;-23.5661313002118;54.31;0.0
2;0;1;1;F4;0;-5.23374036071851;-26.3703578955439;53.98;0.0
2;0;1;1;F5;0;-1.38854651145804;-20.0042378635614;52.29;0.0
2;0;1;1;1;5;-0.91510649036319;-10.4650631326726;47.76;1.70604967926508
2;0;1;1;p;0;5.99710016116395;-26.4262253462016;51.14;0.21151562703307
