Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0.124981665;0.169277186;21.66;1.874709238
1;0;1;1;1;0;-0.149750985;0.960682247;22.53;1.842678208
1;0;1;1;1;1;0.369073269;0.242893007;23.76;1.835912468
1;0;1;1;1;2;2.493352176;1.935210685;23.93;1.777286784
1;0;1;1;p;0;3.698237451;6.848524381;20.31;0.225448586
1;0;1;1;F1;0;8.075966181;9.660870585;21.08;0.0
1;0;1;1;F2;0;8.093853212;8.215989948;15.22;0.0
1;0;1;1;F3;0;2.652603676;7.654471036;12.45;0.0
1;0;1;1;F4;0;-4.033250245;8.339932447;16.11;0.0
1;0;1;1;F5;0;-3.422799841;4.715632472;22.85;0.0
1;0;1;1;1;3;2.562204873;0.063243991;26.76;1.7531724
1;0;1;1;p;0;4.916056291;-5.652312281;27.58;0.206590155
1;0;1;1;F1;0;10.31712728;-4.126228346;29.6;0.0
1;0;1;1;F2;0;12.15690632;-4.140825963;23.11;0.0
1;0;1;1;F3;0;5.807257713;-9.480766281;18.66;0.0
1;0;1;1;F4;0;0.070295276;-9.702941885;22.28;0.0
1;0;1;1;F5;0;-0.723272879;-4.83845326;26.72;0.0
1;0;1;1;1;4;3.007704673;1.578641605;30.73;1.697489862
1;0;1;1;1;5;1.352657269;-0.984894643;36.41;1.641578399
1;0;1;1;1;6;5.225991292;1.178386094;37.67;1.621027338
1;0;1;1;p;0;2.448864315;8.145276774;35.46;0.194105591
1;0;1;1;F1;0;4.625963739;7.315133354;38.74;0.0
1;0;1;1;F2;0;4.944007303;13.55792506;33.29;0.0
1;0;1;1;F3;0;3.074612742;10.79905501;27.07;0.0
1;0;1;1;F4;0;-4.974430954;2.855164551;34.16;0.0
1;0;1;1;F5;0;-2.988619493;4.461885697;41.87;0.0
1;0;1;1;1;7;1.680916467;-1.538108796;46.36;1.588457607
1;0;1;1;p;0;13.17356333;-2.673171873;40.62;0.211515627
1;0;1;1;F1;0;8.609511579;-8.280027645;46.84;0.0
1;0;1;1;F2;0;9.347462992;-12.20754947;40.93;0.0
1;0;1;1;F3;0;14.87977259;-5.718323749;33.0;0.0
1;0;1;1;F4;0;15.10827457;3.933468149;36.5;0.0
1;0;1;1;F5;0;4.70711664;-0.850349743;49.95;0.0
1;0;1;1;1;8;5.536783748;1.163962172;50.41;1.549066094
1;0;1;1;p;0;-2.403710873;9.743749185;55.93;0.215271869
1;0;1;1;F1;0;2.491301128;9.212187791;57.6;0.0
1;0;1;1;F2;0;8.410159596;17.01426536;46.35;0.0
1;0;1;1;F3;0;0.397629516;16.7207322;38.84;0.0
1;0;1;1;F4;0;-9.683086416;13.96070208;46.82;0.0
1;0;1;1;F5;0;-6.706462118;9.462090314;55.81;0.0
