Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;-0.274594321556887;0.07691381421566;19.42;1.87470923785153
1;0;1;1;1;0;-0.285173088614244;-0.0004689337812039;20.59;1.84267820802588
1;0;1;1;1;1;-1.36158326348974;-0.794094245514963;21.08;1.83591246782415
1;0;1;1;1;2;-0.357524770168242;-0.974001282589564;22.85;1.77728678398025
1;0;1;1;1;3;-1.53716630810029;-2.48494332051997;25.37;1.77006315717933
1;0;1;1;1;4;-0.0110904163666961;-2.39117566794449;29.35;1.76614602643043
1;0;1;1;p;0;8.15997566441067;-1.86185619582041;28.9;0.208292828689128
1;0;1;1;F1;0;8.40479679441204;-5.52533304361196;30.24;0.0
1;0;1;1;F2;0;8.85318435751166;-6.25344607965623;25.29;0.0
1;0;1;1;F3;0;10.7701986506703;-1.11637919282037;22.84;0.0
1;0;1;1;F4;0;9.64137038056311;2.87729664988479;25.81;0.0
1;0;1;1;F5;0;7.75236657887519;1.801906191861;31.08;0.0
1;0;1;1;1;5;-1.99096557761521;-3.44122059358867;33.2;1.69986512841618
1;0;1;1;p;0;-11.7948469404518;-7.83221253430377;34.84;0.18359063231764
1;0;1;1;F1;0;-14.501924312109;-3.20795777230573;34.9;0.0
1;0;1;1;F2;0;-17.5947730245493;-5.23400980568416;30.82;0.0
1;0;1;1;F3;0;-16.5584884592251;-13.3076777639093;31.56;0.0
1;0;1;1;F4;0;-15.1459371577156;-13.8458216299932;36.24;0.0
1;0;1;1;F5;0;-10.4104965702202;-10.0891073152893;38.83;0.0
1;0;1;1;1;6;-0.20105958632703;-1.42701192953457;37.83;1.67858437045788
1;0;1;1;p;0;2.6699883152562;6.17969458161823;38.5;0.194105591064189
1;0;1;1;F1;0;6.74705703477824;4.77071954411938;37.46;0.0
1;0;1;1;F2;0;5.76425117565407;7.61110554663227;33.13;0.0
1;0;1;1;F3;0;1.47145977119462;11.7620622987316;34.45;0.0
1;0;1;1;F4;0;-1.49026928978397;9.19212825884756;36.18;0.0
1;0;1;1;F5;0;-2.50032412079199;5.9534882297061;39.17;0.0
1;0;1;1;1;7;-0.455371529792508;-2.82408939174302;43.4;1.64485820239769
1;0;1;1;p;0;1.64874322257857;-9.04199909749257;51.36;0.21151562703307
1;0;1;1;F1;0;-3.49871199150743;-9.54529306624127;50.22;0.0
1;0;1;1;F2;0;-1.47268706111204;-15.4553034707513;49.19;0.0
1;0;1;1;F3;0;6.60140243120207;-14.8791273951435;49.34;0.0
1;0;1;1;F4;0;7.59654095119716;-12.4396603783503;51.42;0.0
1;0;1;1;F5;0;5.96452760355738;-6.73858745887925;52.55;0.0
1;0;1;1;1;8;3.46128865339672;-0.424761775634701;50.42;1.60406803358547
1;0;1;1;p;0;8.42463504100976;5.08413944299037;52.3;0.215271869222809
1;0;1;1;F1;0;11.8900796048261;2.04650977907212;52.37;0.0
1;0;1;1;F2;0;13.0700473371225;7.9459823106413;51.43;0.0
1;0;1;1;F3;0;10.7325064266443;6.81302048787727;46.93;0.0
1;0;1;1;F4;0;4.88594128185343;9.78848280619293;48.32;0.0
1;0;1;1;F5;0;4.00205658445524;8.08720450982125;52.77;0.0
1;0;1;1;1;9;4.4816776056888;-0.400136868725444;57.04;1.5535169537202
1;0;1;1;p;0;1.67194019039668;-3.5219753746555;65.97;0.207796864728229
1;0;1;1;F1;0;-3.8816555156591;-2.67617709274728;64.95;0.0
1;0;1;1;F2;0;-4.25789514886147;-7.3945394928187;68.6;0.0
1;0;1;1;F3;0;-0.529572205242689;-11.5058054813052;69.72;0.0
1;0;1;1;F4;0;6.47169668805614;-7.57553400420261;69.04;0.0
1;0;1;1;F5;0;5.07218512139636;-2.05485765299476;69.06;0.0
1;0;1;1;1;10;7.78830442980366;3.37874114545337;61.31;1.5079815491415
1;0;1;1;p;0;14.558376798864;10.3348262597749;65.28;0.194210768526236
1;0;1;1;F1;0;18.8621956074529;8.6183054580259;68.53;0.0
1;0;1;1;F2;0;20.9134027334037;7.95925361905677;63.31;0.0
1;0;1;1;F3;0;18.3933575842174;8.89433246389422;58.65;0.0
1;0;1;1;F4;0;13.7022035015552;11.1238555906463;57.8;0.0
1;0;1;1;F5;0;12.6121278268003;14.0965034041801;62.46;0.0
1;0;1;1;1;11;7.71761154198061;5.10196559850969;69.0;1.47072764653086
1;0;1;1;p;0;-0.183179224841621;4.91433495363412;74.67;0.222498618362862
1;0;1;1;F1;0;-3.31778571686508;8.85009944610115;73.11;0.0
1;0;1;1;F2;0;-7.51055445451376;4.88480118334765;71.43;0.0
1;0;1;1;F3;0;-8.13172386929165;-0.0843786844116625;74.11;0.0
1;0;1;1;F4;0;-5.44738151653098;0.891329331941219;80.1;0.0
1;0;1;1;F5;0;0.87027862798907;3.47933441275987;79.94;0.0
1;0;1;1;1;12;11.290570567201;5.22347199379956;75.38;1.44025888281627
1;0;1;1;1;13;11.3848413024566;4.33442023575936;82.87;1.41718972773968
1;0;1;1;1;14;8.65177956118249;1.49932349695416;91.54;1.38847980545269
1;0;1;1;p;0;17.0750910487389;-4.75669948762642;95.43;0.182161577454309
1;0;1;1;F1;0;12.2606360224987;-8.38243014506789;99.56;0.0
1;0;1;1;F2;0;20.2473079765553;-10.3646438314012;100.85;0.0
1;0;1;1;F3;0;21.9097385774921;-12.7332139690726;91.59;0.0
1;0;1;1;F4;0;21.3728861770162;-5.35457659486162;89.17;0.0
1;0;1;1;F5;0;20.5932116654097;-0.527299136919996;94.2;0.0
1;0;1;1;1;15;5.92408863220721;3.47722698195688;99.2;1.37006671589846
1;0;1;1;p;0;-2.69744557913168;8.79372468652832;101.55;0.216424423901962
1;0;1;1;F1;0;-0.212903434935292;14.5846356972167;101.23;0.0
1;0;1;1;F2;0;-8.99292871232727;16.3974666679247;99.71;0.0
1;0;1;1;F3;0;-13.2069229811902;12.5888511318027;97.92;0.0
