Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;-0.36679833896972;0.458478806419999;10.58;1.87470923785153
1;0;1;1;1;0;0.190971987527769;2.12094452422559;10.96;1.84267820802588
1;0;1;1;1;1;1.28605162693659;1.35563374855847;12.73;1.83591246782415
1;0;1;1;1;2;1.68114213729771;3.12074096587492;14.7;1.77728678398025
1;0;1;1;1;3;2.71658693299796;1.17655628456059;17.12;1.77006315717933
1;0;1;1;1;4;2.9709860660406;2.41080953292867;20.9;1.76614602643043
1;0;1;1;1;5;3.63119621126755;-0.246956928621213;24.59;1.74218280119219
1;0;1;1;1;6;3.90594114355101;-0.458416669906766;29.94;1.71633675583527
1;0;1;1;1;7;4.17586382593022;-3.23691298006037;32.97;1.65192512748224
1;0;1;1;1;8;4.84241398942065;-3.30770054641834;37.51;1.59945830541889
1;0;1;1;1;9;6.10980839925603;-4.70791889007695;42.09;1.54677577977055
1;0;1;1;1;10;5.33380598102911;-3.96689240815744;48.11;1.5274115605541
1;0;1;1;p;0;-0.923233486852679;5.66572183187986;48.62;0.194105591064189
1;0;1;1;F1;0;-3.65336289029241;1.55104159637263;46.04;0.0
1;0;1;1;F2;0;-1.93484541202238;1.86152134914313;42.58;0.0
1;0;1;1;F3;0;2.11523354490909;4.08056628844041;39.38;0.0
1;0;1;1;F4;0;1.25207466037195;9.21086420766933;41.8;0.0
1;0;1;1;F5;0;0.087129614784373;11.9571895781892;48.1;0.0
1;0;1;1;1;11;8.50082224323554;-5.18073259323949;54.1;1.49672276117353
1;0;1;1;p;0;18.0340611718795;-8.79461631153868;50.72;0.21151562703307
1;0;1;1;F1;0;21.122537638578;-3.0022926746336;49.76;0.0
1;0;1;1;F2;0;21.7312012667639;-3.57012063072909;44.09;0.0
1;0;1;1;F3;0;20.0235964255801;-10.7211545214589;41.55;0.0
1;0;1;1;F4;0;15.8559768872446;-15.5387729562962;46.0;0.0
