Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0.163060474696599;0.15577138590413;7.82;1.87470923785153
1;0;1;1;1;0;0.0401613311501322;-1.33921884835011;9.79;1.84267820802588
1;0;1;1;1;1;-0.919528210160996;-0.103461596986361;13.99;1.83591246782415
1;0;1;1;1;2;-1.09514144030329;-2.82797256106762;16.9;1.77728678398025
1;0;1;1;1;3;0.125359663555093;-2.46883880397916;20.25;1.77006315717933
1;0;1;1;p;0;-3.4001303004674;2.77144940503917;16.13;0.231905616042756
1;0;1;1;F1;0;-8.10779888988409;5.50362005348325;15.5;0.0
1;0;1;1;F2;0;-5.29830331370878;3.26575620430669;9.63;0.0
1;0;1;1;F3;0;-2.01589157621759;5.03365698930002;8.84;0.0
1;0;1;1;F4;0;1.72271328464785;4.74136656127791;13.0;0.0
1;0;1;1;F5;0;1.83519879113971;3.8403410284381;17.37;0.0
1;0;1;1;1;4;-0.381575595616514;-5.19842057469215;25.07;1.74380349452293
1;0;1;1;p;0;-6.6596894273107;-2.67862163106783;21.51;0.169200999161926
1;0;1;1;F1;0;-6.90761999977278;-7.95493004048048;20.41;0.0
1;0;1;1;F2;0;-7.51622883949993;-6.58522376532294;16.71;0.0
1;0;1;1;F3;0;-6.60980217275698;-1.61937130096021;13.63;0.0
1;0;1;1;F4;0;-3.86788819993117;1.6234064844612;18.16;0.0
1;0;1;1;F5;0;-4.61807659607483;-0.476073777482562;23.46;0.0
1;0;1;1;1;5;2.97441631244988;-2.85442434752094;28.88;1.68636656602368
1;0;1;1;p;0;-5.05418563736303;-0.14229405355272;24.8;0.20974858104857
1;0;1;1;F1;0;-8.0042699654906;-6.40797856978365;24.31;0.0
1;0;1;1;F2;0;-9.86291105775265;-5.12440804575509;17.12;0.0
1;0;1;1;F3;0;-8.94153907716568;2.82879719951484;15.17;0.0
1;0;1;1;F4;0;-2.0141430038601;7.0492454747044;18.41;0.0
1;0;1;1;F5;0;0.369171423979541;3.54988662799384;23.72;0.0
1;0;1;1;1;6;2.40412995118689;-3.63370187584921;35.84;1.67084129665577
1;0;1;1;p;0;-7.15443332533007;0.0664154315913612;33.11;0.199884656545049
1;0;1;1;F1;0;-9.97955910389235;-5.07548736166552;35.86;0.0
1;0;1;1;F2;0;-13.1748539439203;-6.61931082478895;29.04;0.0
1;0;1;1;F3;0;-10.8983372890082;-0.774110065199285;23.23;0.0
1;0;1;1;F4;0;-6.15858748305407;6.88078195082273;25.14;0.0
1;0;1;1;F5;0;-4.3409548603377;5.85101904178143;32.04;0.0
1;0;1;1;1;7;9.27236169604902;-2.58780862179882;38.96;1.67030035141543
1;0;1;1;p;0;10.9638653139051;7.46337118510843;42.18;0.193892232256873
1;0;1;1;F1;0;5.11201516802693;7.3937301757401;40.62;0.0
1;0;1;1;F2;0;10.2189663624441;13.0051782506884;33.4;0.0
1;0;1;1;F3;0;20.5825061035894;12.7943607141753;36.88;0.0
1;0;1;1;F4;0;20.9514948742801;7.32104843666874;39.88;0.0
1;0;1;1;F5;0;13.2084998967206;3.32263265320033;40.25;0.0
1;0;1;1;1;8;8.91846873829302;-2.36052075487516;43.36;1.66593787639825
1;0;1;1;p;0;1.47066390014811;0.207475174425624;46.92;0.184019815020213
1;0;1;1;F1;0;0.757520578343144;-2.5967941782873;50.49;0.0
1;0;1;1;F2;0;-4.55317606606681;-0.811912907431228;49.98;0.0
1;0;1;1;F3;0;-5.79379040375136;-0.507649756307832;46.58;0.0
1;0;1;1;F4;0;-3.74974902935509;1.06292175106019;42.57;0.0
1;0;1;1;F5;0;0.600748095641571;2.49947135528407;43.26;0.0
1;0;1;1;1;9;11.6372289249396;0.442752875633504;51.41;1.60766704093979
1;0;1;1;p;0;8.73862026650258;11.9937557691157;52.73;0.187575188389164
1;0;1;1;F1;0;13.3207523666415;14.5059192623773;56.71;0.0
1;0;1;1;F2;0;15.8869997235848;19.9381356151178;51.65;0.0
1;0;1;1;F3;0;8.97422355459186;20.5603298270832;45.86;0.0
1;0;1;1;F4;0;3.33313738213658;15.1797493012539;44.58;0.0
1;0;1;1;F5;0;2.25852887343317;10.9085297385268;49.95;0.0
1;0;1;1;1;10;11.3709774186191;-0.560048268852292;62.4;1.54422144719367
1;0;1;1;p;0;2.10270820797567;-4.17253852337747;63.21;0.194015697642054
1;0;1;1;F1;0;0.508808003987711;-8.94608878913641;67.73;0.0
1;0;1;1;F2;0;-3.42121994023774;-11.5877133570126;63.15;0.0
1;0;1;1;F3;0;-4.58103643947616;-8.2208415613996;56.08;0.0
1;0;1;1;F4;0;-3.95341685960756;-2.4316625468099;55.24;0.0
1;0;1;1;F5;0;1.28816332940632;0.181139994932817;58.7;0.0
1;0;1;1;1;11;14.5110179396704;3.17415118031426;74.93;1.50347555811456
1;0;1;1;p;0;12.0377063965852;11.1931118368359;70.44;0.199101327819695
1;0;1;1;F1;0;6.51373943850164;9.22339382503801;67.11;0.0
1;0;1;1;F2;0;4.49983156384446;15.6231731237634;63.05;0.0
1;0;1;1;F3;0;11.5776664849645;17.0543798975644;63.06;0.0
1;0;1;1;F4;0;14.2533733719167;21.0141769447774;69.01;0.0
1;0;1;1;F5;0;12.7599422237091;16.2430697980489;74.68;0.0
1;0;1;1;1;12;12.2442057992698;1.30951643856654;87.67;1.4730176274727
1;0;1;1;p;0;2.10081879465757;-4.4632212200027;82.17;0.182161577454309
1;0;1;1;F1;0;7.00874060709213;-11.5829194919121;81.68;0.0
1;0;1;1;F2;0;5.79928938348107;-13.7881241848387;76.25;0.0
1;0;1;1;F3;0;-0.273437197343268;-6.82116703881367;72.05;0.0
1;0;1;1;F4;0;-6.04110896702081;-4.04908075637861;75.02;0.0
1;0;1;1;F5;0;-2.96630896137899;1.34474023854744;79.92;0.0
1;0;1;1;1;13;15.4077255160317;3.62793033639817;98.04;1.45348345392325
1;0;1;1;p;0;12.1735594095672;11.664221122314;91.73;0.216424423901962
1;0;1;1;F1;0;14.0134133174787;18.2343533582392;95.92;0.0
1;0;1;1;F2;0;11.3330534063866;22.9796110695769;88.65;0.0
1;0;1;1;F3;0;10.6941410742196;17.0408577465465;81.88;0.0
1;0;1;1;F4;0;5.90038520167415;9.06913242297719;82.58;0.0
1;0;1;1;F5;0;8.50855895327705;6.5556428802399;92.55;0.0
1;0;1;1;1;14;15.9370713693593;0.278573238750186;112.7;1.43742019118602
1;0;1;1;p;0;11.9583169677451;-9.11855469544523;109.55;0.195514642294434
1;0;1;1;F1;0;4.76809857122365;-5.92818490334832;106.62;0.0
1;0;1;1;F2;0;8.45762733116886;-5.14372487916785;100.22;0.0
1;0;1;1;F3;0;12.7839991817822;-12.1292604069725;98.26;0.0
1;0;1;1;F4;0;13.0101309919309;-19.6275645088637;105.84;0.0
1;0;1;1;F5;0;15.7003120244951;-16.1401978788645;111.78;0.0
1;0;1;1;1;15;18.4270379887758;2.70801067037741;122.6;1.41712727903896
1;0;1;1;p;0;28.6092574499544;4.34609090174462;118.29;0.215642726014621
1;0;1;1;F1;0;37.0519269840411;7.11835191727043;116.12;0.0
1;0;1;1;F2;0;35.692362322147;5.84709901948464;109.7;0.0
1;0;1;1;F3;0;30.0636763134148;-0.166210702715177;109.21;0.0
1;0;1;1;F4;0;24.979213510244;-2.15908250069224;115.96;0.0
1;0;1;1;F5;0;24.5903494600382;-1.06670676384272;121.27;0.0
1;0;1;1;1;16;19.0004328640021;0.20774702086679;130.26;1.39046939057097
1;0;1;1;p;0;6.81898847634926;-1.6103323587315;125.96;0.216083790194898
1;0;1;1;F1;0;1.04956321657421;-7.89381325484867;130.97;0.0
1;0;1;1;F2;0;0.955796932822525;-10.464048240999;120.49;0.0
1;0;1;1;F3;0;-0.974087982464707;-0.0291431521280038;114.62;0.0
1;0;1;1;F4;0;4.00610270428943;7.35688424584226;115.18;0.0
1;0;1;1;F5;0;7.50168272436379;9.15883328043144;122.16;0.0
1;0;1;1;1;17;22.5829452129689;2.36415729479441;140.93;1.36139356685588
1;0;1;1;p;0;21.6204629090958;11.5326374204603;149.38;0.212396514957894
1;0;1;1;F1;0;11.7366975181257;11.9880292256811;145.11;0.0
1;0;1;1;F2;0;14.3371922691057;17.6082006688068;139.4;0.0
1;0;1;1;F3;0;17.8692248479363;24.5419691868697;143.06;0.0
1;0;1;1;F4;0;23.2734449040469;23.3316776578851;150.09;0.0
1;0;1;1;F5;0;22.8408135138636;20.1251483690389;155.44;0.0
1;0;1;1;1;18;24.7923561731536;3.60133279124423;151.24;1.33294695542082
1;0;1;1;p;0;19.3475647462492;0.422221859315554;161.92;0.221715387242914
1;0;1;1;F1;0;17.5797368406061;6.36217004899109;166.06;0.0
1;0;1;1;F2;0;12.4953857266558;1.58137788136115;165.43;0.0
1;0;1;1;F3;0;11.3995953825717;-6.68959809018005;166.53;0.0
1;0;1;1;F4;0;19.6968094202552;-4.64846134491624;171.22;0.0
1;0;1;1;F5;0;28.0046750493045;-5.25564228142729;167.44;0.0
1;0;1;1;1;19;28.3718183116373;11.1633134047582;156.51;1.29268114860856
1;0;1;1;p;0;19.2027748221289;17.1004542560018;161.56;0.170584952322015
1;0;1;1;F1;0;9.0254707507514;16.3244504939475;163.03;0.0
1;0;1;1;F2;0;8.11984557951187;20.003070214606;156.95;0.0
1;0;1;1;F3;0;14.1778795540233;26.1243629182484;153.63;0.0
1;0;1;1;F4;0;18.601461447363;30.6541888788032;157.19;0.0
1;0;1;1;F5;0;20.2493482243322;28.1730864685247;164.13;0.0
1;0;1;1;1;20;37.6620318659447;12.2770602859493;168.8;1.25732744161276
1;0;1;1;p;0;39.0216741475791;2.65739954006059;173.5;0.200934523443767
1;0;1;1;F1;0;47.398330822493;-0.492175502801545;179.79;0.0
1;0;1;1;F2;0;51.5696496110221;-1.42887159250417;170.26;0.0
1;0;1;1;F3;0;45.7522848134917;-6.35489096035624;168.6;0.0
1;0;1;1;F4;0;39.3527871966875;-11.8186104125717;172.92;0.0
1;0;1;1;F5;0;38.813654291368;-8.59888438223906;178.42;0.0
1;0;1;1;1;21;45.7725877109787;20.4797356961179;172.92;1.22749509428539
1;0;1;1;p;0;36.0440648684036;21.795882838916;183.16;0.227173591030581
1;0;1;1;F1;0;30.2981625319493;15.6911382627745;180.05;0.0
1;0;1;1;F2;0;22.5035124112186;21.6348264692161;177.06;0.0
1;0;1;1;F3;0;25.5772050054357;27.8109509689534;176.53;0.0
1;0;1;1;F4;0;35.4718843534325;34.2743727098214;181.02;0.0
1;0;1;1;F5;0;37.1903641343642;26.3525151471957;189.92;0.0
2;0;1;1;0;0;-0.163060474696597;-20.1557713859041;7.82;1.87470923785153
2;0;1;1;1;0;-0.0401613311501299;-18.6607811516499;9.79;1.84267820802588
