Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;-0.34999186923106;-0.149503317276482;20.52;1.87470923785153
1;0;1;1;1;0;-0.684454929153777;0.561646780485686;20.16;1.84267820802588
1;0;1;1;1;1;-2.17546046452497;1.43925859301583;19.74;1.83591246782415
1;0;1;1;1;2;0.200354056136223;2.85418098078675;23.06;1.77728678398025
1;0;1;1;1;3;-1.51845794300745;2.52390032498062;25.08;1.77006315717933
1;0;1;1;p;0;-4.86681724239653;3.19000091963185;25.11;0.231905616042756
1;0;1;1;F1;0;-4.13517016124237;1.19423225852942;25.24;0.0
1;0;1;1;F2;0;-5.0391902351169;-0.514494667000775;23.47;0.0
1;0;1;1;F3;0;-5.67947174862356;0.110196923675471;24.11;0.0
1;0;1;1;F4;0;-3.91938622175007;1.46614638368143;22.81;0.0
1;0;1;1;F5;0;-2.78484380978746;4.89364014960693;23.04;0.0
1;0;1;1;1;4;0.755860777644388;3.5147960596029;30.61;1.74380349452293
1;0;1;1;p;0;-0.476440125710156;8.42999030638414;28.61;0.169200999161926
1;0;1;1;F1;0;1.2362434101947;5.72961716442017;28.33;0.0
1;0;1;1;F2;0;-0.636311064829142;7.18767743000186;25.92;0.0
1;0;1;1;F3;0;-0.556234756561322;5.12901578105268;25.49;0.0
1;0;1;1;F4;0;-1.77885701503786;6.23128381246688;27.35;0.0
1;0;1;1;F5;0;-1.36723348953831;7.11052557288054;30.39;0.0
1;0;1;1;1;5;-0.625772287260977;2.98423967809363;31.82;1.68636656602368
1;0;1;1;p;0;-4.21773655008385;5.54603450489054;32.02;0.20974858104857
1;0;1;1;F1;0;-3.621661623909;2.90209905136947;32.31;0.0
1;0;1;1;F2;0;-5.62009239212314;4.54169487493547;27.42;0.0
1;0;1;1;F3;0;-3.63844712405011;7.03510258959503;25.77;0.0
1;0;1;1;F4;0;-2.28200952626743;9.12253571267264;30.42;0.0
1;0;1;1;F5;0;-1.40583630170092;6.03492814684554;31.58;0.0
1;0;1;1;1;6;0.50298571453887;3.22487503163254;36.08;1.67084129665577
