Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0.107981825570507;0.128568902100779;22.08;1.87470923785153
1;0;1;1;1;0;-0.608098253667718;-0.405967644936165;21.25;1.84267820802588
1;0;1;1;1;1;-0.618878201531466;-0.214176631788891;22.89;1.83591246782415
1;0;1;1;1;2;-1.67207933285356;-1.34641661385183;24.16;1.77728678398025
1;0;1;1;1;3;-1.27359862595292;-0.922019245542405;26.4;1.77006315717933
1;0;1;1;1;4;-2.00560706898285;-2.00805038659357;28.06;1.76614602643043
1;0;1;1;p;0;-5.46917887080512;-4.22680462571552;28.15;0.208292828689128
1;0;1;1;F1;0;-4.34004203855892;-6.50495080497291;29.24;0.0
1;0;1;1;F2;0;-3.70770841076157;-8.54354203009791;26.37;0.0
1;0;1;1;F3;0;-3.64448512173262;-5.04868826838994;25.1;0.0
1;0;1;1;F4;0;-4.72716097976814;-3.34668562843104;24.56;0.0
1;0;1;1;F5;0;-6.55620444439193;-1.69601909502189;28.47;0.0
1;0;1;1;1;5;0.785508711454012;-1.60089844911027;32.44;1.69986512841618
1;0;1;1;1;6;0.595258698020129;-1.58343613573518;34.63;1.645875683168
1;0;1;1;p;0;-4.08632365302718;-3.67199704946557;35.44;0.181428659305729
1;0;1;1;F1;0;-3.18983547672309;-7.87780362487377;34.08;0.0
1;0;1;1;F2;0;-5.30312993729759;-7.93245271365925;33.12;0.0
1;0;1;1;F3;0;-3.20364807310369;-5.01608924146979;29.82;0.0
1;0;1;1;F4;0;-7.03247038616887;-1.59921644679713;32.45;0.0
1;0;1;1;F5;0;-3.39279085192211;-0.565614546651177;35.27;0.0
1;0;1;1;1;7;4.23133786618233;-0.875390739692683;38.26;1.60532813462617
1;0;1;1;p;0;8.66439959853574;1.84990991842627;36.64;0.214766494102584
1;0;1;1;F1;0;9.7267762268383;-0.743264950269729;37.15;0.0
1;0;1;1;F2;0;12.7620699605477;0.245416975378934;36.03;0.0
1;0;1;1;F3;0;11.2233498390384;-1.34896076771152;33.09;0.0
1;0;1;1;F4;0;5.74364411001507;2.4412536224397;34.61;0.0
1;0;1;1;F5;0;5.99708921195795;4.36069770349576;36.19;0.0
1;0;1;1;1;8;4.46370618840556;-0.250726859812338;43.47;1.58719553649094
1;0;1;1;p;0;-0.0222608507309783;-3.81584953985867;43.32;0.248093067777159
1;0;1;1;F1;0;3.29871912669273;-6.93591235806456;42.88;0.0
1;0;1;1;F2;0;1.13663809207749;-7.23575498304821;39.19;0.0
1;0;1;1;F3;0;0.815753938024138;-4.42101994051268;37.75;0.0
1;0;1;1;F4;0;-0.412475891626939;-1.4930425694329;39.43;0.0
1;0;1;1;F5;0;-1.89747790571659;0.103443890938665;40.01;0.0
1;0;1;1;1;9;6.39265545107086;-0.200182403509253;47.96;1.5730660184371
1;0;1;1;p;0;11.7925165788467;-3.76651101999087;45.34;0.230235623369017
1;0;1;1;F1;0;12.7397043143136;-1.33255633804196;46.21;0.0
1;0;1;1;F2;0;14.4254982567619;-2.10437159029115;42.57;0.0
1;0;1;1;F3;0;11.2505553669616;-1.88864573067641;41.4;0.0
1;0;1;1;F4;0;8.57467783027034;-4.5965193260702;42.64;0.0
1;0;1;1;F5;0;7.62826764479009;-6.62686603558049;44.75;0.0
1;0;1;1;1;10;5.88997563161731;1.61888686375742;49.85;1.55114841196108
1;0;1;1;p;0;-1.00733536016508;-0.0655124602265988;51.56;0.177046859815273
1;0;1;1;F1;0;-2.34326763811446;-4.04328632870292;51.59;0.0
1;0;1;1;F2;0;-3.08116679640907;-4.3287768402582;50.18;0.0
1;0;1;1;F3;0;-0.757582275996627;-3.5349538269236;45.09;0.0
1;0;1;1;F4;0;-0.265814685395931;1.71399508088973;47.14;0.0
1;0;1;1;F5;0;-1.39444020111431;3.87172639995368;51.31;0.0
1;0;1;1;1;11;7.48486469123557;-0.0402481179453793;58.54;1.51305928594204
1;0;1;1;p;0;11.9748024103847;-4.05972063037308;61.45;0.15570600225645
1;0;1;1;F1;0;13.0706543174139;-1.23730878979056;63.75;0.0
1;0;1;1;F2;0;15.1343564534411;-3.3894085769187;58.99;0.0
1;0;1;1;F3;0;14.2010518156546;-4.79020922407958;57.14;0.0
1;0;1;1;F4;0;12.4281349883598;-8.72997646637891;58.43;0.0
1;0;1;1;F5;0;8.861716391669;-4.91668938130676;60.29;0.0
1;0;1;1;1;12;6.3372288122987;1.50950408462663;61.72;1.505172666905
1;0;1;1;p;0;-3.59559279574206;1.03880789509627;61.82;0.191769783344099
1;0;1;1;F1;0;-4.13176199418224;-3.33668323055398;64.03;0.0
