Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0.112360169094143;-0.118186602248288;26.82;1.87470923785153
1;0;1;1;1;0;0.0766251979160646;-0.0361926278666166;28.52;1.84267820802588
1;0;1;1;1;1;1.69424756649604;-0.580065657782358;30.52;1.83591246782415
1;0;1;1;p;0;6.62041552254759;3.47433556419491;33.52;0.183287427751799
1;0;1;1;F1;0;10.9598825535371;0.0432386715153381;34.6;0.0
1;0;1;1;F2;0;12.5168887540598;0.0973837685573464;32.46;0.0
1;0;1;1;F3;0;11.7546697803372;1.63362015534724;27.07;0.0
1;0;1;1;F4;0;8.68808780590402;7.02445265080482;27.7;0.0
1;0;1;1;F5;0;6.52308901685363;7.10048056285249;31.81;0.0
1;0;1;1;1;2;0.719531867028667;0.0781359110488291;33.76;1.83184961325829
1;0;1;1;p;0;-3.76817469627954;8.25961437167197;32.06;0.208292828689128
1;0;1;1;F1;0;-9.28445389490822;7.94344384367067;31.04;0.0
1;0;1;1;F2;0;-6.88427546505653;6.66737820865235;26.34;0.0
1;0;1;1;F3;0;-3.39685598405458;5.53830541935663;22.4;0.0
1;0;1;1;F4;0;0.777932912211803;7.91391853424107;25.99;0.0
1;0;1;1;F5;0;0.485867252270995;10.5429293083315;31.22;0.0
1;0;1;1;1;3;1.61235657602475;-2.36222554558133;36.61;1.76310295495439
1;0;1;1;p;0;8.78156731840843;0.664722972529028;43.96;0.18359063231764
1;0;1;1;F1;0;11.4603266258956;-3.72431434475945;41.52;0.0
1;0;1;1;F2;0;12.9431942444621;0.96615510144814;37.43;0.0
1;0;1;1;F3;0;6.76983340845582;5.92987507627179;37.46;0.0
1;0;1;1;F4;0;6.28110856276375;7.10722295400516;39.03;0.0
1;0;1;1;F5;0;3.71829878483599;4.72678054929173;41.97;0.0
1;0;1;1;1;4;1.05123098329231;-0.772496616115471;40.27;1.74103051719875
1;0;1;1;p;0;-5.14321554835879;8.31404464921292;42.83;0.194105591064189
1;0;1;1;F1;0;-8.03191978626251;5.45008099268425;41.44;0.0
1;0;1;1;F2;0;-9.89391299821425;11.5805525307183;37.1;0.0
1;0;1;1;F3;0;-5.57487910850353;10.9163641090109;34.19;0.0
1;0;1;1;F4;0;1.09156550524639;12.421660163548;38.42;0.0
1;0;1;1;F5;0;0.0868026466167455;9.92507217232507;42.2;0.0
1;0;1;1;1;5;0.170661211056874;-4.18088287301553;43.64;1.70604967926508
1;0;1;1;p;0;8.2467547864298;-10.891144608732;47.24;0.21151562703307
1;0;1;1;F1;0;11.2180094993516;-5.77640654789834;47.58;0.0
1;0;1;1;F2;0;13.4569993246734;-6.04459409814168;41.33;0.0
1;0;1;1;F3;0;9.37197365235521;-11.9618371433868;38.41;0.0
1;0;1;1;F4;0;8.3713152466911;-16.0909027465437;41.22;0.0
1;0;1;1;F5;0;3.54782195520519;-15.4221632853255;45.68;0.0
1;0;1;1;1;6;-0.740154757980864;-5.42668152068933;51.28;1.66374204793382
1;0;1;1;p;0;-0.0160027225822707;-0.349752938403765;58.74;0.215271869222809
1;0;1;1;F1;0;5.61478028136966;2.17745555366927;56.78;0.0
