Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0.345360827176822;-0.244689684915716;11.5;1.87470923785153
1;0;1;1;1;0;-0.93148516439832;0.113310753350097;11.68;1.84267820802588
1;0;1;1;1;1;0.16137325679582;0.692672877780972;12.68;1.83591246782415
1;0;1;1;1;2;-0.729482052354168;-0.350580120373972;14.74;1.77728678398025
1;0;1;1;1;3;0.917788984899861;0.0011273288278643;17.62;1.77006315717933
1;0;1;1;1;4;0.161666850498605;-2.5079520477301;20.64;1.76614602643043
1;0;1;1;p;0;-6.90247546687821;1.81768008177954;21.64;0.208292828689128
1;0;1;1;F1;0;-4.933829549022;4.89269768337275;22.59;0.0
1;0;1;1;F2;0;-6.19081185528612;6.69416804997302;18.71;0.0
1;0;1;1;F3;0;-7.53882465854203;3.57209158033648;15.24;0.0
1;0;1;1;F4;0;-10.9022878703695;-0.569033293738577;18.12;0.0
1;0;1;1;F5;0;-9.13949543563627;-1.3776511466501;21.48;0.0
1;0;1;1;1;5;3.05080223475643;-2.63984871724607;24.43;1.69986512841618
1;0;1;1;p;0;2.41331424119041;4.03591408995874;25.15;0.18359063231764
1;0;1;1;F1;0;-0.791798389577471;5.95480778792438;26.56;0.0
1;0;1;1;F2;0;-1.07074526077867;9.3755516606876;23.41;0.0
1;0;1;1;F3;0;2.52465245751324;7.60591462239373;19.04;0.0
1;0;1;1;F4;0;7.72375804522181;6.96920347292534;22.86;0.0
1;0;1;1;F5;0;7.30936501406035;3.96050301995152;26.49;0.0
1;0;1;1;1;6;3.02375020540961;-5.42124552239779;29.68;1.67858437045788
1;0;1;1;p;0;-3.10078387490918;-0.869258890276197;31.94;0.194105591064189
1;0;1;1;F1;0;-6.40431229032846;-3.74606267373404;32.52;0.0
1;0;1;1;F2;0;-7.71394439888601;-3.60583521481419;29.71;0.0
1;0;1;1;F3;0;-5.07097341231283;-2.10313618835131;26.29;0.0
1;0;1;1;F4;0;-2.19085994187519;3.47272665047494;26.47;0.0
1;0;1;1;F5;0;-0.815107628322051;3.24402253649093;31.27;0.0
1;0;1;1;1;7;6.46285700377705;-5.73099450047979;35.53;1.64485820239769
1;0;1;1;p;0;3.5281744415803;1.8241983004445;36.7;0.21151562703307
1;0;1;1;F1;0;0.319462173595697;0.0682468258060019;35.12;0.0
1;0;1;1;F2;0;-0.528517448667367;4.3759527767997;31.53;0.0
1;0;1;1;F3;0;2.96548118288894;3.76589248249875;29.98;0.0
1;0;1;1;F4;0;7.31021386572563;4.24369779294504;32.8;0.0
1;0;1;1;F5;0;7.66177451807609;4.19673921844655;38.21;0.0
1;0;1;1;1;8;4.92541977967321;-6.54878835099461;40.33;1.60406803358547
1;0;1;1;p;0;-0.609916983638181;-0.633076482019455;42.43;0.215271869222809
1;0;1;1;F1;0;-4.41276559483878;-3.04439198196749;44.38;0.0
1;0;1;1;F2;0;-5.38904953633284;-1.95881855488814;38.29;0.0
1;0;1;1;F3;0;-2.75715283778325;1.73957565992505;35.06;0.0
1;0;1;1;F4;0;0.363634389633824;4.90930547194223;38.06;0.0
1;0;1;1;F5;0;3.53286637739267;2.44707708940616;42.86;0.0
1;0;1;1;1;9;7.46234624700498;-6.37877629450588;46.99;1.5535169537202
1;0;1;1;p;0;8.29896527447345;-1.28231981937753;52.45;0.207796864728229
1;0;1;1;F1;0;3.12421472079854;0.882595122887242;51.67;0.0
1;0;1;1;F2;0;7.79440881531487;1.08823344505703;47.58;0.0
1;0;1;1;F3;0;14.2825880583879;0.992159984845941;49.15;0.0
1;0;1;1;F4;0;15.8395844437023;0.442285220815291;55.51;0.0
1;0;1;1;F5;0;11.2713875537247;-1.31241622797855;58.17;0.0
1;0;1;1;1;10;4.35344294290196;-5.5837792846138;54.16;1.5079815491415
1;0;1;1;p;0;1.70624591533172;1.5171536046074;53.66;0.194210768526236
1;0;1;1;F1;0;-3.40184010578271;1.06564812192161;53.62;0.0
1;0;1;1;F2;0;-2.02828331981851;0.929113306831566;48.49;0.0
1;0;1;1;F3;0;3.36619593732679;3.97832526145674;46.4;0.0
1;0;1;1;F4;0;5.16417424718694;5.83737716962726;49.15;0.0
1;0;1;1;F5;0;6.91274407763169;4.76043541258633;52.95;0.0
1;0;1;1;1;11;6.07795861994756;-7.38170744770152;61.09;1.47072764653086
1;0;1;1;p;0;13.1987515510139;-5.29496164792716;63.29;0.222498618362862
1;0;1;1;F1;0;14.5207006865079;-10.279241985465;61.96;0.0
1;0;1;1;F2;0;16.5629952504049;-11.0247840126352;61.33;0.0
1;0;1;1;F3;0;20.2283708317029;-4.52752906550373;59.19;0.0
1;0;1;1;F4;0;14.0810326238296;0.662955782564056;58.7;0.0
1;0;1;1;F5;0;14.6832490225874;-0.933864623451336;65.35;0.0
1;0;1;1;1;12;3.73809988191721;-5.30332801023996;68.14;1.44025888281627
1;0;1;1;p;0;-0.0776565870913081;1.52673806332183;68.81;0.205044468963123
1;0;1;1;F1;0;4.46689096713236;5.64066411119868;68.59;0.0
1;0;1;1;F2;0;-0.483145353556992;10.441959813804;64.35;0.0
1;0;1;1;F3;0;-4.21554013828835;3.61545051761824;61.59;0.0
1;0;1;1;F4;0;-7.04658886978581;4.0416700383896;68.05;0.0
1;0;1;1;F5;0;-4.9141773811983;-0.21374078118352;70.86;0.0
1;0;1;1;1;13;5.65189682642522;-5.80130517356352;78.63;1.39337658968638
1;0;1;1;p;0;13.2093243713132;-8.83601914752681;79.34;0.218876724213706
1;0;1;1;F1;0;10.432107103852;-15.5432141088587;79.69;0.0
1;0;1;1;F2;0;16.1412132881179;-15.909556266926;75.55;0.0
1;0;1;1;F3;0;20.0222593277861;-13.0916879878938;73.13;0.0
1;0;1;1;F4;0;20.8408199537507;-4.59539712060232;75.57;0.0
1;0;1;1;F5;0;18.7785112642255;-5.69693371514141;78.96;0.0
1;0;1;1;1;14;2.45197395572806;-3.91809153151725;87.31;1.3819085352402
1;0;1;1;p;0;-3.32618558884512;2.62653773815555;88.07;0.175249231561401
1;0;1;1;F1;0;-8.72226225577616;-0.719991300206799;89.2;0.0
1;0;1;1;F2;0;-9.51081219282112;1.50275227402447;82.24;0.0
1;0;1;1;F3;0;-8.15287119037559;3.3426425516979;79.36;0.0
1;0;1;1;F4;0;2.13471475393029;6.39449042446615;80.81;0.0
1;0;1;1;F5;0;3.29738602394983;6.82145121642621;87.79;0.0
1;0;1;1;1;15;5.48398000398058;-3.62562046737559;96.39;1.34936593961661
1;0;1;1;p;0;3.96152851614917;3.85471652150398;98.9;0.218379547432164
1;0;1;1;F1;0;-1.61698845814954;1.60833089845056;96.68;0.0
1;0;1;1;F2;0;1.93655472603322;7.19806531415836;91.24;0.0
1;0;1;1;F3;0;5.4424372809036;10.5527318417667;91.29;0.0
1;0;1;1;F4;0;9.82544672142795;12.0198474623891;98.17;0.0
1;0;1;1;F5;0;8.4294222614527;5.72094948677858;103.98;0.0
1;0;1;1;1;16;1.90240007233193;-4.6678705300821;108.78;1.33764981412968
1;0;1;1;p;0;-5.88118138807835;-0.155403394561067;109.27;0.202666727216297
1;0;1;1;F1;0;-12.8637955909623;-2.44066024963945;112.02;0.0
1;0;1;1;F2;0;-14.6537904953597;-4.81704789525445;105.58;0.0
1;0;1;1;F3;0;-8.98119864481497;2.54391003813532;96.96;0.0
1;0;1;1;F4;0;-7.56985563848969;8.06308669036315;100.45;0.0
1;0;1;1;F5;0;-1.66219189561329;5.96553833547275;106.82;0.0
1;0;1;1;1;17;4.19720216974994;-3.989354993277;117.7;1.32637911022855
1;0;1;1;p;0;14.06894446996;-5.84383711997526;118.77;0.160212966082733
1;0;1;1;F1;0;12.7139366228262;-13.77353785419;118.55;0.0
1;0;1;1;F2;0;15.4832562045059;-14.2956193176851;113.18;0.0
1;0;1;1;F3;0;18.560534054324;-8.20621367878907;108.42;0.0
1;0;1;1;F4;0;21.7744470127769;-0.474178791678927;113.48;0.0
1;0;1;1;F5;0;17.5784266620471;1.18567458023718;120.76;0.0
1;0;1;1;1;18;2.51495313139046;-2.46274496680049;126.0;1.31217697162363
1;0;1;1;p;0;-4.57224769086883;-0.17521693309964;129.84;0.210072159444675
1;0;1;1;F1;0;-11.1384274187856;-1.95147248360332;134.24;0.0
