Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0.268621497;-0.3270927;14.48;1.874709238
1;0;1;1;1;0;-0.048079431;1.528224126;17.46;1.842678208
1;0;1;1;1;1;0.74761432;-0.567645969;20.71;1.835912468
1;0;1;1;1;2;0.159812035;0.424013485;24.55;1.777286784
1;0;1;1;1;3;3.767750547;-3.571456411;27.1;1.770063157
1;0;1;1;p;0;6.641140599;2.091460647;24.93;0.231905616
1;0;1;1;F1;0;7.803011987;0.269111921;29.88;0
1;0;1;1;F2;0;12.620586;1.995895249;25.65;0
1;0;1;1;F3;0;10.19190578;4.423962875;15.72;0
1;0;1;1;F4;0;4.41678783;5.226529188;18.4;0
1;0;1;1;F5;0;3.479357106;4.352616356;22.05;0
1;0;1;1;1;4;3.463197089;-3.343976322;33.93;1.743803495
1;0;1;1;1;5;1.143456628;-4.005946257;41.32;1.678361079
1;0;1;1;p;0;9.829906457;-0.245668426;34.74;0.183590632
1;0;1;1;F1;0;15.86446571;5.7409913;35.13;0
1;0;1;1;F2;0;17.10010874;2.791807296;33.18;0
1;0;1;1;F3;0;16.43223937;3.564174112;26.5;0
1;0;1;1;F4;0;6.08573441;2.528637917;23.39;0
1;0;1;1;F5;0;3.402326032;2.590439801;32.67;0
1;0;1;1;1;6;4.452478826;-3.820549133;45.32;1.657349532
1;0;1;1;p;0;8.021604033;5.090513949;39.42;0.194105591
1;0;1;1;F1;0;11.34586054;11.17022765;42.62;0
1;0;1;1;F2;0;17.12872423;8.704038783;28.53;0
1;0;1;1;F3;0;7.703231096;7.795534961;32.77;0
1;0;1;1;F4;0;3.168383028;12.38844831;33.89;0
1;0;1;1;F5;0;0.621511068;6.699340887;40.17;0
1;0;1;1;1;7;3.143587029;-6.828405889;55.45;1.624050015
1;0;1;1;p;0;-9.920697294;0.574119026;57.33;0.211515627
1;0;1;1;F1;0;-12.12568656;-1.585793552;63.86;0
1;0;1;1;F2;0;-18.90298342;-0.570536338;57.11;0
1;0;1;1;F3;0;-16.74055772;2.765466518;48.32;0
1;0;1;1;F4;0;-8.723694975;5.898326521;47.86;0
1;0;1;1;F5;0;1.234138002;4.45552979;47.24;0
1;0;1;1;1;8;6.144446046;-6.853805952;61.43;1.58377586
1;0;1;1;p;0;6.44165488;1.196639186;57.6;0.215271869
1;0;1;1;F1;0;6.385495257;9.282166138;59.92;0
1;0;1;1;F2;0;7.342822605;11.40831861;51.36;0
1;0;1;1;F3;0;5.713706452;7.500930667;39.58;0
1;0;1;1;F4;0;-7.280509064;6.567515902;53.11;0
1;0;1;1;F5;0;-4.170447995;1.046064993;57.85;0
1;0;1;1;1;9;5.312873358;-11.52436126;72.19;1.533864274
1;0;1;1;p;0;13.47616916;-23.7172527;76.15;0.207796865
1;0;1;1;F1;0;19.5621343;-25.67302065;79.4;0
1;0;1;1;F2;0;18.92775761;-30.55785087;73.99;0
1;0;1;1;F3;0;7.855944244;-26.63073377;71.01;0
1;0;1;1;F4;0;1.927603562;-25.23367373;74.91;0
1;0;1;1;F5;0;1.931966405;-18.35997887;77.29;0
1;0;1;1;1;10;6.372895845;-4.769337029;66.98;1.488904913
1;0;1;1;p;0;-1.046029211;6.409842324;66.26;0.194210769
