Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;-0.282541734761305;0.0385738819223624;16.48;1.87470923785153
1;0;1;1;1;0;1.39370719509899;-0.118873014338528;16.69;1.84267820802588
1;0;1;1;1;1;2.52844813576213;-0.333495933857735;18.32;1.83591246782415
1;0;1;1;1;2;2.94542864714877;0.763147697010442;18.73;1.77728678398025
1;0;1;1;1;3;3.78456756126666;0.443076013144077;21.76;1.77006315717933
1;0;1;1;1;4;3.30677669234513;-1.07106264813342;23.68;1.76614602643043
1;0;1;1;1;5;4.93796287206814;-1.89309163003163;29.42;1.74218280119219
1;0;1;1;1;6;3.84701165156725;-5.14692405265078;33.54;1.71633675583527
1;0;1;1;p;0;-5.38636304933847;-1.44176661568887;36.32;0.169200999161926
1;0;1;1;F1;0;-5.43581776385404;-5.05376803196935;35.25;0.0
1;0;1;1;F2;0;-5.01935177149008;-2.79967041269811;32.94;0.0
1;0;1;1;F3;0;-6.2221708573906;-1.6184734576591;30.44;0.0
1;0;1;1;F4;0;-3.78391561449937;0.581142729432059;33.23;0.0
1;0;1;1;F5;0;-1.48006093335238;1.93038459364956;35.76;0.0
1;0;1;1;1;7;6.88440442795423;-6.201080171047;40.46;1.65980451935612
1;0;1;1;p;0;11.1328556414098;-0.539096217794539;42.1;0.20974858104857
1;0;1;1;F1;0;8.12816923095997;-0.760138238366218;41.08;0.0
1;0;1;1;F2;0;9.62011024437085;0.691554570909401;38.04;0.0
1;0;1;1;F3;0;11.4064713109002;-1.11739930909638;35.67;0.0
1;0;1;1;F4;0;15.9058843823875;-1.24101974482639;37.16;0.0
1;0;1;1;F5;0;13.0408975401407;-3.20314879097832;41.1;0.0
1;0;1;1;1;8;5.84000027837753;-7.27052861409929;48.69;1.64452378930592
1;0;1;1;p;0;10.8483378499402;0.464272919829943;53.98;0.199884656545049
1;0;1;1;F1;0;11.382637287716;-3.08664585012136;52.4;0.0
1;0;1;1;F2;0;13.7439411617662;0.0219139473403667;47.31;0.0
1;0;1;1;F3;0;11.8762986408506;4.70645356336114;46.08;0.0
1;0;1;1;F4;0;8.91216278189629;5.58275180577694;48.64;0.0
1;0;1;1;F5;0;7.69731971772175;2.13283059951337;52.04;0.0
1;0;1;1;1;9;3.44692890073779;-8.88366511840429;53.12;1.64399136452193
1;0;1;1;p;0;-0.445261102317673;-13.0995584970508;57.77;0.193892232256873
1;0;1;1;F1;0;2.69473379280751;-14.2649477275604;57.57;0.0
1;0;1;1;F2;0;1.57725395804414;-16.9247294514801;54.96;0.0
1;0;1;1;F3;0;-5.19339760435052;-16.8904158879405;53.51;0.0
1;0;1;1;F4;0;-5.38996996760108;-13.15203932772;54.23;0.0
1;0;1;1;F5;0;-2.25699974909935;-9.78748919286076;57.18;0.0
1;0;1;1;1;10;4.10890657099455;-8.90056375981211;60.59;1.63969760307352
1;0;1;1;p;0;7.40301901801615;-1.28877532434062;60.55;0.184019815020213
1;0;1;1;F1;0;9.03765653806847;-5.98776034006872;61.14;0.0
