Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;-0.178624018;-0.326832012;2.86;1.874709238
1;0;1;1;1;0;-0.649554452;0.601566892;4.33;1.842678208
1;0;1;1;1;1;-0.252206284;-1.294037083;5.81;1.835912468
1;0;1;1;1;2;-0.251785578;0.029745309;8.03;1.777286784
1;0;1;1;1;3;0.347371701;-1.981500711;9.48;1.770063157
1;0;1;1;p;0;-4.044987414;-7.514246992;12.23;0.231905616
1;0;1;1;F1;0;-8.323183503;-5.614236932;11.93;0.0
1;0;1;1;F2;0;-9.251327365;-10.03657217;9.37;0.0
1;0;1;1;F3;0;-6.890387262;-14.85956521;9.31;0.0
1;0;1;1;F4;0;-3.353887611;-13.06265947;12.99;0.0
1;0;1;1;F5;0;-3.043518718;-9.114828277;15.83;0.0
1;0;1;1;1;4;0.870424869;-1.961119757;13.84;1.743803495
1;0;1;1;1;5;1.536995067;-3.877205395;15.67;1.678361079
1;0;1;1;p;0;3.243090486;-8.871015405;22.04;0.183590632
1;0;1;1;F1;0;7.659686021;-10.27008076;21.88;0.0
1;0;1;1;F2;0;6.868773648;-5.50635768;17.91;0.0
1;0;1;1;F3;0;1.336566657;-0.843259375;20.44;0.0
1;0;1;1;F4;0;0.321067503;-5.359237837;25.79;0.0
1;0;1;1;F5;0;0.47370537;-9.021368594;26.34;0.0
1;0;1;1;1;6;0.457072626;-3.835163493;18.66;1.657349532
1;0;1;1;p;0;-5.150470958;1.946873774;16.15;0.194105591
1;0;1;1;F1;0;-1.36705916;1.97996705;17.43;0.0
1;0;1;1;F2;0;-1.561967157;5.74560257;11.85;0.0
1;0;1;1;F3;0;-7.286708088;4.054998752;8.61;0.0
1;0;1;1;F4;0;-11.46133685;-0.46133546;13.7;0.0
1;0;1;1;F5;0;-6.911989801;-0.115443216;19.73;0.0
1;0;1;1;1;7;0.616848774;-5.953387178;22.54;1.624050015
1;0;1;1;p;0;0.14957239;-13.01829714;24.8;0.211515627
1;0;1;1;F1;0;1.422227796;-16.06361292;23.35;0.0
1;0;1;1;F2;0;-3.409154311;-13.92094007;19.78;0.0
1;0;1;1;F3;0;-4.176879638;-8.45695821;20.35;0.0
1;0;1;1;F4;0;0.749609224;-5.131088776;24.37;0.0
1;0;1;1;F5;0;-0.05594679;-10.31491743;27.43;0.0
1;0;1;1;1;8;-1.317031018;-4.612824255;26.42;1.58377586
1;0;1;1;p;0;-6.028492518;3.58820803;28.18;0.215271869
1;0;1;1;F1;0;-8.957499446;0.812398524;31.26;0.0
1;0;1;1;F2;0;-9.465152784;-0.191985909;24.98;0.0
1;0;1;1;F3;0;-9.461852093;5.915361232;20.18;0.0
1;0;1;1;F4;0;-4.0128136;5.300235629;21.62;0.0
1;0;1;1;F5;0;-1.327841225;3.681895942;27.4;0.0
1;0;1;1;1;9;-1.346825993;-5.663591717;33.4;1.533864274
1;0;1;1;p;0;4.329330062;-0.92050702;31.17;0.207796865
1;0;1;1;F1;0;9.057628111;-1.781667608;32.27;0.0
1;0;1;1;F2;0;10.03380862;0.240106764;25.4;0.0
1;0;1;1;F3;0;4.082536498;-0.209737763;22.01;0.0
1;0;1;1;F4;0;-1.224528939;1.216956476;25.9;0.0
1;0;1;1;F5;0;-0.581593306;0.044807265;31.58;0.0
1;0;1;1;1;10;-3.475551216;-7.016007675;39.16;1.488904913
1;0;1;1;p;0;-11.72996596;-5.70606981;39.07;0.194210769
1;0;1;1;F1;0;-10.24193877;-10.40248068;40.74;0.0
1;0;1;1;F2;0;-15.35485479;-12.75139315;36.36;0.0
1;0;1;1;F3;0;-13.29466576;-7.422319954;32.35;0.0
1;0;1;1;F4;0;-12.1045746;-1.666011845;32.62;0.0
1;0;1;1;F5;0;-9.236245143;-0.610556443;37.44;0.0
1;0;1;1;1;11;0.566133555;-6.751840663;43.14;1.452122288
1;0;1;1;p;0;7.567497393;-3.704168698;42.03;0.222498618
1;0;1;1;F1;0;10.49199753;-5.601482311;46.22;0.0
1;0;1;1;F2;0;14.84039475;-4.337701638;40.47;0.0
1;0;1;1;F3;0;11.2235327;-0.863322721;36.12;0.0
1;0;1;1;F4;0;5.63085859;2.741312676;37.99;0.0
1;0;1;1;F5;0;2.858137032;0.174249148;41.88;0.0
1;0;1;1;1;12;-0.143877122;-6.988663041;51.5;1.422038968
1;0;1;1;p;0;-6.985041717;0.110750103;48.01;0.205044469
1;0;1;1;F1;0;-12.4208286;-2.263743734;50.37;0.0
1;0;1;1;F2;0;-15.05096392;-0.188246636;43.69;0.0
1;0;1;1;F3;0;-11.42528076;3.176411089;38.82;0.0
1;0;1;1;F4;0;-3.865512608;4.336284169;41.46;0.0
1;0;1;1;F5;0;-1.009951487;3.246527001;47.77;0.0
1;0;1;1;1;13;3.587631233;-8.165117627;56.91;1.375749757
1;0;1;1;p;0;9.228872339;-12.9769155;64.12;0.218876724
1;0;1;1;F1;0;4.982178473;-18.44051241;63.11;0.0
1;0;1;1;F2;0;7.290302218;-19.73934449;57.88;0.0
1;0;1;1;F3;0;6.371930517;-14.80546231;53.33;0.0
1;0;1;1;F4;0;11.01092647;-16.18133168;55.96;0.0
1;0;1;1;F5;0;11.80624493;-17.06420685;63.31;0.0
