Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0.137291637482122;0.0298794619739056;16.25;2.03996372350783
1;0;1;1;1;0;0.707291637482115;-1.31012053802609;17.57;1.96577850788024
1;0;1;1;1;1;1.14729163748211;-0.720120538026094;19.24;1.93526904013674
1;0;1;1;1;2;0.937291637482119;-2.46012053802609;21.88;1.91512809141375
1;0;1;1;1;3;1.81729163748211;-1.07012053802609;26.15;1.88887850403923
1;0;1;1;1;4;1.32729163748212;-3.01012053802609;30.49;1.81831709802048
1;0;1;1;p;0;0.377291637482116;-7.13012053802609;35.69;0.191455345453763
1;0;1;1;F1;0;-1.97270836251788;-6.15012053802609;38.76;0.0
1;0;1;1;F2;0;-3.24270836251789;-10.2201205380261;38.03;0.0
1;0;1;1;F3;0;-1.10270836251789;-13.2001205380261;34.32;0.0
1;0;1;1;F4;0;2.47729163748211;-8.82012053802609;31.88;0.0
1;0;1;1;F5;0;3.57729163748212;-6.28012053802609;33.93;0.0
1;0;1;1;1;5;1.88729163748212;-1.37012053802609;34.56;1.79336477752158
1;0;1;1;p;0;10.4572916374821;-2.60012053802609;34.38;0.223282376090137
1;0;1;1;F1;0;9.21729163748212;-6.92012053802609;34.64;0.0
1;0;1;1;F2;0;9.93729163748212;-7.09012053802609;31.0;0.0
1;0;1;1;F3;0;11.3272916374821;-2.18012053802609;27.65;0.0
1;0;1;1;F4;0;12.6972916374821;0.459879461973905;30.3;0.0
1;0;1;1;F5;0;11.4272916374821;1.49987946197391;34.61;0.0
1;0;1;1;1;6;-0.322708362517886;-4.65012053802609;39.82;1.76593355374525
1;0;1;1;p;0;-4.83270836251788;-9.07012053802609;35.71;0.20068540216469
1;0;1;1;F1;0;-1.64270836251788;-12.5701205380261;36.52;0.0
1;0;1;1;F2;0;-0.342708362517882;-13.2201205380261;32.95;0.0
1;0;1;1;F3;0;-2.58270836251788;-11.6401205380261;29.85;0.0
