Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;-0.146938178455457;-0.338542093290016;24.32;1.95180968801977
1;0;1;1;1;0;0.0530618215445458;0.801457906709985;24.68;1.89781439894297
1;0;1;1;1;1;-0.396938178455457;0.821457906709988;26.87;1.87739388802453
1;0;1;1;1;2;1.51306182154454;1.61145790670999;28.12;1.82830622489415
1;0;1;1;1;3;0.963061821544542;1.33145790670999;30.53;1.76249996885617
1;0;1;1;1;4;3.77306182154454;1.62145790670998;32.9;1.7070325757529
1;0;1;1;p;0;8.65306182154454;4.35145790670999;27.53;0.180131042546671
1;0;1;1;F1;0;11.5430618215445;1.10145790670999;27.83;0.0
1;0;1;1;F2;0;11.9230618215445;1.67145790670999;22.85;0.0
1;0;1;1;F3;0;10.1930618215445;2.96145790670999;20.05;0.0
1;0;1;1;F4;0;5.68306182154454;1.86145790670999;25.06;0.0
1;0;1;1;F5;0;6.24306182154454;4.07145790670999;28.11;0.0
1;0;1;1;1;5;3.05306182154455;1.24145790670999;38.44;1.67362428580271
1;0;1;1;p;0;-3.86693817845546;-1.62854209329002;38.8;0.229778625809997
1;0;1;1;F1;0;-0.786938178455458;-4.20854209329001;37.59;0.0
1;0;1;1;F2;0;-3.16693817845545;-7.42854209329001;36.62;0.0
1;0;1;1;F3;0;-8.05693817845545;-3.89854209329001;32.94;0.0
1;0;1;1;F4;0;-5.52693817845545;-1.93854209329001;35.21;0.0
1;0;1;1;F5;0;-2.10693817845547;0.141457906709988;37.99;0.0
1;0;1;1;1;6;3.69306182154455;2.30145790670998;43.56;1.65219987433996
1;0;1;1;1;7;-1.57693817845546;2.06145790670999;48.28;1.64432204847949
1;0;1;1;1;8;-4.24693817845547;0.651457906709986;53.01;1.61819788199369
1;0;1;1;p;0;5.15306182154454;4.39145790670999;55.15;0.198799456959572
1;0;1;1;F1;0;4.62306182154454;1.43145790670999;55.29;0.0
1;0;1;1;F2;0;7.80306182154455;1.72145790670999;51.75;0.0
1;0;1;1;F3;0;9.25306182154453;5.99145790670999;46.92;0.0
1;0;1;1;F4;0;6.19306182154455;6.57145790670999;50.08;0.0
1;0;1;1;F5;0;2.60306182154454;6.60145790670999;52.68;0.0
1;0;1;1;1;9;-9.59693817845546;1.23145790670998;55.25;1.60354370848331
1;0;1;1;p;0;-17.8469381784555;-3.54854209329001;52.2;0.199856172096888
1;0;1;1;F1;0;-15.6769381784555;-8.30854209329001;55.06;0.0
1;0;1;1;F2;0;-14.8469381784555;-9.34854209329001;49.92;0.0
1;0;1;1;F3;0;-15.8869381784555;-6.63854209329001;44.92;0.0
1;0;1;1;F4;0;-15.2869381784555;-2.05854209329001;46.97;0.0
1;0;1;1;F5;0;-15.3069381784555;-1.69854209329002;51.94;0.0
1;0;1;1;1;10;-13.9069381784555;-1.44854209329002;64.61;1.5636488869595
1;0;1;1;1;11;-16.9569381784555;-0.658542093290009;74.08;1.52217724335747
1;0;1;1;p;0;-11.0569381784555;9.62145790670998;69.64;0.20896124797663
1;0;1;1;F1;0;-5.55693817845545;7.07145790670999;70.09;0.0
1;0;1;1;F2;0;-1.93693817845546;8.99145790670999;67.56;0.0
1;0;1;1;F3;0;-7.42693817845546;14.85145790671;63.71;0.0
1;0;1;1;F4;0;-12.0869381784555;15.68145790671;63.44;0.0
1;0;1;1;F5;0;-14.7669381784555;13.26145790671;65.23;0.0
1;0;1;1;1;12;-23.0069381784555;-1.39854209329001;81.9;1.49071384627553
1;0;1;1;p;0;-34.8169381784555;3.16145790670998;77.15;0.215718934108229
1;0;1;1;F1;0;-36.1069381784555;11.30145790671;77.04;0.0
1;0;1;1;F2;0;-37.1869381784555;10.08145790671;73.22;0.0
1;0;1;1;F3;0;-38.9469381784555;4.92145790670999;65.94;0.0
1;0;1;1;F4;0;-36.8769381784555;0.251457906709987;68.71;0.0
1;0;1;1;F5;0;-33.1069381784555;0.241457906709989;75.56;0.0
1;0;1;1;1;13;-19.9769381784555;-2.66854209329001;92.57;1.43569621765117
1;0;1;1;1;14;-16.3169381784555;0.361457906709987;97.78;1.38533165391916
1;0;1;1;p;0;-22.9269381784555;1.69145790670999;106.78;0.191133679516762
1;0;1;1;F1;0;-27.5969381784555;-0.11854209329001;103.78;0.0
1;0;1;1;F2;0;-30.0569381784555;3.93145790670999;103.56;0.0
1;0;1;1;F3;0;-25.0969381784555;7.93145790670999;102.72;0.0
1;0;1;1;F4;0;-25.4169381784555;7.02145790670999;104.85;0.0
1;0;1;1;F5;0;-19.4369381784555;4.59145790670999;103.39;0.0
1;0;1;1;1;15;-11.5969381784555;1.37145790670998;102.44;1.37651670489269
1;0;1;1;1;16;-11.0069381784555;2.99145790670999;110.89;1.36191034338138
1;0;1;1;p;0;-14.2469381784555;10.42145790671;104.48;0.194128343048149
1;0;1;1;F1;0;-19.5069381784555;8.78145790670999;103.06;0.0
1;0;1;1;F2;0;-20.6369381784555;14.96145790671;98.84;0.0
1;0;1;1;F3;0;-16.1669381784555;12.02145790671;94.39;0.0
1;0;1;1;F4;0;-9.57693817845546;13.43145790671;95.19;0.0
1;0;1;1;F5;0;-7.17693817845546;11.33145790671;103.35;0.0
1;0;1;1;1;17;-10.5769381784555;0.121457906709985;119.66;1.33145524918218
1;0;1;1;p;0;-4.79693817845546;6.03145790670999;115.77;0.218071843252871
1;0;1;1;F1;0;1.40306182154454;6.41145790670998;117.39;0.0
1;0;1;1;F2;0;3.52306182154454;5.88145790670999;112.77;0.0
1;0;1;1;F3;0;0.273061821544545;6.52145790670999;104.41;0.0
1;0;1;1;F4;0;-8.89693817845546;6.70145790670999;107.68;0.0
1;0;1;1;F5;0;-6.43693817845546;9.43145790670999;109.71;0.0
1;0;1;1;1;18;-14.1969381784555;1.50145790670999;129.64;1.31873329629014
1;0;1;1;p;0;-21.4669381784555;5.94145790670999;126.24;0.179735732894658
1;0;1;1;F1;0;-22.9269381784555;-0.0385420932900118;123.5;0.0
1;0;1;1;F2;0;-19.8569381784555;2.13145790670999;117.84;0.0
1;0;1;1;F3;0;-21.4769381784555;9.12145790670998;115.75;0.0
1;0;1;1;F4;0;-21.1269381784555;13.07145790671;119.56;0.0
1;0;1;1;F5;0;-17.5269381784555;12.16145790671;127.64;0.0
1;0;1;1;1;19;-12.7069381784555;0.31145790670999;140.55;1.31763113781913
1;0;1;1;p;0;-7.02693817845545;11.66145790671;134.03;0.228130504778962
1;0;1;1;F1;0;-9.28693817845546;18.40145790671;135.28;0.0
1;0;1;1;F2;0;-9.07693817845546;18.34145790671;126.45;0.0
1;0;1;1;F3;0;-4.59693817845546;13.66145790671;119.85;0.0
1;0;1;1;F4;0;-0.366938178455456;8.32145790670999;124.17;0.0
1;0;1;1;F5;0;0.173061821544536;5.16145790670998;131.16;0.0
1;0;1;1;1;20;-13.3969381784555;1.46145790670999;149.48;1.29260734869193
