Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;0.117748503340408;-0.178492360748351;6.54;1.91005502532714
1;0;1;1;1;0;0.17774850334041;-1.42849236074835;8.22;1.88456336415002
1;0;1;1;1;1;-0.272251496659592;-2.90849236074834;9.0;1.88022218747732
1;0;1;1;1;2;2.15774850334041;-3.54849236074834;10.22;1.86795833963274
1;0;1;1;p;0;12.4477485033404;-1.09849236074835;9.38;0.193025701271706
1;0;1;1;F1;0;15.5977485033404;-3.73849236074835;10.97;0.0
1;0;1;1;F2;0;17.4477485033404;-4.88849236074834;6.54;0.0
1;0;1;1;F3;0;13.5777485033404;-0.448492360748347;1.52;0.0
1;0;1;1;F4;0;12.2577485033404;5.63150763925165;5.13;0.0
1;0;1;1;F5;0;9.91774850334042;3.01150763925165;10.29;0.0
1;0;1;1;1;3;0.957748503340412;-5.69849236074835;14.53;1.84765472309313
1;0;1;1;p;0;-5.40225149665959;-14.5084923607483;21.27;0.187622322727338
1;0;1;1;F1;0;0.577748503340416;-15.6284923607484;22.46;0.0
1;0;1;1;F2;0;-3.40225149665959;-21.0884923607483;18.71;0.0
1;0;1;1;F3;0;-9.73225149665959;-19.5784923607483;14.53;0.0
1;0;1;1;F4;0;-12.0922514966596;-12.0184923607483;18.32;0.0
1;0;1;1;F5;0;-10.4822514966596;-10.4884923607484;24.56;0.0
1;0;1;1;1;4;4.82774850334042;-5.97849236074835;17.4;1.77611012819436
1;0;1;1;p;0;18.9977485033404;0.131507639251652;15.24;0.207884522854513
1;0;1;1;F1;0;19.0777485033404;-3.13849236074834;20.94;0.0
1;0;1;1;F2;0;27.9577485033404;-1.11849236074835;19.14;0.0
1;0;1;1;F3;0;29.3977485033404;2.13150763925165;12.01;0.0
1;0;1;1;F4;0;25.0777485033404;7.38150763925165;12.56;0.0
1;0;1;1;F5;0;17.1377485033404;7.64150763925166;15.03;0.0
1;0;1;1;1;5;3.62774850334041;-8.08849236074835;25.19;1.74553507797525
1;0;1;1;p;0;-1.44225149665958;-0.118492360748348;34.36;0.209927957235246
1;0;1;1;F1;0;-5.14225149665958;-4.56849236074835;38.43;0.0
1;0;1;1;F2;0;-9.09225149665959;-3.61849236074835;33.45;0.0
1;0;1;1;F3;0;-7.85225149665959;5.76150763925165;31.15;0.0
1;0;1;1;F4;0;-2.34225149665959;9.47150763925166;35.1;0.0
1;0;1;1;F5;0;3.83774850334041;4.45150763925166;34.81;0.0
1;0;1;1;1;6;7.61774850334041;-9.37849236074835;29.57;1.74346718211879
1;0;1;1;p;0;19.2777485033404;-1.66849236074835;32.9;0.204655887371513
1;0;1;1;F1;0;21.9077485033404;-3.53849236074835;38.54;0.0
1;0;1;1;F2;0;27.2877485033404;2.41150763925165;34.76;0.0
1;0;1;1;F3;0;28.3077485033404;-0.40849236074834;28.11;0.0
1;0;1;1;F4;0;20.3677485033404;5.72150763925166;28.76;0.0
