"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.340660212736306;0.158328424890244;24.58;1.87470923785153
1;"0";1;1;"1";0;-0.29864470233785;0.765151872761169;24.84;1.84267820802588
1;"0";1;1;"1";1;-0.864661562613828;0.711069399784028;25.53;1.83591246782415
1;"0";1;1;"1";2;-1.20586772107099;1.09064594994342;27.17;1.77728678398025
1;"0";1;1;"1";3;-2.10319132360628;1.21638517347014;28.45;1.77006315717933
1;"0";1;1;"1";4;-2.16527431591233;0.852866670411047;29.7;1.76614602643043
1;"0";1;1;"1";5;-2.48785190662054;0.896954060591127;30.99;1.74218280119219
1;"0";1;1;"1";6;-2.18444018268507;0.875946305391904;32.76;1.71633675583527
1;"0";1;1;"1";7;-2.17049267352316;0.796539334739581;35.3;1.65192512748224
1;"0";1;1;"1";8;-1.9338450004808;0.668095265808251;37.35;1.59945830541889
1;"0";1;1;"1";9;-2.34024197091647;1.11052209865263;39.82;1.54677577977055
1;"0";1;1;"1";10;-1.64842887867132;0.606146598258135;42.63;1.5274115605541
1;"0";1;1;"p";0;4.03946175949962;0.143113026897034;44.09;0.194105591064189
1;"0";1;1;"F1";0;3.29851394479092;-4.0987611268089;44.36;0
1;"0";1;1;"F2";0;3.04072419179339;-4.35183116306264;39.91;0
1;"0";1;1;"F3";0;5.29625577212994;-0.165057071938962;37.87;0
1;"0";1;1;"F4";0;5.44586222888748;3.44277023935193;39.9;0
1;"0";1;1;"F5";0;4.49508911899803;3.75809625082443;44.47;0
1;"0";1;1;"1";11;-1.89376704510803;1.63726695209151;46.62;1.49672276117353
1;"0";1;1;"p";0;-4.67993498163519;6.05677690563477;46.78;0.21151562703307
1;"0";1;1;"F1";0;-0.847622626479839;7.64040628542146;47.97;0
1;"0";1;1;"F2";0;-3.03195548139175;11.3508361768158;44.11;0
1;"0";1;1;"F3";0;-4.91368451848922;9.35925493796452;41.23;0
1;"0";1;1;"F4";0;-8.82835898892769;6.04342566152442;43.51;0
1;"0";1;1;"F5";0;-9.25793126094342;7.15552622492471;47.1;0
1;"0";1;1;"1";12;-0.685741481244835;1.26260145187431;51.73;1.45960614285083
1;"0";1;1;"p";0;5.00013428558692;-0.371967838230994;52.07;0.215271869222809
1;"0";1;1;"F1";0;7.55675345326579;-3.51327304967688;50.07;0
1;"0";1;1;"F2";0;9.05520381306518;-0.293157132630242;47.16;0
1;"0";1;1;"F3";0;7.69772838265676;4.75383805815779;47.01;0
1;"0";1;1;"F4";0;6.1499742326518;6.36720630228012;52.3;0
1;"0";1;1;"F5";0;4.83896146470306;1.95090179259385;56.38;0
1;"0";1;1;"1";13;-0.585691071504379;2.11259551980111;55.53;1.41360767822576
1;"0";1;1;"p";0;-3.58287487573009;8.1636606527911;58.09;0.207796864728229
1;"0";1;1;"F1";0;1.14585946682568;9.84177611888204;56.11;0
1;"0";1;1;"F2";0;-2.84653080329494;14.1955009529806;52.7;0
1;"0";1;1;"F3";0;-7.35089607645649;11.949795387699;49.94;0
1;"0";1;1;"F4";0;-10.068901663674;10.589594804015;54.98;0
1;"0";1;1;"F5";0;-7.89276066128938;7.3273087439429;58.97;0
1;"0";1;1;"1";14;1.04191168157749;1.5144239071678;57.96;1.37217317866049
1;"0";1;1;"p";0;2.35167295339529;-5.96391316806799;58.59;0.194210768526236
1;"0";1;1;"F1";0;-2.58099866053601;-7.85037831460962;58.73;0
1;"0";1;1;"F2";0;-0.0858681776969767;-12.4985740800231;55.69;0
1;"0";1;1;"F3";0;5.09196861975836;-12.4882736471427;53;0
