"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.338687433766461;0.253846341437295;26.02;1.87470923785153
1;"0";1;1;"1";0;0.0399571024535162;0.28743674469112;26.25;1.84267820802588
1;"0";1;1;"1";1;0.144578314767293;0.0875507723619067;27.23;1.83591246782415
1;"0";1;1;"1";2;1.48944515346437;0.0510379503270592;28.21;1.77728678398025
1;"0";1;1;"1";3;1.3273456062789;-0.11335102984578;30.63;1.77006315717933
1;"0";1;1;"1";4;1.08318775392862;-0.150592715303085;33.35;1.76614602643043
1;"0";1;1;"1";5;1.34796509977811;-0.476772048070971;35.84;1.74218280119219
1;"0";1;1;"1";6;0.155642635619364;-0.573038041352108;40.5;1.71633675583527
1;"0";1;1;"1";7;-1.68084517064411;-1.36266614207141;46.67;1.65192512748224
1;"0";1;1;"1";8;-4.69544775295002;-3.31373540551506;52.29;1.59945830541889
1;"0";1;1;"1";9;-5.8895663317697;-5.11941555983854;58.64;1.54677577977055
1;"0";1;1;"1";10;-6.81598514595887;-5.52776367201285;64.59;1.5274115605541
1;"0";1;1;"p";0;-13.1193907931218;0.189646340161794;64.13;0.194105591064189
1;"0";1;1;"F1";0;-10.8717797548918;3.19509882203982;66.99;0
1;"0";1;1;"F2";0;-10.3319486586449;6.75551767205238;61.18;0
1;"0";1;1;"F3";0;-17.3347155148879;3.00919195782205;55.93;0
1;"0";1;1;"F4";0;-20.7832397814053;-1.53184100651996;61.43;0
1;"0";1;1;"F5";0;-15.6707655559595;-1.73459034474856;68.61;0
1;"0";1;1;"1";11;-5.01003262179218;-6.62968720858692;70;1.49672276117353
1;"0";1;1;"p";0;2.97302455757713;-8.10454247976449;72.98;0.21151562703307
1;"0";1;1;"F1";0;2.02333620095095;-9.78078590638506;77.42;0
1;"0";1;1;"F2";0;2.74513591275617;-15.4849602704835;76.48;0
1;"0";1;1;"F3";0;11.8490574468706;-10.2111369229786;71.19;0
1;"0";1;1;"F4";0;10.0702758890532;-4.68497766273568;69.16;0
1;"0";1;1;"F5";0;5.58387249029627;-3.30505572884871;73.31;0
1;"0";1;1;"1";12;-5.07232536773464;-6.78786310372567;75.03;1.45960614285083
1;"0";1;1;"p";0;-12.0069546404732;-6.92899017298315;75.95;0.215271869222809
1;"0";1;1;"F1";0;-10.8800390962956;-1.43636226311243;77.02;0
1;"0";1;1;"F2";0;-14.8617179153555;-3.23923047289651;72.22;0
1;"0";1;1;"F3";0;-17.4268806974775;-5.42482876654888;68.45;0
1;"0";1;1;"F4";0;-16.7218873013664;-9.4748515209837;76.21;0
1;"0";1;1;"F5";0;-12.247092963148;-10.3785747256479;78.97;0
1;"0";1;1;"1";13;-2.53324407258905;-8.65772036475975;79.78;1.41360767822576
1;"0";1;1;"p";0;1.93674348608021;-14.8599789231675;82.44;0.207796864728229
1;"0";1;1;"F1";0;-3.20488194411185;-19.0174646941115;83.29;0
1;"0";1;1;"F2";0;-1.5161018731815;-21.2308155185468;80.47;0
1;"0";1;1;"F3";0;3.11100129447921;-22.7141955358803;76.46;0
1;"0";1;1;"F4";0;9.8160333874126;-16.2130460503867;76.8;0
1;"0";1;1;"F5";0;9.25985943414193;-11.7209228849222;83.09;0
1;"0";1;1;"1";14;-4.88482874072638;-6.83831124403362;86.29;1.37217317866049
1;"0";1;1;"p";0;-11.0609251975722;0.117400980874561;85.43;0.194210768526236
1;"0";1;1;"F1";0;-6.69142951373001;3.22288121247882;89.45;0
1;"0";1;1;"F2";0;-8.50467000569089;6.63080710931305;81.58;0
1;"0";1;1;"F3";0;-17.53983556712;4.43720658105681;77.63;0
