"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.186936684908388;0.120360074089089;23.79;1.87470923785153
1;"0";1;1;"1";0;0.24450144990632;0.353300272053307;24.32;1.84267820802588
1;"0";1;1;"1";1;0.513008028214474;1.08978124085376;25.23;1.83591246782415
1;"0";1;1;"1";2;0.268942912246563;0.557022177892297;26.22;1.77728678398025
1;"0";1;1;"1";3;0.684643035568685;0.855172152686814;27.41;1.77006315717933
1;"0";1;1;"1";4;0.640417274061822;0.752487772087143;28.53;1.76614602643043
1;"0";1;1;"1";5;0.783564531401764;0.349984526490221;31.21;1.74218280119219
1;"0";1;1;"1";6;0.437262174037694;-0.216649991770084;33.54;1.71633675583527
1;"0";1;1;"1";7;0.195760226679553;-0.302538346174052;35.79;1.65192512748224
1;"0";1;1;"1";8;-0.975310886202605;-0.387346651032516;38.38;1.59945830541889
1;"0";1;1;"p";0;-4.4132821220034;-5.5093827483093;39.35;0.181428659305729
1;"0";1;1;"F1";0;-8.38642134547883;-6.16464201827891;37.96;0
1;"0";1;1;"F2";0;-6.13135769787583;-10.0185086409398;36.3;0
1;"0";1;1;"F3";0;-4.50298997330157;-11.9809862977718;39.95;0
1;"0";1;1;"F4";0;-5.17407539413325;-10.6109701088356;42.64;0
1;"0";1;1;"F5";0;-2.50424692125653;-6.17577947872549;44.36;0
1;"0";1;1;"1";9;-1.44961133007125;-0.290191677171141;41.47;1.56005428849171
1;"0";1;1;"p";0;2.99006323451694;1.17694490834116;40.45;0.214766494102584
1;"0";1;1;"F1";0;4.73638417713758;-1.48395027286471;42.24;0
1;"0";1;1;"F2";0;6.98068495661429;0.12042312857282;39.69;0
1;"0";1;1;"F3";0;4.1081075032756;2.47269836216481;34.42;0
1;"0";1;1;"F4";0;4.71891422095853;5.14580800331935;36.18;0
1;"0";1;1;"F5";0;3.43781872908198;5.2690733297237;40.02;0
