"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.262235004179474;0.142273936933305;24.7;1.87470923785153
1;"0";1;1;"1";0;-0.407184405221537;0.346943600385286;25.56;1.84267820802588
1;"0";1;1;"1";1;-0.69909652348887;0.337599339650616;26.44;1.83591246782415
1;"0";1;1;"1";2;-0.957891510114356;0.46017647821045;29;1.77728678398025
1;"0";1;1;"1";3;-2.03448262638474;-1.65128073621936;32.93;1.77006315717933
1;"0";1;1;"p";0;-8.62988179732907;-4.42550310940918;33.6;0.231905616042756
1;"0";1;1;"F1";0;-9.43852291323193;-0.931150587743494;32.7;0
1;"0";1;1;"F2";0;-12.9661021789626;-4.72565773940195;27.77;0
1;"0";1;1;"F3";0;-12.023497304571;-9.81517599271173;29.21;0
1;"0";1;1;"F4";0;-8.79322835488813;-9.7354106323453;32.91;0
1;"0";1;1;"F5";0;-6.16679969668541;-8.07517796691209;35.2;0
1;"0";1;1;"1";4;-3.25427964391876;-1.95376253073785;37.73;1.74380349452293
1;"0";1;1;"1";5;-5.40008689997032;-3.00391072022184;42.35;1.67836107931621
1;"0";1;1;"1";6;-6.68284291161395;-3.13746600687167;45.83;1.62505462453715
1;"0";1;1;"1";7;-7.10207362652549;-3.69625541950827;49.38;1.57152901424328
1;"0";1;1;"p";0;-6.7852437912466;-9.03498362531508;48.57;0.20974858104857
1;"0";1;1;"F1";0;-8.83494587853571;-12.1028691110141;49.77;0
1;"0";1;1;"F2";0;-10.7294277479473;-13.4382111819722;46.88;0
1;"0";1;1;"F3";0;-6.96011562416856;-13.3641428788019;42.08;0
1;"0";1;1;"F4";0;-2.51608211103785;-11.3058994203716;44.06;0
1;"0";1;1;"F5";0;-2.50212755318949;-9.24832675572154;47.56;0
1;"0";1;1;"1";8;-7.22447557217687;-2.13052307849313;52.21;1.55706097878931
1;"0";1;1;"p";0;-11.8115978796847;3.40620058591021;51.95;0.199884656545049
1;"0";1;1;"F1";0;-8.30530411635385;5.85373077882454;51.37;0
1;"0";1;1;"F2";0;-9.94633767051921;7.50582305049203;47.39;0
1;"0";1;1;"F3";0;-15.6460425177379;7.12194200825178;46.5;0
1;"0";1;1;"F4";0;-18.0827772499341;4.33011037921165;51.91;0
1;"0";1;1;"F5";0;-15.6977245043418;2.58296316138977;54.8;0
1;"0";1;1;"1";9;-6.67342557593055;-1.52674836749826;56.99;1.55655687063309
1;"0";1;1;"p";0;-0.539317534898836;-2.39578147443387;55.45;0.193892232256873
1;"0";1;1;"F1";0;0.686949451571187;-6.06243789110201;58.51;0
1;"0";1;1;"F2";0;6.03324937532324;-5.66109374290893;55.34;0
1;"0";1;1;"F3";0;5.61955551362617;-1.6412731761679;49.66;0
1;"0";1;1;"F4";0;2.75736836543962;2.70440107862339;51.38;0
1;"0";1;1;"F5";0;-0.167004865116638;2.71082045600086;55.36;0
1;"0";1;1;"1";10;-5.84983776559321;-1.76382033687414;60.96;1.55249146978755
1;"0";1;1;"p";0;-11.0824747911337;-6.83964635427691;64.28;0.184019815020213
1;"0";1;1;"F1";0;-13.8287739945426;-3.9739281745957;66.92;0
1;"0";1;1;"F2";0;-17.3971442278201;-7.90676860846274;66.41;0
1;"0";1;1;"F3";0;-16.0409691582388;-12.0252257444113;64;0
1;"0";1;1;"F4";0;-10.5989725375631;-13.3292091724329;62.42;0
1;"0";1;1;"F5";0;-7.29352604123727;-10.0330563452831;65.23;0
1;"0";1;1;"1";11;-3.89253555750606;-1.47061722260496;64.27;1.49818873961478
1;"0";1;1;"p";0;2.70636466707933;-3.33260965705977;65.54;0.187575188389164
1;"0";1;1;"F1";0;2.93482874998607;-7.67660599255795;66.15;0
1;"0";1;1;"F2";0;6.65799574037539;-7.562906556872;66.91;0
1;"0";1;1;"F3";0;9.7266766212045;-5.32464883005994;63.31;0
1;"0";1;1;"F4";0;8.33878502840628;-0.450814925766515;64.03;0
1;"0";1;1;"F5";0;5.36608564983234;0.284071735308575;65.67;0
1;"0";1;1;"1";12;-3.1920354755271;-1.57597202860575;68.28;1.43906363988453
1;"0";1;1;"p";0;-7.67230774511287;2.53840038895452;71.87;0.194015697642054
1;"0";1;1;"F1";0;-4.67309985926717;5.03136088954032;73.61;0
1;"0";1;1;"F2";0;-9.46636551360067;7.63320722762158;74.7;0
1;"0";1;1;"F3";0;-12.996497728324;5.7912608259659;73.18;0
1;"0";1;1;"F4";0;-14.2899695661163;3.08158730230326;70.77;0
1;"0";1;1;"F5";0;-10.7556214720339;-0.25939811368648;73.58;0
1;"0";1;1;"1";13;-4.9932714790481;-2.74218335577577;74.16;1.40109244892932
1;"0";1;1;"p";0;-3.59750930888892;-10.6978573036166;78.82;0.199101327819695
1;"0";1;1;"F1";0;-7.36890782379961;-13.0932389520662;79.08;0
1;"0";1;1;"F2";0;-2.41916749306113;-16.8805032230488;76.4;0
1;"0";1;1;"F3";0;2.28526585103944;-14.2137435955392;75.4;0
1;"0";1;1;"F4";0;2.43322819931423;-9.86797471725165;78.1;0
1;"0";1;1;"F5";0;-0.536465726490396;-7.5146965808982;80.65;0
1;"0";1;1;"1";14;-4.25982196387234;-1.60809702366148;79.01;1.37270863091378
1;"0";1;1;"p";0;-4.86606905444779;5.73019054668957;80.09;0.182161577454309
1;"0";1;1;"F1";0;-0.963434922949597;6.65843988585731;80.58;0
1;"0";1;1;"F2";0;-2.25787641393779;11.5451996739386;79.91;0
1;"0";1;1;"F3";0;-4.94252260816576;10.3445436816505;74.13;0
1;"0";1;1;"F4";0;-10.8193383889567;10.2818039123871;77.58;0
1;"0";1;1;"F5";0;-9.4835953406231;5.14286525651383;82.26;0
1;"0";1;1;"1";15;-2.51258012255415;-2.23319377453054;84.42;1.35450468811705
1;"0";1;1;"p";0;4.18829752089824;-3.74935300346392;87.01;0.216424423901962
1;"0";1;1;"F1";0;3.50071582824374;-6.66949536573435;91.46;0
1;"0";1;1;"F2";0;9.0877274304468;-9.20756576602832;89.11;0
1;"0";1;1;"F3";0;12.6480809364658;-5.99814480389541;85.41;0
1;"0";1;1;"F4";0;11.0282017237296;-0.940240955842826;85.03;0
1;"0";1;1;"F5";0;5.99029238207498;0.753503258986905;87.2;0
1;"0";1;1;"1";16;-1.59383524810273;-1.80434898247958;91.95;1.33953529536249
1;"0";1;1;"1";17;-0.936992931005806;-2.79321609714704;97.08;1.3079905481315
1;"0";1;1;"p";0;3.44801266204276;-10.4274499125952;97.31;0.218379547432164
1;"0";1;1;"F1";0;0.0998274624722386;-15.3100369184126;98.75;0
1;"0";1;1;"F2";0;3.62804098450872;-16.8969236008569;94.39;0
1;"0";1;1;"F3";0;5.8099052444861;-13.0670452279796;90.1;0
1;"0";1;1;"F4";0;9.80067184942606;-10.9965907114794;93.79;0
1;"0";1;1;"F5";0;8.00803623791078;-9.92726495927515;99.27;0
1;"0";1;1;"1";18;-1.90474224171851;-0.99556171667924;101.42;1.29663367232212
1;"0";1;1;"p";0;-5.08871241365113;5.6223483721814;104.69;0.202666727216297
1;"0";1;1;"F1";0;-1.19473676018061;8.27652500725654;102.11;0
1;"0";1;1;"F2";0;-3.4063913562246;11.5629035532852;101.94;0
1;"0";1;1;"F3";0;-9.00729193579069;11.0139839801086;100.26;0
1;"0";1;1;"F4";0;-12.1027146028219;7.68481613927673;103.01;0
1;"0";1;1;"F5";0;-9.56088082694554;4.51794369855323;106.91;0
1;"0";1;1;"1";19;-1.60706748576972;-1.47659159066923;108.68;1.28570856020787
1;"0";1;1;"p";0;5.8408713393533;-0.518099411658277;107.69;0.160212966082733
1;"0";1;1;"F1";0;8.32768977342977;-4.69525563041972;109.99;0
1;"0";1;1;"F2";0;14.0269205683243;-2.96954755935854;108.05;0
1;"0";1;1;"F3";0;13.0160606200025;-1.49460275873759;102.19;0
1;"0";1;1;"F4";0;9.76868644464703;4.6533286791718;103.72;0
1;"0";1;1;"F5";0;5.64798271358482;5.01540706959293;107.72;0
1;"0";1;1;"1";20;-3.24524173706322;-2.01136735900486;114.83;1.2719418995022
1;"0";1;1;"p";0;-9.18217126317606;3.75277766016057;115.02;0.210072159444675
1;"0";1;1;"F1";0;-6.5093857412011;8.14922139953915;114.59;0
1;"0";1;1;"F2";0;-10.9311050778715;9.5889776663131;110.78;0
1;"0";1;1;"F3";0;-14.3900938727818;7.19400448970227;109.32;0
1;"0";1;1;"F4";0;-17.0606253051797;4.01135435678247;115.23;0
1;"0";1;1;"F5";0;-12.3658941020941;0.388924380816844;117.37;0
1;"0";1;1;"1";21;-2.06034188842388;-4.39642759906054;120.83;1.26488056023536
1;"0";1;1;"p";0;3.68922087620815;-5.91255029051956;119.46;0.196884089865893
1;"0";1;1;"F1";0;4.64022190668599;-8.61032660445481;124.24;0
1;"0";1;1;"F2";0;10.5981380757829;-9.86114030841455;121.55;0
1;"0";1;1;"F3";0;9.82700516378936;-9.59327087745916;114.83;0
1;"0";1;1;"F4";0;6.86137440782552;-5.45131068700811;113.96;0
1;"0";1;1;"F5";0;5.94516093381923;-2.91993697495978;117.89;0
1;"0";1;1;"1";22;-3.20520962717215;-5.20967901207709;127.86;1.21786135993593
1;"0";1;1;"p";0;-12.8095984595466;-7.89180785994409;128.7;0.174308012922556
1;"0";1;1;"F1";0;-13.2450809189787;-1.89640503548542;129.02;0
1;"0";1;1;"F2";0;-18.0227365795609;-3.39940416685793;123.29;0
1;"0";1;1;"F3";0;-17.1884554264651;-9.85649909860465;120.68;0
1;"0";1;1;"F4";0;-16.944439435829;-14.3438765282749;125.13;0
1;"0";1;1;"F5";0;-12.6354348927218;-13.792804983481;130.8;0
1;"0";1;1;"1";23;-2.97393683295211;-4.84703194583548;132.19;1.19441189070177
1;"0";1;1;"p";0;-1.42610511273959;-2.78489301600947;141.19;0.208358831203994
1;"0";1;1;"F1";0;3.27981596881885;-5.17303178378321;144.16;0
1;"0";1;1;"F2";0;5.73564019985978;-6.20948117773941;136.98;0
1;"0";1;1;"F3";0;2.36739584824859;0.332646151183432;133.1;0
1;"0";1;1;"F4";0;-0.415463454421347;3.74119336393309;135.81;0
1;"0";1;1;"F5";0;-2.88190139365121;2.12342209087638;142.33;0
1;"0";1;1;"1";24;-3.76628217239672;-4.02350971598348;136.88;1.19024940942053
1;"0";1;1;"p";0;-13.1660303843302;-4.57995697516756;139.2;0.189142234899795
