"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.337613921171132;0.255272370388696;28.95;1.87470923785153
1;"0";1;1;"1";0;-0.694299140612847;-0.779123904851993;29.52;1.84267820802588
1;"0";1;1;"1";1;-0.270321466594536;-0.0413279087026337;30.43;1.83591246782415
1;"0";1;1;"1";2;-0.0443194678226889;-0.138400544141924;32.2;1.77728678398025
1;"0";1;1;"1";3;0.847464864897038;0.340056041052212;33.36;1.77006315717933
1;"0";1;1;"1";4;1.27509282182088;-0.228129078831401;35.48;1.76614602643043
1;"0";1;1;"1";5;2.74229155611981;0.173527334128245;37.8;1.74218280119219
1;"0";1;1;"1";6;3.82701364847518;0.330619607509788;42.28;1.71633675583527
1;"0";1;1;"1";7;5.63021537944024;1.60520327186636;46.33;1.65192512748224
1;"0";1;1;"1";8;5.27355192746791;1.33008296722276;52.23;1.59945830541889
1;"0";1;1;"1";9;4.3542440823784;0.946190943397201;58.19;1.54677577977055
1;"0";1;1;"1";10;3.30411643009545;-0.739463799992047;63.41;1.5274115605541
1;"0";1;1;"p";0;-4.77445974758158;-3.89868948700289;60.6;0.194105591064189
1;"0";1;1;"F1";0;-5.10233285524043;3.16818388283148;61.18;0
1;"0";1;1;"F2";0;-4.79745413720352;2.57484673812522;57.13;0
1;"0";1;1;"F3";0;-9.5163426460219;-8.38888397916905;53.74;0
1;"0";1;1;"F4";0;-9.31781464297373;-11.2582021267445;58.5;0
1;"0";1;1;"F5";0;-6.35975181555068;-7.30623245213691;66.94;0
1;"0";1;1;"1";11;2.51097846868998;-1.22622059160113;68.19;1.49672276117353
1;"0";1;1;"p";0;6.70487742633602;4.59446764374145;71.95;0.21151562703307
1;"0";1;1;"F1";0;11.9058847666688;4.58970888288517;75.89;0
1;"0";1;1;"F2";0;13.2994090330138;3.18807051329491;70.28;0
1;"0";1;1;"F3";0;9.964814068277;4.20663637820115;62.64;0
1;"0";1;1;"F4";0;2.50859501772814;7.51631876027837;66.12;0
1;"0";1;1;"F5";0;0.954880522897783;7.60447355909288;71.89;0
1;"0";1;1;"1";12;0.945477820239438;-3.38652328328601;75.49;1.45960614285083
1;"0";1;1;"p";0;1.38152678433979;-8.83040620826768;79.39;0.215271869222809
1;"0";1;1;"F1";0;-4.72743377450244;-8.2312393779858;81.73;0
1;"0";1;1;"F2";0;-4.90914751237429;-11.4872307965047;76.24;0
1;"0";1;1;"F3";0;2.82803349180847;-18.1202188191468;76.28;0
1;"0";1;1;"F4";0;8.32600135415723;-14.6799936252706;82.79;0
1;"0";1;1;"F5";0;8.13330303668469;-6.00659363688985;80.47;0
1;"0";1;1;"1";13;0.154050181232509;-3.93728847119818;81.25;1.41360767822576
1;"0";1;1;"p";0;3.55455977189528;1.815331325365;86.65;0.207796864728229
1;"0";1;1;"F1";0;-0.191723902084003;3.50718197896191;92.49;0
1;"0";1;1;"F2";0;2.38688513203652;-2.19503473466377;94.04;0
1;"0";1;1;"F3";0;7.49529562068439;-7.09537577172153;88.4;0
1;"0";1;1;"F4";0;6.52909838903933;-2.97642409568047;80.27;0
1;"0";1;1;"F5";0;7.05495099429195;4.7069331807677;81.39;0
1;"0";1;1;"1";14;0.725202651403696;-5.66711067472585;85.18;1.37217317866049
1;"0";1;1;"p";0;-0.765180398034184;-10.8140766126303;88.07;0.194210768526236
1;"0";1;1;"F1";0;-3.81683589539865;-8.45687515212562;92.83;0
1;"0";1;1;"F2";0;-6.16617465823584;-8.29467966072515;89.3;0
1;"0";1;1;"F3";0;-5.58151374863122;-16.6107767994544;87.48;0
1;"0";1;1;"F4";0;0.922125347052852;-18.5914025877065;91.62;0
1;"0";1;1;"F5";0;5.70623574512461;-11.2379552533564;90.64;0
1;"0";1;1;"1";15;1.25991377258032;-5.97465582082644;91.08;1.33827435145544
1;"0";1;1;"p";0;8.69131329205447;-2.15781141975906;92.68;0.222498618362862
1;"0";1;1;"F1";0;10.5108977611557;-8.27869471874506;94.72;0
1;"0";1;1;"F2";0;16.4846557806349;-6.85830212347151;89.31;0
1;"0";1;1;"F3";0;16.8979497972764;2.52338685324309;88.46;0
1;"0";1;1;"F4";0;11.2211740672826;5.30725418329909;90.66;0
1;"0";1;1;"F5";0;5.04389964579053;2.73313671869502;92.69;0
1;"0";1;1;"1";16;0.823668901255613;-7.36425663121872;94.99;1.31054959555248
1;"0";1;1;"p";0;-6.84025719859866;-8.96885525267282;98.5;0.205044468963123
1;"0";1;1;"F1";0;-9.85992536325363;-2.60507460156853;98.75;0
1;"0";1;1;"F2";0;-11.3639256894718;-4.96214545725693;92.37;0
1;"0";1;1;"F3";0;-14.3790130553728;-13.3869272452906;94.5;0
1;"0";1;1;"F4";0;-13.2470631010066;-15.114263142217;99.56;0
1;"0";1;1;"F5";0;-8.91214770418388;-10.6536904769205;106.01;0
1;"0";1;1;"1";17;2.37174961773471;-6.4230095354646;98.72;1.26788950781894
1;"0";1;1;"p";0;10.170670386313;-4.90073004554204;101.7;0.218876724213706
1;"0";1;1;"F1";0;12.119665262433;-12.9413406549956;104.29;0
1;"0";1;1;"F2";0;16.321848640732;-12.1666440336349;97.08;0
1;"0";1;1;"F3";0;17.8359841188725;-0.833917364653722;96;0
1;"0";1;1;"F4";0;16.1763444543862;2.63377584323878;101.48;0
1;"0";1;1;"F5";0;8.63888317873251;2.02617604236567;103.66;0
1;"0";1;1;"1";18;3.60108891552615;-6.06520387465745;105.08;1.25745426295045
1;"0";1;1;"p";0;2.78853174094148;-13.1922334689577;110.58;0.175249231561401
1;"0";1;1;"F1";0;-3.90900122004338;-12.0823000310789;112.28;0
1;"0";1;1;"F2";0;-6.45681248757528;-16.3029584803066;107.78;0
1;"0";1;1;"F3";0;0.832539380594319;-24.1258830831653;106.99;0
1;"0";1;1;"F4";0;6.11853228052229;-22.8675989094148;107.21;0
1;"0";1;1;"F5";0;8.23467133441607;-12.1390176656256;107.94;0
1;"0";1;1;"1";19;5.26229633418008;-5.38183727303781;110.45;1.22784244382435
1;"0";1;1;"p";0;13.5414988294052;-5.40433267385147;113.15;0.218379547432164
1;"0";1;1;"F1";0;11.8442717847422;-12.9252648207907;115.21;0
1;"0";1;1;"F2";0;21.377211385848;-11.4566387411951;111.21;0
1;"0";1;1;"F3";0;19.8402061411944;-7.37481134676656;106.44;0
1;"0";1;1;"F4";0;18.4093655083599;1.67951331515217;112.83;0
1;"0";1;1;"F5";0;16.5654169620535;-1.34436726426471;118.1;0
1;"0";1;1;"1";20;4.93107984754695;-4.67984322820381;116.48;1.21718146911936
1;"0";1;1;"1";21;5.75133156175144;-4.79853242461444;124.06;1.19542003236578
1;"0";1;1;"p";0;13.4579504191614;-7.07197162252883;127.47;0.201491299667304
1;"0";1;1;"F1";0;11.6401159850501;-13.4119067933456;129.04;0
1;"0";1;1;"F2";0;20.2780802467475;-13.4716848297647;124.62;0
1;"0";1;1;"F3";0;22.5520500049943;-10.228528722116;123.02;0
1;"0";1;1;"F4";0;19.3806441905545;0.235346523706568;126.34;0
1;"0";1;1;"F5";0;16.427662813681;-1.04183826630555;130.94;0
1;"0";1;1;"1";22;3.99663050644829;-4.90634803813128;131.85;1.14871885453711
1;"0";1;1;"p";0;-3.7087808397187;-1.85954053086061;133.64;0.198857864512324
1;"0";1;1;"F1";0;0.45146399775804;1.53712885137961;137.76;0
1;"0";1;1;"F2";0;-2.76118546147132;6.70372187310228;133.31;0
1;"0";1;1;"F3";0;-6.15920874553273;0.390304592344062;125.16;0
1;"0";1;1;"F4";0;-8.22926812795783;-6.33288320461906;131.88;0
1;"0";1;1;"F5";0;-5.71164081915205;-7.53107047460455;137.52;0
1;"0";1;1;"1";23;6.66838273834804;-5.03180724002063;136.07;1.1346002523582
1;"0";1;1;"p";0;12.0774753160329;-9.90067954128653;139.75;0.19887742520942
1;"0";1;1;"F1";0;15.7177527321861;-15.6354576828928;145.68;0
1;"0";1;1;"F2";0;14.2572646826652;-20.8488035046474;137.94;0
1;"0";1;1;"F3";0;22.5799615094654;-10.5714878274305;136.2;0
1;"0";1;1;"F4";0;21.5961364752099;-5.73435145329633;140.42;0
1;"0";1;1;"F5";0;15.0366526031141;-3.82708342501216;144.85;0
1;"0";1;1;"1";24;3.42094293182191;-5.17013548366421;144.87;1.10909884580043
1;"0";1;1;"p";0;-1.56973446608048;-0.641599394587941;148.28;0.186180923206063
1;"0";1;1;"F1";0;1.69774218383468;4.710642784374;153.36;0
1;"0";1;1;"F2";0;1.75093631794475;8.80059026375516;147.9;0
1;"0";1;1;"F3";0;-4.03307494858747;6.0088858258484;141.71;0
1;"0";1;1;"F4";0;-10.7442132229379;1.13799031654536;145.2;0
1;"0";1;1;"F5";0;-8.48735649273139;-4.50876961276999;151.03;0
1;"0";1;1;"1";25;2.01219009959026;-6.64821378256428;155.53;1.06914760410616
1;"0";1;1;"p";0;4.68233104238366;-12.44328473516;157.84;0.190436998897828
1;"0";1;1;"F1";0;-0.622016127711501;-15.3534051964302;162.28;0
1;"0";1;1;"F2";0;2.2466963530688;-22.4992423554071;159.47;0
1;"0";1;1;"F3";0;9.96845072478053;-20.5447067525207;152.31;0
1;"0";1;1;"F4";0;13.7797146864901;-15.898152436237;154.04;0
1;"0";1;1;"F5";0;12.5543581653521;-10.5581616688195;160.09;0
2;"0";1;1;"0";0;0.337613921171134;-20.2552723703887;28.95;1.87470923785153
2;"0";1;1;"1";0;0.694299140612849;-19.220876095148;29.52;1.84267820802588
2;"0";1;1;"1";1;0.270321466594538;-19.9586720912974;30.43;1.83591246782415
2;"0";1;1;"1";2;0.0443194678226913;-19.8615994558581;32.2;1.77728678398025
2;"0";1;1;"1";3;-0.847464864897036;-20.3400560410522;33.36;1.77006315717933
2;"0";1;1;"1";4;-1.27509282182088;-19.7718709211686;35.48;1.76614602643043
2;"0";1;1;"1";5;-2.74229155611981;-20.1735273341282;37.8;1.74218280119219
2;"0";1;1;"1";6;-3.82701364847518;-20.3306196075098;42.28;1.71633675583527
2;"0";1;1;"1";7;-5.63021537944024;-21.6052032718664;46.33;1.65192512748224
2;"0";1;1;"1";8;-5.27355192746791;-21.3300829672228;52.23;1.59945830541889
2;"0";1;1;"1";9;-4.3542440823784;-20.9461909433972;58.19;1.54677577977055
2;"0";1;1;"1";10;-3.30411643009545;-19.260536200008;63.41;1.5274115605541
2;"0";1;1;"p";0;4.77445974758158;-16.1013105129971;60.6;0.194105591064189
2;"0";1;1;"F1";0;5.10233285524043;-23.1681838828315;61.18;0
2;"0";1;1;"F2";0;4.79745413720352;-22.5748467381252;57.13;0
2;"0";1;1;"F3";0;9.5163426460219;-11.6111160208309;53.74;0
2;"0";1;1;"F4";0;9.31781464297373;-8.7417978732555;58.5;0
2;"0";1;1;"F5";0;6.35975181555068;-12.6937675478631;66.94;0
2;"0";1;1;"1";11;-2.51097846868998;-18.7737794083989;68.19;1.49672276117353
2;"0";1;1;"p";0;-6.70487742633602;-24.5944676437414;71.95;0.21151562703307
2;"0";1;1;"F1";0;-11.9058847666688;-24.5897088828852;75.89;0
2;"0";1;1;"F2";0;-13.2994090330138;-23.1880705132949;70.28;0
2;"0";1;1;"F3";0;-9.964814068277;-24.2066363782011;62.64;0
2;"0";1;1;"F4";0;-2.50859501772814;-27.5163187602784;66.12;0
2;"0";1;1;"F5";0;-0.95488052289778;-27.6044735590929;71.89;0
2;"0";1;1;"1";12;-0.945477820239436;-16.613476716714;75.49;1.45960614285083
2;"0";1;1;"p";0;-1.38152678433979;-11.1695937917323;79.39;0.215271869222809
2;"0";1;1;"F1";0;4.72743377450244;-11.7687606220142;81.73;0
2;"0";1;1;"F2";0;4.90914751237429;-8.5127692034953;76.24;0
2;"0";1;1;"F3";0;-2.82803349180847;-1.8797811808532;76.28;0
2;"0";1;1;"F4";0;-8.32600135415723;-5.3200063747294;82.79;0
2;"0";1;1;"F5";0;-8.13330303668469;-13.9934063631102;80.47;0
2;"0";1;1;"1";13;-0.154050181232507;-16.0627115288018;81.25;1.41360767822576
2;"0";1;1;"p";0;-3.55455977189528;-21.815331325365;86.65;0.207796864728229
2;"0";1;1;"F1";0;0.191723902084006;-23.5071819789619;92.49;0
2;"0";1;1;"F2";0;-2.38688513203652;-17.8049652653362;94.04;0
2;"0";1;1;"F3";0;-7.49529562068439;-12.9046242282785;88.4;0
2;"0";1;1;"F4";0;-6.52909838903933;-17.0235759043195;80.27;0
2;"0";1;1;"F5";0;-7.05495099429195;-24.7069331807677;81.39;0
2;"0";1;1;"1";14;-0.725202651403694;-14.3328893252741;85.18;1.37217317866049
2;"0";1;1;"p";0;0.765180398034185;-9.1859233873697;88.07;0.194210768526236
2;"0";1;1;"F1";0;3.81683589539865;-11.5431248478744;92.83;0
2;"0";1;1;"F2";0;6.16617465823584;-11.7053203392749;89.3;0
2;"0";1;1;"F3";0;5.58151374863122;-3.3892232005456;87.48;0
2;"0";1;1;"F4";0;-0.922125347052852;-1.4085974122935;91.62;0
2;"0";1;1;"F5";0;-5.70623574512461;-8.7620447466436;90.64;0
2;"0";1;1;"1";15;-1.25991377258032;-14.0253441791736;91.08;1.33827435145544
2;"0";1;1;"p";0;-8.69131329205447;-17.8421885802409;92.68;0.222498618362862
2;"0";1;1;"F1";0;-10.5108977611557;-11.7213052812549;94.72;0
2;"0";1;1;"F2";0;-16.4846557806349;-13.1416978765285;89.31;0
2;"0";1;1;"F3";0;-16.8979497972764;-22.5233868532431;88.46;0
2;"0";1;1;"F4";0;-11.2211740672826;-25.3072541832991;90.66;0
2;"0";1;1;"F5";0;-5.04389964579053;-22.733136718695;92.69;0
2;"0";1;1;"1";16;-0.823668901255611;-12.6357433687813;94.99;1.31054959555248
2;"0";1;1;"p";0;6.84025719859866;-11.0311447473272;98.5;0.205044468963123
2;"0";1;1;"F1";0;9.85992536325363;-17.3949253984315;98.75;0
2;"0";1;1;"F2";0;11.3639256894718;-15.0378545427431;92.37;0
2;"0";1;1;"F3";0;14.3790130553728;-6.6130727547094;94.5;0
2;"0";1;1;"F4";0;13.2470631010066;-4.885736857783;99.56;0
2;"0";1;1;"F5";0;8.91214770418388;-9.3463095230795;106.01;0
2;"0";1;1;"1";17;-2.37174961773471;-13.5769904645354;98.72;1.26788950781894
2;"0";1;1;"p";0;-10.170670386313;-15.099269954458;101.7;0.218876724213706
2;"0";1;1;"F1";0;-12.119665262433;-7.0586593450044;104.29;0
2;"0";1;1;"F2";0;-16.321848640732;-7.8333559663651;97.08;0
2;"0";1;1;"F3";0;-17.8359841188725;-19.1660826353463;96;0
2;"0";1;1;"F4";0;-16.1763444543862;-22.6337758432388;101.48;0
2;"0";1;1;"F5";0;-8.63888317873251;-22.0261760423657;103.66;0
2;"0";1;1;"1";18;-3.60108891552615;-13.9347961253426;105.08;1.25745426295045
2;"0";1;1;"p";0;-2.78853174094148;-6.8077665310423;110.58;0.175249231561401
2;"0";1;1;"F1";0;3.90900122004338;-7.9176999689211;112.28;0
2;"0";1;1;"F2";0;6.45681248757528;-3.6970415196934;107.78;0
2;"0";1;1;"F3";0;-0.83253938059432;4.1258830831653;106.99;0
2;"0";1;1;"F4";0;-6.11853228052229;2.8675989094148;107.21;0
2;"0";1;1;"F5";0;-8.23467133441607;-7.8609823343744;107.94;0
2;"0";1;1;"1";19;-5.26229633418008;-14.6181627269622;110.45;1.22784244382435
2;"0";1;1;"p";0;-13.5414988294052;-14.5956673261485;113.15;0.218379547432164
2;"0";1;1;"F1";0;-11.8442717847422;-7.0747351792093;115.21;0
2;"0";1;1;"F2";0;-21.377211385848;-8.5433612588049;111.21;0
2;"0";1;1;"F3";0;-19.8402061411944;-12.6251886532334;106.44;0
2;"0";1;1;"F4";0;-18.4093655083599;-21.6795133151522;112.83;0
2;"0";1;1;"F5";0;-16.5654169620535;-18.6556327357353;118.1;0
2;"0";1;1;"1";20;-4.93107984754695;-15.3201567717962;116.48;1.21718146911936
2;"0";1;1;"1";21;-5.75133156175144;-15.2014675753856;124.06;1.19542003236578
2;"0";1;1;"p";0;-13.4579504191614;-12.9280283774712;127.47;0.201491299667304
2;"0";1;1;"F1";0;-11.6401159850501;-6.5880932066544;129.04;0
2;"0";1;1;"F2";0;-20.2780802467475;-6.5283151702353;124.62;0
2;"0";1;1;"F3";0;-22.5520500049943;-9.771471277884;123.02;0
2;"0";1;1;"F4";0;-19.3806441905545;-20.2353465237066;126.34;0
