"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.0660887809620908;0.53358034296093;29.75;1.87470923785153
1;"0";1;1;"1";0;-0.115606978534654;0.418480611818044;29.97;1.84267820802588
1;"0";1;1;"1";1;-0.0967642383897763;0.102814726515506;30.38;1.83591246782415
1;"0";1;1;"1";2;-0.176201784366197;-0.200977433174706;30.71;1.77728678398025
1;"0";1;1;"1";3;-0.466996052483511;-0.721399083022329;31.89;1.77006315717933
1;"0";1;1;"1";4;-0.316561184781399;-0.832166183640906;34.51;1.76614602643043
1;"0";1;1;"1";5;-1.54718007065504;-0.170670032683755;40.68;1.74218280119219
1;"0";1;1;"1";6;-0.393526380067578;1.24265341302636;47.4;1.71633675583527
1;"0";1;1;"p";0;1.89422316026812;3.4947417862244;45.5;0.169200999161926
1;"0";1;1;"F1";0;5.24276291125417;2.02893772835502;45.43;0
1;"0";1;1;"F2";0;4.15340255495843;3.7417406983814;41.4;0
1;"0";1;1;"F3";0;1.57710606039777;4.46609998224162;40.6;0
1;"0";1;1;"F4";0;-0.435136443644183;5.37872263423255;42.24;0
1;"0";1;1;"F5";0;-1.07110688020164;3.06240193022266;45.18;0
1;"0";1;1;"1";7;-0.51927365905284;1.32194793886392;51.59;1.65980451935612
1;"0";1;1;"p";0;-5.25969772189659;-0.833250359300782;48.44;0.20974858104857
1;"0";1;1;"F1";0;-6.53292781231889;2.7180008479279;47.46;0
1;"0";1;1;"F2";0;-5.90862605972624;1.69528518768321;44.24;0
1;"0";1;1;"F3";0;-6.4801181154948;-2.8581637063084;42.91;0
1;"0";1;1;"F4";0;-5.32881375060906;-5.76790566383574;46.23;0
1;"0";1;1;"F5";0;-5.3988099313627;-4.10703223859229;50.67;0
1;"0";1;1;"1";8;0.295007703336938;1.87171685655993;53.89;1.64452378930592
1;"0";1;1;"p";0;-0.70032399873159;7.36944500579188;50.28;0.199884656545049
1;"0";1;1;"F1";0;1.73009427742033;10.3307904775237;51.55;0
1;"0";1;1;"F2";0;1.73232159616234;11.7051612568447;46.9;0
1;"0";1;1;"F3";0;-2.98276078075008;8.9343674754654;44.63;0
1;"0";1;1;"F4";0;-4.75654660869511;6.04326321643541;46.98;0
1;"0";1;1;"F5";0;-3.30326935562373;4.98449731893716;50.86;0
1;"0";1;1;"1";9;0.423718414937699;1.28636777035646;57.22;1.64399136452193
1;"0";1;1;"p";0;0.360427239646834;-5.48659275124192;54.5;0.193892232256873
1;"0";1;1;"F1";0;-3.02916947148189;-6.18818674772801;52.6;0
1;"0";1;1;"F2";0;-0.672097842757383;-7.13534741892483;49.67;0
1;"0";1;1;"F3";0;0.685514495021808;-5.62558295374832;49.06;0
1;"0";1;1;"F4";0;5.55732666180407;-4.91787806356288;51.79;0
1;"0";1;1;"F5";0;4.26764620132571;-7.16234332501389;54.11;0
1;"0";1;1;"1";10;1.256740505663;0.694274706418318;61.96;1.63969760307352
1;"0";1;1;"p";0;7.6256873029856;-0.295986215194826;61.49;0.184019815020213
1;"0";1;1;"F1";0;7.13972267371366;-3.25720866193816;63.46;0
1;"0";1;1;"F2";0;9.40638216001213;-4.18632371034345;58.76;0
1;"0";1;1;"F3";0;9.18133244075435;-2.57081988061664;56.2;0
1;"0";1;1;"F4";0;10.2440008903315;3.04151793586174;58.82;0
1;"0";1;1;"F5";0;8.9365808424897;3.18522882097953;61.59;0
1;"0";1;1;"1";11;0.213873910844477;1.55388465599524;66.74;1.58234459454663
1;"0";1;1;"p";0;-4.89612786887852;-2.00965036014082;64.57;0.187575188389164
1;"0";1;1;"F1";0;-9.04447988096328;-0.561176824368632;65.16;0
1;"0";1;1;"F2";0;-8.66654293846351;-2.03133452594147;60.79;0
1;"0";1;1;"F3";0;-5.35867209553306;-4.4822507804248;58.97;0
1;"0";1;1;"F4";0;-5.1592700976347;-7.96074741593189;61.81;0
1;"0";1;1;"F5";0;-2.75378444214785;-5.97217034645557;66.43;0
1;"0";1;1;"1";12;1.85835695148294;2.19565995082396;71.35;1.51989833561649
1;"0";1;1;"p";0;5.1529648757419;-2.78213661245683;73.22;0.194015697642054
1;"0";1;1;"F1";0;1.14532032585873;-3.7651855236468;74.93;0
1;"0";1;1;"F2";0;2.15052245356665;-6.76411344583022;70.66;0
1;"0";1;1;"F3";0;5.11288906142092;-5.82571902946257;68.7;0
1;"0";1;1;"F4";0;9.0141401495393;-5.84120926687606;70.4;0
1;"0";1;1;"F5";0;8.75579858399594;-2.31997941986059;73.48;0
1;"0";1;1;"1";13;0.894743874172459;3.82916839501281;77.2;1.47979423713561
1;"0";1;1;"p";0;-2.41927785275804;3.51730304997981;81.16;0.199101327819695
1;"0";1;1;"F1";0;-6.41848217839048;3.25260555878886;80.12;0
1;"0";1;1;"F2";0;-4.47713396623606;-1.31241000735819;79.28;0
1;"0";1;1;"F3";0;1.02864635515952;-0.781012743032159;81.51;0
1;"0";1;1;"F4";0;0.225359584369699;0.469879084375023;83.23;0
1;"0";1;1;"F5";0;-1.92094841594852;3.69213946612104;83.62;0
1;"0";1;1;"1";14;1.52623866006675;6.16739728359243;82.09;1.44981605092856
1;"0";1;1;"p";0;3.51694001844692;9.20323458189143;79.02;0.182161577454309
1;"0";1;1;"F1";0;6.94604148136995;7.34308320176693;80.51;0
1;"0";1;1;"F2";0;9.94967009101444;7.20811959435675;77.66;0
1;"0";1;1;"F3";0;7.66204255763845;7.90472584507526;73.76;0
1;"0";1;1;"F4";0;3.77419740833041;10.6251412719911;75.09;0
1;"0";1;1;"F5";0;2.44204876344226;11.4484759475166;78.75;0
1;"0";1;1;"1";15;-0.692230818238459;6.25735935242272;86.21;1.43058956115314
1;"0";1;1;"1";16;-1.65247139766718;5.79644935077557;92.2;1.4188152288593
1;"0";1;1;"p";0;3.1585009313353;4.88045521893169;93.55;0.175249231561401
1;"0";1;1;"F1";0;0.565345001452346;1.39746191958228;93.85;0
1;"0";1;1;"F2";0;4.00014829280849;-0.356541030725666;90.77;0
1;"0";1;1;"F3";0;7.55311574170357;3.05322762815605;89.26;0
1;"0";1;1;"F4";0;7.95739449307793;7.10693687909982;93.18;0
1;"0";1;1;"F5";0;4.99790930118015;6.95879033361957;96.6;0
1;"0";1;1;"1";17;-2.20555079173627;5.28634820016309;95.82;1.38540351666567
1;"0";1;1;"p";0;-6.99373580215668;4.50443752368824;91.04;0.218379547432164
1;"0";1;1;"F1";0;-6.61796619294786;8.02740462554927;92.27;0
1;"0";1;1;"F2";0;-8.27007234533334;8.38369841057789;87.44;0
1;"0";1;1;"F3";0;-8.29146843479866;2.72390669997974;85.32;0
1;"0";1;1;"F4";0;-8.03778654838683;-0.305308627544299;87.36;0
1;"0";1;1;"F5";0;-7.96734131206625;0.690451116912041;93.05;0
1;"0";1;1;"1";18;-2.61119975904825;5.8196857249246;98.59;1.37337448808659
1;"0";1;1;"p";0;2.7062361955864;3.31829114022613;99.68;0.202666727216297
1;"0";1;1;"F1";0;0.221538030921005;-0.092335639488767;97.86;0
1;"0";1;1;"F2";0;2.80968723791484;2.0522351059839;95.73;0
1;"0";1;1;"F3";0;6.17245105824372;0.114628466676766;94.48;0
1;"0";1;1;"F4";0;7.48726816300588;4.98425432304652;96.53;0
1;"0";1;1;"F5";0;6.12143961974503;6.53102915811915;100.23;0
1;"0";1;1;"1";19;-4.15599230732709;4.82398698394812;102.7;1.3618027769877
1;"0";1;1;"1";20;-5.77687091687978;4.20072738065704;108.53;1.30860156575334
1;"0";1;1;"p";0;-0.56033163722433;4.04769815530498;109.82;0.198857864512324
1;"0";1;1;"F1";0;-1.39198351201203;0.0527444435378285;108.97;0
1;"0";1;1;"F2";0;2.24095357311425;0.233487729759686;105.63;0
1;"0";1;1;"F3";0;5.35502121674127;5.4341687150649;104.97;0
1;"0";1;1;"F4";0;3.46194502923912;7.86372887038362;109.13;0
1;"0";1;1;"F5";0;-0.146590507448024;7.29542324797083;112.16;0
1;"0";1;1;"1";21;-8.59634375211995;2.85333251227483;111.62;1.2925178871016
1;"0";1;1;"p";0;-12.9014035228666;-1.29890307476728;110.04;0.19887742520942
1;"0";1;1;"F1";0;-14.603989023496;1.94097386935367;108.95;0
1;"0";1;1;"F2";0;-14.6080556088929;0.374518168453322;104.8;0
1;"0";1;1;"F3";0;-13.0725193793397;-5.9577032812221;103.8;0
1;"0";1;1;"F4";0;-13.7769937737535;-8.2515027117773;109.83;0
1;"0";1;1;"F5";0;-11.7303572886733;-4.10419284899411;113.87;0
1;"0";1;1;"1";22;-9.11474210684429;2.86610536704985;115.52;1.26346710551252
1;"0";1;1;"p";0;-10.4912802194562;7.86145748922572;114.34;0.186180923206063
1;"0";1;1;"F1";0;-7.47581889252887;8.47292538356349;117.26;0
1;"0";1;1;"F2";0;-5.68973027855492;11.9964445708296;112.38;0
1;"0";1;1;"F3";0;-9.26801941823097;11.3247699227474;107.51;0
1;"0";1;1;"F4";0;-12.7477622266584;8.87481278287783;108.75;0
1;"0";1;1;"F5";0;-13.3637657571104;5.54468671162006;112.92;0
1;"0";1;1;"1";23;-10.2013430541433;2.42046158404711;121.19;1.21795531015161
1;"0";1;1;"p";0;-10.6041095874699;-1.14910129110049;122.65;0.190436998897828
1;"0";1;1;"F1";0;-14.3229011477001;-2.63000957035386;124.55;0
1;"0";1;1;"F2";0;-14.7832380507629;-5.85073773890186;121.6;0
1;"0";1;1;"F3";0;-9.56633071417076;-6.94397963409734;117.89;0
1;"0";1;1;"F4";0;-6.37642204121813;-3.11997876351407;118.57;0
1;"0";1;1;"F5";0;-6.61191528469956;0.177693587140951;123.27;0
1;"0";1;1;"1";24;-11.2453338149223;3.97821101556936;125.05;1.20148880167236
1;"0";1;1;"p";0;-10.6186627414776;9.40105928614707;124.36;0.19528586887121
1;"0";1;1;"F1";0;-7.29468857224871;10.9154224269753;126.92;0
1;"0";1;1;"F2";0;-6.5066280298026;13.7831672868677;121.87;0
1;"0";1;1;"F3";0;-7.92203577411587;13.7404950788392;118.94;0
1;"0";1;1;"F4";0;-13.281651836825;9.87948282033098;119.61;0
1;"0";1;1;"F5";0;-14.7057858456667;8.76236943089355;124.5;0
1;"0";1;1;"1";25;-11.054250034315;2.7300575839798;127.63;1.16753969618564
1;"0";1;1;"p";0;-17.1124556525652;1.10443626060777;127.12;0.19794424545314
1;"0";1;1;"F1";0;-18.7047851296516;5.2569158615693;127.93;0
1;"0";1;1;"F2";0;-19.2025424859057;5.79425896824787;123.54;0
1;"0";1;1;"F3";0;-19.7862553110441;-0.687907285233205;120.47;0
1;"0";1;1;"F4";0;-19.8560254369711;-5.03843968133464;124.96;0
1;"0";1;1;"F5";0;-17.3495210995454;-2.44953334728819;129.75;0
1;"0";1;1;"1";26;-10.5682643918639;2.92063028751154;131.18;1.15123479263341
1;"0";1;1;"p";0;-12.2967846721593;8.83457293523883;132.63;0.187010567064075
1;"0";1;1;"F1";0;-9.03005382405931;10.4057093284499;136.18;0
1;"0";1;1;"F2";0;-8.0340290525044;13.4620035967508;132.34;0
1;"0";1;1;"F3";0;-12.5554942946394;13.2960154520977;126.7;0
1;"0";1;1;"F4";0;-16.0521585598977;10.0575066878568;128.98;0
1;"0";1;1;"F5";0;-16.8378077551334;8.09402627236356;132.53;0
1;"0";1;1;"1";27;-9.27635559461474;1.64631805748696;135.9;1.14047354116862
1;"0";1;1;"p";0;-13.1905625479477;-3.27963199569869;137.31;0.172458808863428
1;"0";1;1;"F1";0;-17.4606152487712;-2.30790676077354;139.62;0
