Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;0;0;0;0;-3;70;19.38;4.977997909
1;0;1;1;0;0;-3.091187602;70.17026398;26.57;1.874709238
1;0;1;1;1;0;-3.551943941;70.54576844;27.12;1.842678208
1;0;1;1;1;1;-3.772737609;70.66472286;28.07;1.835912468
1;0;1;1;1;2;-4.02808042;71.32902705;29.13;1.777286784
1;0;1;1;1;3;-4.565042431;71.36468934;29.98;1.770063157
1;0;1;1;1;4;-4.323778477;71.83436125;31;1.766146026
1;0;1;1;1;5;-4.955832962;71.13364225;32.08;1.742182801
1;0;1;1;1;6;-4.27537518;71.64342377;33.15;1.716336756
1;0;1;1;1;7;-4.717302213;71.46121374;35.2;1.651925127
1;0;1;1;1;8;-3.914440839;72.04182859;36.03;1.599458305
1;0;1;1;1;9;-2.974945453;72.33550941;38.85;1.54677578
1;0;1;1;1;10;-1.010363104;72.50672913;41.68;1.527411561
1;0;1;1;1;11;-1.281880439;70.83004242;43.67;1.489782477
1;0;1;1;p;0;-5.105417036;70.41801343;43.13;0.214766494
1;0;1;1;F1;0;-5.566774342;72.99408591;44.53;0
1;0;1;1;F2;0;-8.253450076;73.51444492;42.55;0
1;0;1;1;F3;0;-7.735113595;70.46155657;39.65;0
1;0;1;1;F4;0;-7.590076194;67.02598323;41.31;0
1;0;1;1;F5;0;-6.397291812;67.35349722;43.58;0
1;0;1;1;1;12;-0.16713084;70.02746324;46.44;1.472954997
1;0;1;1;p;0;-1.987611167;73.50652222;47.02;0.248093068
1;0;1;1;F1;0;0.04658165;75.86992223;46.51;0
1;0;1;1;F2;0;-0.673891683;75.62128961;43.27;0
1;0;1;1;F3;0;-4.112537919;74.9140329;42.71;0
1;0;1;1;F4;0;-5.187726654;73.126837;44.03;0
1;0;1;1;F5;0;-4.044234018;71.07458833;47.68;0
1;0;1;1;1;13;-0.578376013;65.98893908;52.32;1.45984247
1;0;1;1;p;0;-4.32159931;64.52047752;49.81;0.230235623
1;0;1;1;F1;0;-4.909431266;67.28969286;52.22;0
1;0;1;1;F2;0;-4.784425106;68.81297007;47.97;0
1;0;1;1;F3;0;-4.290666538;66.56773011;44.52;0
1;0;1;1;F4;0;-3.669550154;61.39464453;45.61;0
1;0;1;1;F5;0;-5.077097399;60.40201632;50.21;0
1;0;1;1;1;14;-0.143650435;64.91865236;55.21;1.439502412
1;0;1;1;1;15;0.585717545;63.21497329;58.1;1.389151791
1;0;1;1;p;0;4.591411967;67.53622452;60.86;0.187575188
1;0;1;1;F1;0;7.305890077;67.54664516;62.22;0
1;0;1;1;F2;0;9.169197583;66.9893435;58.93;0
1;0;1;1;F3;0;8.560048745;70.77233672;56.11;0
1;0;1;1;F4;0;4.845082512;72.16328096;57.96;0
1;0;1;1;F5;0;1.205318509;69.41485996;60.79;0
1;0;1;1;1;16;-0.35999678;64.06145094;61.97;1.334329767
1;0;1;1;p;0;-4.756021763;67.14318168;60.83;0.194015698
1;0;1;1;F1;0;-2.659853692;70.20419123;61.43;0
1;0;1;1;F2;0;-3.392728333;71.103577;58.03;0
1;0;1;1;F3;0;-6.687617526;68.32107718;56.56;0
1;0;1;1;F4;0;-7.756587322;65.39372282;57.98;0
1;0;1;1;F5;0;-6.833397097;64.65675619;61.88;0
1;0;1;1;1;17;-0.298700918;63.9188227;65.05;1.299122088
1;0;1;1;p;0;6.146348269;60.64215656;64.83;0.199101328
1;0;1;1;F1;0;3.733201831;57.96796056;67.27;0
1;0;1;1;F2;0;4.891604278;56.3981823;62.55;0
1;0;1;1;F3;0;9.195651538;57.31539393;60.86;0
1;0;1;1;F4;0;10.84209015;61.1422647;62.44;0
1;0;1;1;F5;0;8.359511019;64.44405222;65.27;0
1;0;1;1;1;18;0.193024762;64.45827228;69.16;1.272804021
1;0;1;1;1;19;0.87050371;64.22778958;72.28;1.231372601
1;0;1;1;p;0;3.493657279;61.68543529;69.3;0.218876724
1;0;1;1;F1;0;1.112969599;60.29632544;67.96;0
1;0;1;1;F2;0;2.223611569;60.890021;65.9;0
1;0;1;1;F3;0;4.065962815;63.85316829;65.62;0
1;0;1;1;F4;0;6.081551029;65.28589442;69.51;0
1;0;1;1;F5;0;3.35116495;65.61919887;71.09;0
1;0;1;1;1;20;0.835614873;64.35302045;72.37;1.221237905
1;0;1;1;1;21;-0.256422494;64.68999877;76.23;1.177661383
1;0;1;1;1;22;-1.006203262;66.75930513;83.2;1.164646385
1;0;1;1;p;0;-2.10028916;73.09982372;80.9;0.195514642
1;0;1;1;F1;0;2.204871252;75.09934712;81.99;0
1;0;1;1;F2;0;1.917148106;77.51937096;77.5;0
1;0;1;1;F3;0;-3.816782366;75.36295232;73.38;0
1;0;1;1;F4;0;-6.371987372;76.86459388;76.91;0
1;0;1;1;F5;0;-8.060510996;77.21586012;79.37;0
1;0;1;1;1;23;-0.653583526;64.82290142;87.03;1.148204382
1;0;1;1;1;24;-0.059057017;65.32870595;91.07;1.13823488
1;0;1;1;p;0;-2.435929628;71.60170975;91.84;0.202666727
1;0;1;1;F1;0;3.481642803;72.73207983;91.59;0
1;0;1;1;F2;0;2.849854873;74.71607681;86.81;0
1;0;1;1;F3;0;-1.762479885;75.80830759;84.55;0
1;0;1;1;F4;0;-7.529846348;75.27955048;87.9;0
1;0;1;1;F5;0;-6.914551711;72.62099589;93.46;0
1;0;1;1;1;25;0.093521534;63.56574827;96.6;1.128644396
1;0;1;1;1;26;1.155572075;64.70647114;103.18;1.084551926
1;0;1;1;p;0;2.160157466;70.43308516;104.06;0.198857865
1;0;1;1;F1;0;6.639458939;70.25403681;106.42;0
1;0;1;1;F2;0;7.336692212;70.90424121;102.31;0
1;0;1;1;F3;0;3.321862798;73.24254075;97.03;0
1;0;1;1;F4;0;-1.83736863;72.97583665;99.68;0
1;0;1;1;F5;0;-2.338370504;69.79547548;105.45;0
1;0;1;1;1;27;-0.869213911;63.67363925;106.9;1.071221983
1;0;1;1;p;0;-6.562883204;61.8542355;108.57;0.198877425
1;0;1;1;F1;0;-4.467316101;67.11581307;110.33;0
1;0;1;1;F2;0;-9.500109447;67.78826465;106.93;0
