"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;0.0713133585636436;0.530544238861662;23.91;1.87470923785153
1;"0";1;1;"1";0;0.797866920891928;0.623387768889798;24.13;1.84267820802588
1;"0";1;1;"1";1;1.12161308168847;0.591948567731125;24.92;1.83591246782415
1;"0";1;1;"1";2;1.06789642975811;0.185113808516291;26.18;1.77728678398025
1;"0";1;1;"1";3;1.92338700615213;0.215705861422879;26.88;1.77006315717933
1;"0";1;1;"1";4;2.23653108708674;-0.290693965369753;28.35;1.76614602643043
1;"0";1;1;"1";5;2.53245870226817;-0.681752588306318;30.52;1.74218280119219
1;"0";1;1;"p";0;8.66335215361622;-0.829554781177485;28.59;0.206590155436307
1;"0";1;1;"F1";0;10.4471252951812;-5.79820181829244;27.21;0
1;"0";1;1;"F2";0;12.1482721889345;-2.54621792444033;23.08;0
1;"0";1;1;"F3";0;9.66650994698952;-0.522025202771744;22.04;0
1;"0";1;1;"F4";0;11.8791513965269;4.70502155575158;28.48;0
1;"0";1;1;"F5";0;11.2649174834735;1.01358325881974;31.59;0
1;"0";1;1;"1";6;2.49595851609101;-1.20392855137723;32.66;1.6868493036194
1;"0";1;1;"1";7;2.57982085507595;-0.26719640817941;36.78;1.63128831687674
1;"0";1;1;"p";0;7.87771548411847;3.00493019382769;33.35;0.20974858104857
1;"0";1;1;"F1";0;10.8640920894481;6.8354333946017;33.46;0
1;"0";1;1;"F2";0;12.2112062397189;6.44175399948399;31.31;0
1;"0";1;1;"F3";0;11.9122452304773;8.63050302917041;28.11;0
1;"0";1;1;"F4";0;7.11461023242163;9.04667417837658;29.06;0
1;"0";1;1;"F5";0;4.88559354564366;7.82095618060328;34.21;0
1;"0";1;1;"1";8;1.08481926476963;-0.81113596822405;41.39;1.61627011677333
1;"0";1;1;"p";0;-2.76066857249755;-4.63635796092332;37.75;0.199884656545049
1;"0";1;1;"F1";0;-7.45245149179879;-6.78802546268869;37.26;0
1;"0";1;1;"F2";0;-5.68033181664949;-4.48780985171898;31.05;0
1;"0";1;1;"F3";0;0.615117942716394;-6.81841327729357;30.41;0
1;"0";1;1;"F4";0;2.97873172954089;-9.10820144800568;37.58;0
1;"0";1;1;"F5";0;0.380521248719009;-7.6978815207029;42.99;0
1;"0";1;1;"1";9;1.86697025461573;1.244208243601;46.66;1.61574683929119
1;"0";1;1;"p";0;3.06877807331965;2.20735826665147;51.17;0.193892232256873
1;"0";1;1;"F1";0;2.7812325482191;4.58681567770018;56.56;0
1;"0";1;1;"F2";0;3.57960012045599;7.61387848173987;56.47;0
1;"0";1;1;"F3";0;0.801463897477566;11.414517786722;53.71;0
1;"0";1;1;"F4";0;-3.11417739716705;5.5500610129301;47.25;0
1;"0";1;1;"F5";0;-2.80158091400335;2.03858220212778;50.53;0
1;"0";1;1;"1";10;5.30130826398277;1.71348687876015;51.04;1.61152684663267
1;"0";1;1;"p";0;7.26548725752932;-5.56737851494894;49.61;0.184019815020213
1;"0";1;1;"F1";0;3.25086815679027;-10.0368788758373;51.21;0
1;"0";1;1;"F2";0;2.26828759794502;-9.91304251050249;45.58;0
1;"0";1;1;"F3";0;8.88655112269099;-8.26104737824062;41.33;0
1;"0";1;1;"F4";0;13.4275996869798;-6.05211597668675;44.24;0
1;"0";1;1;"F5";0;14.0070395498392;-5.93788180785147;50.88;0
1;"0";1;1;"1";11;6.23068602469562;2.72440575675796;54.67;1.5551591890823
1;"0";1;1;"p";0;10.9408261887438;6.82087736474208;58.1;0.187575188389164
1;"0";1;1;"F1";0;14.3755430760169;2.97779007659978;62.15;0
1;"0";1;1;"F2";0;16.5210188787851;8.31792430522514;61.58;0
1;"0";1;1;"F3";0;16.397910670565;12.2443659982939;54.57;0
1;"0";1;1;"F4";0;13.196209252183;13.5854133604443;54.51;0
1;"0";1;1;"F5";0;7.17224117063722;10.2985442494943;57.34;0
1;"0";1;1;"1";12;6.45690062861214;1.61547521205514;59.19;1.49378578550528
1;"0";1;1;"1";13;8.00192480761986;2.38189564907489;64.95;1.45688258187785
1;"0";1;1;"p";0;9.01993818133392;0.940317079957243;65.62;0.222498618362862
1;"0";1;1;"F1";0;11.2843817632412;3.55504369365108;68.58;0
1;"0";1;1;"F2";0;8.91423291795034;3.94861001737092;70.03;0
1;"0";1;1;"F3";0;4.08808496113781;0.559628474347384;70.09;0
1;"0";1;1;"F4";0;5.64494316590506;-4.03887046881318;67.15;0
1;"0";1;1;"F5";0;7.87858039158898;-3.93608552809191;63.32;0
1;"0";1;1;"1";14;6.84599914853635;2.84226058113679;70.49;1.42670064353472
1;"0";1;1;"p";0;1.21682933660799;-3.91433969033661;70.32;0.205044468963123
1;"0";1;1;"F1";0;-4.11901764756555;-2.52944367926355;70.38;0
1;"0";1;1;"F2";0;-6.52533338457945;-3.02040658397152;66.29;0
1;"0";1;1;"F3";0;-2.86636199640218;-7.04156666291641;60.48;0
1;"0";1;1;"F4";0;1.75283909216325;-11.4898788488355;64.21;0
1;"0";1;1;"F5";0;5.00685057697366;-11.1949055335645;70.35;0
1;"0";1;1;"1";15;7.41967177375655;4.72603331665267;73.79;1.38025968866415
1;"0";1;1;"p";0;7.49648520047717;2.22495361031074;79.33;0.218876724213706
1;"0";1;1;"F1";0;0.211332562316277;1.02135440845932;78.15;0
1;"0";1;1;"F2";0;3.91866598666375;-3.67230928642936;75.29;0
1;"0";1;1;"F3";0;11.2494527371553;-5.87611636029439;74.96;0
1;"0";1;1;"F4";0;13.0869247714322;-2.31767617908435;80.78;0
1;"0";1;1;"F5";0;10.8248698991709;0.871603952054748;84.91;0
1;"0";1;1;"1";16;7.17628036779927;4.7070432269704;79.06;1.36889959163323
1;"0";1;1;"p";0;5.00158535365347;-2.4702753249297;81.99;0.175249231561401
1;"0";1;1;"F1";0;2.24053062053635;-4.63893314965253;83.39;0
1;"0";1;1;"F2";0;0.505430905101638;-7.58213361470727;80.72;0
1;"0";1;1;"F3";0;5.32712289759751;-10.7500171872997;77.71;0
1;"0";1;1;"F4";0;8.27822534290812;-10.5748191357075;81.41;0
1;"0";1;1;"F5";0;10.4592073682305;-6.33219996764395;85.3;0
1;"0";1;1;"1";17;7.87154154433972;4.91659488264412;85.34;1.33666334391943
1;"0";1;1;"p";0;8.65922178955032;12.6619715572355;82.08;0.218379547432164
1;"0";1;1;"F1";0;13.4938311638686;15.5528282118889;82.03;0
1;"0";1;1;"F2";0;13.4467288978295;14.555691623184;75.19;0
1;"0";1;1;"F3";0;8.83980820087565;12.2536964685458;74.06;0
1;"0";1;1;"F4";0;4.87250566949248;12.1487649457289;75.45;0
1;"0";1;1;"F5";0;3.05549187860622;12.7514762229829;83.84;0
1;"0";1;1;"1";18;8.69090489272316;2.81939586888175;90.55;1.32505751112688
1;"0";1;1;"p";0;5.95672032505018;-4.55934621564045;89.2;0.202666727216297
1;"0";1;1;"F1";0;1.6476814265506;-5.47650692741211;87.59;0
1;"0";1;1;"F2";0;4.70788956773208;-9.00615650387811;82.62;0
1;"0";1;1;"F3";0;10.529739703514;-8.60533110985275;82.74;0
1;"0";1;1;"F4";0;11.0341178590878;-12.9950580576457;88.76;0
1;"0";1;1;"F5";0;12.4564008683026;-7.20106021145189;93.03;0
1;"0";1;1;"1";19;9.36957652870622;3.6628440359389;96.63;1.31389290683201
1;"0";1;1;"p";0;8.80870229417111;11.5675970423923;92.74;0.160212966082733
1;"0";1;1;"F1";0;13.8622790415794;16.1280204940089;92.97;0
1;"0";1;1;"F2";0;11.757725645332;16.4034383626083;86.04;0
1;"0";1;1;"F3";0;6.8123162786387;14.858955861632;83.8;0
1;"0";1;1;"F4";0;2.88580709762397;11.8088696904875;86.34;0
1;"0";1;1;"F5";0;3.71747274211298;9.83835395703678;94.71;0
1;"0";1;1;"1";20;10.4753724474299;1.2962821022186;104.63;1.2998244636313
1;"0";1;1;"p";0;12.8473067561288;-4.63883606300921;99.24;0.210072159444675
1;"0";1;1;"F1";0;9.7524176361512;-5.70942530965987;96.58;0
1;"0";1;1;"F2";0;12.4902802822986;-7.73007078347033;92.22;0
1;"0";1;1;"F3";0;17.019806210788;-7.39556388796206;91.37;0
1;"0";1;1;"F4";0;21.6975806980005;-2.31555150148273;95.99;0
1;"0";1;1;"F5";0;20.5021729618711;-7.2364356033898;100.71;0
1;"0";1;1;"1";21;11.7344838296348;1.16690464204034;111.9;1.29260833093796
1;"0";1;1;"p";0;8.57127052467579;6.26951001452706;106.95;0.196884089865893
1;"0";1;1;"F1";0;10.3038903635607;11.308729050638;107.94;0
1;"0";1;1;"F2";0;7.58151022294991;12.0988216844524;102.57;0
1;"0";1;1;"F3";0;8.19678960281766;10.753187527369;99.52;0
1;"0";1;1;"F4";0;6.05054005948281;4.45404370477412;100.03;0
