"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.153584633087064;-0.102543073026937;24.05;1.87470923785153
1;"0";1;1;"1";0;0.0240523386774691;0.860704094766636;24.02;1.84267820802588
1;"0";1;1;"1";1;-0.195585158555251;1.23694785858119;25.23;1.83591246782415
1;"0";1;1;"1";2;-0.438394856977471;0.556989440475993;26.07;1.77728678398025
1;"0";1;1;"1";3;-1.1573260733711;0.171323903909946;28.95;1.77006315717933
1;"0";1;1;"1";4;-1.74918682749551;-0.66694863394829;32.76;1.76614602643043
1;"0";1;1;"1";5;1.41744938000181;-2.16408427555428;37.73;1.74218280119219
1;"0";1;1;"1";6;1.95816926649905;-2.59954036329034;41.97;1.71633675583527
1;"0";1;1;"1";7;4.43655877817906;-3.71810436610581;45.3;1.65192512748224
1;"0";1;1;"1";8;5.71548706940851;-4.01126375260558;51.23;1.59945830541889
1;"0";1;1;"1";9;5.97502925977554;-4.86016766437621;55.5;1.54677577977055
1;"0";1;1;"p";0;-3.84335244641247;-3.3927274878809;55.23;0.20974858104857
1;"0";1;1;"F1";0;-0.616419807904671;-0.484359260415001;53.15;0
1;"0";1;1;"F2";0;-5.26755950238505;1.16227352877298;49.69;0
1;"0";1;1;"F3";0;-7.30280572491981;-4.65208566323244;48.89;0
1;"0";1;1;"F4";0;-7.60259119963342;-8.29585138966859;52.95;0
1;"0";1;1;"F5";0;-5.68510021518651;-6.59734371392354;57.02;0
1;"0";1;1;"1";10;7.40072362322405;-4.73408998185012;59.85;1.53253563108844
1;"0";1;1;"p";0;15.4278594609586;-3.62161964851208;58.79;0.199884656545049
1;"0";1;1;"F1";0;16.0307585136599;-7.77818225868072;59.2;0
1;"0";1;1;"F2";0;17.8294064286525;-7.8370522671125;54.53;0
1;"0";1;1;"F3";0;17.2897402067956;-4.3542860721194;53.38;0
1;"0";1;1;"F4";0;17.1876715686816;0.358036284544413;55.57;0
1;"0";1;1;"F5";0;17.0719779962015;0.781137923972562;59.63;0
1;"0";1;1;"1";11;8.6023415609057;-4.35210263671718;66.61;1.53203946316577
1;"0";1;1;"1";12;9.49000144954698;-4.28096950732334;71.01;1.49404704033052
1;"0";1;1;"p";0;13.7695568544422;-11.6529167084658;65.9;0.215271869222809
1;"0";1;1;"F1";0;10.5603647088467;-14.598504217376;65.29;0
1;"0";1;1;"F2";0;12.7506385631415;-15.9806765811543;61.02;0
1;"0";1;1;"F3";0;19.9413960951582;-15.4415048870302;60.01;0
1;"0";1;1;"F4";0;20.6089506770051;-11.2221126464041;63.68;0
1;"0";1;1;"F5";0;17.5372093794472;-9.18000456873595;67.02;0
1;"0";1;1;"1";13;9.49544837904853;-2.66899235768411;78.6;1.44696319495933
1;"0";1;1;"p";0;3.67918345795591;-6.4300377399771;74;0.207796864728229
