"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.182842804785393;0.126492609813694;26.34;1.87470923785153
1;"0";1;1;"1";0;-0.539645496358653;0.240034845506318;27.37;1.84267820802588
1;"0";1;1;"1";1;-0.618904796265049;0.712282623032426;28.39;1.83591246782415
1;"0";1;1;"1";2;-0.650568237697425;0.0253347163636228;29.35;1.77728678398025
1;"0";1;1;"1";3;-1.13447668423865;0.267889071851335;31;1.77006315717933
1;"0";1;1;"1";4;-1.45177150958558;-0.185789221444756;32.37;1.76614602643043
1;"0";1;1;"1";5;-2.0566005691073;-0.242196745393904;33.42;1.74218280119219
1;"0";1;1;"1";6;-2.54099966512291;-1.74414798154614;34.98;1.71633675583527
1;"0";1;1;"p";0;-3.53434054702001;-7.83550857605636;31.64;0.169200999161926
1;"0";1;1;"F1";0;-7.29706833404492;-6.00052094646574;29.23;0
1;"0";1;1;"F2";0;-3.33367701379254;-7.10452694398025;25.66;0
1;"0";1;1;"F3";0;-1.58252374722593;-9.14943824694504;24.66;0
1;"0";1;1;"F4";0;0.256947566742839;-10.0299183915741;29.59;0
1;"0";1;1;"F5";0;-0.553776985580266;-10.2612746109859;33.35;0
1;"0";1;1;"1";7;-3.90634495327367;-3.88924290814602;38.73;1.65980451935612
1;"0";1;1;"p";0;-7.86028176986228;-10.7472662130368;35.83;0.20974858104857
1;"0";1;1;"F1";0;-12.1597598797439;-8.63497173009926;37.9;0
1;"0";1;1;"F2";0;-9.563094417326;-6.19449462996374;34.41;0
1;"0";1;1;"F3";0;-5.05581796438273;-8.2958415734129;32.5;0
1;"0";1;1;"F4";0;-4.8071241562773;-13.7014545256885;33.16;0
1;"0";1;1;"F5";0;-3.97759358140424;-13.2515889620467;34.58;0
1;"0";1;1;"1";8;-6.60034152121981;-3.66928270289419;42.83;1.64452378930592
1;"0";1;1;"p";0;-12.9104655711145;-4.57968617111038;42.57;0.199884656545049
1;"0";1;1;"F1";0;-15.1724072407524;-0.238278578732544;42.43;0
1;"0";1;1;"F2";0;-14.4830693489159;0.890443384763508;40.46;0
1;"0";1;1;"F3";0;-9.53355279163928;-3.06490563261094;37.1;0
1;"0";1;1;"F4";0;-11.4756609766151;-7.79045489146432;37.92;0
1;"0";1;1;"F5";0;-12.3451970963227;-10.257843579232;42.5;0
1;"0";1;1;"1";9;-8.31534414740899;-5.16051239417727;45.73;1.64399136452193
1;"0";1;1;"p";0;-11.4366613326977;-12.2027761657795;47.27;0.193892232256873
1;"0";1;1;"F1";0;-16.8827318190463;-11.5921893515404;47.18;0
1;"0";1;1;"F2";0;-16.169119406766;-10.9790357614511;42.86;0
1;"0";1;1;"F3";0;-7.99764653676024;-13.4653042776737;41.24;0
1;"0";1;1;"F4";0;-7.23527666180762;-17.4222844613194;46.25;0
1;"0";1;1;"F5";0;-8.24926315431064;-16.006010690814;49.44;0
1;"0";1;1;"1";10;-10.0067642952797;-4.53258096211076;49.4;1.63969760307352
1;"0";1;1;"p";0;-12.146811082122;2.75656163150927;48.04;0.184019815020213
1;"0";1;1;"F1";0;-10.0178605089154;6.3562379304066;45.7;0
1;"0";1;1;"F2";0;-10.4291959907128;3.54965582374831;42.5;0
1;"0";1;1;"F3";0;-12.9409006315775;-0.69531058331063;42.58;0
1;"0";1;1;"F4";0;-15.708928054423;-0.979254567883482;45.7;0
1;"0";1;1;"F5";0;-15.8969601633873;0.196604235714318;50.63;0
1;"0";1;1;"1";11;-11.0514715905022;-4.93555325310458;53.92;1.58234459454663
1;"0";1;1;"p";0;-15.991064082042;-9.71844213091926;52.88;0.187575188389164
1;"0";1;1;"F1";0;-17.8654928010878;-4.93168780494678;53.43;0
1;"0";1;1;"F2";0;-19.4724357477458;-7.01251320996905;47.54;0
1;"0";1;1;"F3";0;-15.2665076448402;-9.73320591462882;45.74;0
1;"0";1;1;"F4";0;-16.1198783237531;-14.6449020050208;49.24;0
1;"0";1;1;"F5";0;-16.5233342350875;-14.5044622399636;54.04;0
1;"0";1;1;"1";12;-12.0364211650605;-3.81467219983558;57.27;1.51989833561649
1;"0";1;1;"p";0;-19.9539014906158;0.692212011506593;57.74;0.194015697642054
1;"0";1;1;"F1";0;-17.3143779652564;4.69415098643793;55.02;0
1;"0";1;1;"F2";0;-20.7074737583609;3.52308269687629;52.03;0
1;"0";1;1;"F3";0;-22.3737013490432;-0.437685614455344;50.97;0
1;"0";1;1;"F4";0;-26.1269430013022;-2.78365601063432;56.15;0
1;"0";1;1;"F5";0;-23.1699197433781;-2.28715480006584;60.53;0
1;"0";1;1;"1";13;-11.8571901778706;-4.28454053589468;61.27;1.47979423713561
1;"0";1;1;"p";0;-20.435970349101;-6.79137734225132;60.55;0.199101327819695
1;"0";1;1;"F1";0;-22.5791237652047;-0.968723871964512;62.12;0
1;"0";1;1;"F2";0;-22.2347089304409;-2.32691326287972;55.3;0
1;"0";1;1;"F3";0;-23.1987587832388;-6.79111620196306;52.4;0
1;"0";1;1;"F4";0;-23.4196967728726;-12.5540049224518;56.29;0
1;"0";1;1;"F5";0;-21.2565019241156;-12.7465874925654;61.89;0
1;"0";1;1;"1";14;-11.9026466477645;-3.46739078869727;65.97;1.44981605092856
1;"0";1;1;"p";0;-19.9532164776243;-2.78275554672431;69.69;0.182161577454309
1;"0";1;1;"F1";0;-18.4535954790024;2.71448347486574;69.15;0
1;"0";1;1;"F2";0;-20.9893205291564;0.907635813876718;63.96;0
1;"0";1;1;"F3";0;-25.9839048292926;-4.75881172129314;64.33;0
1;"0";1;1;"F4";0;-25.1646297517827;-6.73587731134599;67.19;0
1;"0";1;1;"F5";0;-20.6873363700639;-7.82965241346573;71.82;0
1;"0";1;1;"1";15;-10.8305898339389;-5.89456902441261;73.6;1.43058956115314
1;"0";1;1;"p";0;-16.8590544474214;1.87018560171623;75.49;0.216424423901962
1;"0";1;1;"F1";0;-13.1719781378665;4.9787975568368;76.72;0
1;"0";1;1;"F2";0;-13.0403394945837;6.08824393570991;72.13;0
1;"0";1;1;"F3";0;-18.9232026747732;5.2980409218137;69.38;0
1;"0";1;1;"F4";0;-22.007109207613;3.07203092706785;71.12;0
1;"0";1;1;"F5";0;-21.1014540786301;-1.77779265604804;74.68;0
1;"0";1;1;"1";16;-11.2366828124617;-7.99682697547249;79.63;1.41477931169491
1;"0";1;1;"p";0;-18.5958105075738;-10.726706014374;79.2;0.195514642294434
1;"0";1;1;"F1";0;-19.4455241601136;-5.28538386725868;78.5;0
1;"0";1;1;"F2";0;-23.5320035984619;-7.49924605808192;74.31;0
1;"0";1;1;"F3";0;-21.7699203652415;-11.8525508577948;71.61;0
1;"0";1;1;"F4";0;-18.2069169872981;-15.9709373050292;75.94;0
1;"0";1;1;"F5";0;-17.903905839887;-15.7576669495069;80.05;0
1;"0";1;1;"1";17;-12.1083337187812;-7.18133651108157;84.41;1.39480603425262
1;"0";1;1;"p";0;-17.4008318226343;-1.25559066598232;85.54;0.215642726014621
1;"0";1;1;"F1";0;-13.3705268844821;0.964936772602079;85.49;0
1;"0";1;1;"F2";0;-14.5242329833818;2.7039773809151;80.78;0
1;"0";1;1;"F3";0;-20.631314058582;2.42458385749156;78.97;0
1;"0";1;1;"F4";0;-23.7492529306204;0.871954735572272;79.98;0
1;"0";1;1;"F5";0;-23.1140028689034;-4.63648945122753;84.1;0
1;"0";1;1;"1";18;-12.2902088022932;-9.79440395261412;87.83;1.36856803555938
1;"0";1;1;"p";0;-20.4526791578736;-12.3933609923265;90.23;0.216083790194898
1;"0";1;1;"F1";0;-18.0354566189972;-6.36413755994751;92.28;0
1;"0";1;1;"F2";0;-20.791576290807;-5.88758288872584;86.63;0
1;"0";1;1;"F3";0;-24.4965124696321;-9.92688331216953;83.67;0
