"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;0.183713628444219;0.0342864627557444;27.29;1.87470923785153
1;"0";1;1;"1";0;-0.133847016468917;0.144537253239792;27.77;1.84267820802588
1;"0";1;1;"1";1;-1.25063832278944;-0.164294704508885;28.31;1.83591246782415
1;"0";1;1;"1";2;-1.01979279462605;0.243026228082313;28.99;1.77728678398025
1;"0";1;1;"1";3;-1.24120070140188;0.671953423323122;30.5;1.77006315717933
1;"0";1;1;"1";4;-1.16391116358843;1.29003620689227;32.41;1.76614602643043
1;"0";1;1;"1";5;-1.70724405885961;1.32594393469887;34.6;1.74218280119219
1;"0";1;1;"1";6;-2.51103645543387;1.29734702561051;38.88;1.71633675583527
1;"0";1;1;"1";7;-3.26330650761625;1.02350442740944;42.83;1.65192512748224
1;"0";1;1;"p";0;-3.53398717541979;4.68372736817103;48.04;0.18359063231764
1;"0";1;1;"F1";0;-0.772064003210738;8.30255043524888;48.75;0
1;"0";1;1;"F2";0;-0.961016178728813;8.69344310001376;44.71;0
1;"0";1;1;"F3";0;-5.27807138898423;7.65193730953221;43.81;0
1;"0";1;1;"F4";0;-7.46704769278239;3.65439021895152;45.32;0
1;"0";1;1;"F5";0;-8.48464711126292;3.07526033411731;46.9;0
1;"0";1;1;"1";8;-2.03007537316271;1.99697295233174;47.38;1.63124453452488
1;"0";1;1;"1";9;-2.97910791976862;2.0153366524684;51.99;1.59105743678496
1;"0";1;1;"1";10;-2.75759529597485;2.12548272593449;55.71;1.57640961597092
1;"0";1;1;"p";0;4.77168302544159;2.43752111884232;56.34;0.199884656545049
1;"0";1;1;"F1";0;5.53549341677832;-0.90707058809083;54.91;0
1;"0";1;1;"F2";0;5.9469752801415;-0.726841078511588;50.79;0
1;"0";1;1;"F3";0;7.5463730348922;3.97703251907779;50.82;0
1;"0";1;1;"F4";0;10.1119224746213;5.11459837312997;52.97;0
1;"0";1;1;"F5";0;5.65491584740116;6.51712891643921;57.79;0
1;"0";1;1;"1";11;-4.15705658345322;2.00925835306301;60.49;1.57589924357332
1;"0";1;1;"1";12;-2.57330355141595;2.57195394884526;65.14;1.53681915990246
1;"0";1;1;"1";13;-3.49404731876169;1.15525676352514;70.51;1.52313810198231
1;"0";1;1;"p";0;-11.8911111310089;1.79854467189014;72.74;0.230235623369017
1;"0";1;1;"F1";0;-13.3910413304017;8.74798417424926;73.47;0
1;"0";1;1;"F2";0;-14.7129230139153;6.92325712211483;67.44;0
1;"0";1;1;"F3";0;-16.0184992102975;1.18180514587743;65.1;0
1;"0";1;1;"F4";0;-16.8493960366241;-2.77426746012973;69.79;0
1;"0";1;1;"F5";0;-14.0033094396321;-2.30438334417952;73.62;0
1;"0";1;1;"1";14;-1.39971923131357;2.0747619903324;75.5;1.50191614363053
