Données de la station météo du campus de la Gaillarde (Montpellier SupAgro - INRA) entre le 2021-1-1 0:00 et le 2022-12-31 23:00.
longitude : 3°51'22'' Est
lattitude : 43°37'4'' Nord
altitude : 40m

jour heure (GMT),Tmoy (°C),RH (%),Vent (m/s),Précipitations (mm),Rg (J/cm²)
2021-01-01 00:00:00,6.48,82.8,0.001,4,-0.334
2021-01-01 01:00:00,6.751,81.5,0.002,0,-0.462
2021-01-01 02:00:00,6.48,87.4,0,0,-0.462
2021-01-01 03:00:00,5.734,83.1,0,0,-0.478
2021-01-01 04:00:00,5.399,83.3,0,0,-0.478
2021-01-01 05:00:00,4.588,84,0,0,-0.478
2021-01-01 06:00:00,4.052,88.9,0,0,-0.51
2021-01-01 07:00:00,3.373,89,0.002,0.5,-0.812
2021-01-01 08:00:00,2.837,87.3,0,0,4.675
2021-01-01 09:00:00,4.393,84.8,0.001,0,31.43
2021-01-01 10:00:00,6.218,87.5,0,0,72
2021-01-01 11:00:00,7.76,76,0.035,0,122.4
2021-01-01 12:00:00,8.14,56.08,0.05,0,115.8
2021-01-01 13:00:00,9.16,53.03,0.015,0,103.7
2021-01-01 14:00:00,10.03,47.72,0.195,0,123.8
2021-01-01 15:00:00,10.76,46.63,0.14,0,93.7
2021-01-01 16:00:00,8.2,52.61,0.094,0,22
2021-01-01 17:00:00,5.924,61.87,0.001,0,-0.414
2021-01-01 18:00:00,4.248,62.44,0,0,-0.947
2021-01-01 19:00:00,3.577,67.61,0.01,0,-0.956
2021-01-01 20:00:00,2.768,68.57,0.007,0,-0.948
2021-01-01 21:00:00,1.962,70.8,0,0,-0.956
2021-01-01 22:00:00,2.03,71,0,0,-0.948
2021-01-01 23:00:00,1.012,73.9,0,0,-0.956
2021-01-02 00:00:00,1.628,73.3,0,0,-0.454
2021-01-02 01:00:00,1.488,67.36,0.002,0,-0.852
2021-01-02 02:00:00,2.03,67.09,0.01,0,-0.629
2021-01-02 03:00:00,2.37,66.34,0.052,0,-0.335
2021-01-02 04:00:00,2.506,63.89,0.019,0,-0.167
2021-01-02 05:00:00,2.438,63.96,0.616,0,-0.303
2021-01-02 06:00:00,2.841,61.58,0.572,0,-0.048
2021-01-02 07:00:00,2.971,62.12,0.26,0,-0.175
2021-01-02 08:00:00,4.868,53.83,0.321,0,2.532
2021-01-02 09:00:00,4.527,56.34,0.435,0,14.84
2021-01-02 10:00:00,4.928,54.16,0.752,0,41.89
2021-01-02 11:00:00,5.598,55.98,0.649,0,33.36
2021-01-02 12:00:00,6.276,52.99,0.087,0,24.73
2021-01-02 13:00:00,5.802,57.61,0.157,0,31.4
2021-01-02 14:00:00,6.751,57.74,0.006,0,23.11
2021-01-02 15:00:00,6.344,57.95,0.015,0,6.535
2021-01-02 16:00:00,5.191,73.2,0.088,0,3.956
2021-01-02 17:00:00,4.112,72.7,0.34,0.5,0.406
2021-01-02 18:00:00,4.594,70.5,0.36,0,-0.024
2021-01-02 19:00:00,4.392,62.11,0.547,0,0.032
2021-01-02 20:00:00,4.392,54.1,1.36,0,-0.47
2021-01-02 21:00:00,4.527,53.01,1.133,0,-0.271
2021-01-02 22:00:00,4.663,51.11,1.717,0,-0.127
2021-01-02 23:00:00,4.661,51.38,1.859,0,-0.175
2021-01-03 00:00:00,4.457,52.67,1.885,0,-0.326
2021-01-03 01:00:00,4.254,52.06,2.034,0,-0.494
2021-01-03 02:00:00,3.916,52.33,1.979,0,-0.741
2021-01-03 03:00:00,3.781,51.99,1.895,0,-0.876
2021-01-03 04:00:00,3.577,52.47,1.735,0,-0.876
2021-01-03 05:00:00,2.763,50.43,0.969,0,-0.772
2021-01-03 06:00:00,2.967,53.9,0.779,0,-0.908
2021-01-03 07:00:00,2.703,54.79,0.31,0,-0.605
2021-01-03 08:00:00,2.777,52.01,0.441,0,3.026
2021-01-03 09:00:00,3.315,53.02,0.521,0,21.97
2021-01-03 10:00:00,5.546,47.11,0.611,0,63.61
2021-01-03 11:00:00,5.667,42.95,1.444,0,71.8
2021-01-03 12:00:00,6.005,43.16,0.839,0,48.87
2021-01-03 13:00:00,5.528,55.16,0.894,0,54.48
2021-01-03 14:00:00,5.186,59.03,0.271,0,42.09
2021-01-03 15:00:00,4.512,59.64,0.402,0,22.82
2021-01-03 16:00:00,4.716,65,0.071,0,7.52
2021-01-03 17:00:00,4.315,67.8,0.043,0,0.271
2021-01-03 18:00:00,3.572,70.8,0,0,-0.557
2021-01-03 19:00:00,3.849,68.35,0.146,0,-0.287
2021-01-03 20:00:00,3.916,68.42,0.57,0,-0.048
2021-01-03 21:00:00,3.577,70.3,0.501,0,-0.016
2021-01-03 22:00:00,3.441,70.7,1.042,0,-0.024
2021-01-03 23:00:00,3.306,76,0.23,0,-0.342
2021-01-04 00:00:00,3.17,81.4,0.089,0,-0.303
2021-01-04 01:00:00,2.898,81.8,0.003,0.5,-0.406
2021-01-04 02:00:00,2.627,83.6,0,0,-0.239
2021-01-04 03:00:00,2.695,83.2,0.003,0,-0.231
2021-01-04 04:00:00,2.695,85.2,0,0.5,-0.438
2021-01-04 05:00:00,1.747,84.5,0.001,0,-0.844
2021-01-04 06:00:00,1.487,86.8,0,0,-0.478
2021-01-04 07:00:00,0.401,84.9,0,0,-1.123
2021-01-04 08:00:00,1.147,84.4,0.026,0,3.545
2021-01-04 09:00:00,2.03,84.1,0,0,18.62
2021-01-04 10:00:00,4.802,70.7,0.103,0,95.7
2021-01-04 11:00:00,5.597,67.72,0.348,0,151.6
2021-01-04 12:00:00,5.309,63.69,0.138,0,113.5
2021-01-04 13:00:00,6.456,61.99,0.056,0,114.6
2021-01-04 14:00:00,5.837,63.26,0.215,0,110.2
2021-01-04 15:00:00,6.516,62.45,0.393,0,86.9
2021-01-04 16:00:00,5.707,65.03,0.184,0,33.74
2021-01-04 17:00:00,3.831,69,0.166,0,1.392
2021-01-04 18:00:00,3.772,73.4,0.099,0,-0.366
2021-01-04 19:00:00,3.237,75.5,0,0,-0.597
2021-01-04 20:00:00,1.949,75.3,0,0,-0.876
2021-01-04 21:00:00,1.555,79.7,0,0,-0.773
2021-01-04 22:00:00,1.962,81.4,0,0,-0.566
2021-01-04 23:00:00,2.302,81.1,0,0,-0.526
2021-01-05 00:00:00,1.691,78.7,0,0,-0.844
2021-01-05 01:00:00,1.691,81.2,0.011,0,-0.86
2021-01-05 02:00:00,1.283,82.2,0,0,-0.908
2021-01-05 03:00:00,0.741,83.5,0,0,-0.964
2021-01-05 04:00:00,-0.205,84.4,0.003,0,-1.235
2021-01-05 05:00:00,-0.74,85.7,0,0,-0.892
2021-01-05 06:00:00,-1.08,85.4,0,0,-0.813
2021-01-05 07:00:00,-1.216,85,0.001,0,-0.908
2021-01-05 08:00:00,-1.148,85.2,0,0,3.283
2021-01-05 09:00:00,0.754,84.7,0.004,0,35.77
2021-01-05 10:00:00,3.659,66.61,0.021,0,102.4
2021-01-05 11:00:00,5.736,48.38,0.572,0,136.7
2021-01-05 12:00:00,7.07,46.66,0.554,0,151
2021-01-05 13:00:00,7.12,40.27,0.48,0,136.7
2021-01-05 14:00:00,7.33,44.21,0.257,0,72.2
2021-01-05 15:00:00,7.33,42.85,0.523,0,50.96
2021-01-05 16:00:00,6.122,51.62,0.633,0,19.67
2021-01-05 17:00:00,5.391,56.99,0.032,0,1.074
2021-01-05 18:00:00,4.852,60.87,0.023,0,-0.581
2021-01-05 19:00:00,2.15,57.22,0.065,0,-1.083
2021-01-05 20:00:00,1.61,58.24,0.021,0,-0.597
2021-01-05 21:00:00,1.351,61.45,0.046,0,-0.964
2021-01-05 22:00:00,0.741,64.71,0.011,0,-0.908
2021-01-05 23:00:00,0.345,65.48,0,0,-0.916
2021-01-06 00:00:00,-0.333,66.7,0,0,-0.932
2021-01-06 01:00:00,-1.08,67.52,0,0,-0.924
2021-01-06 02:00:00,-0.605,65.75,0.018,0,-0.869
2021-01-06 03:00:00,-1.621,67.86,0,0,-0.94
2021-01-06 04:00:00,-1.883,71.4,0,0,-0.972
2021-01-06 05:00:00,-2.969,75.2,0.001,0,-0.956
2021-01-06 06:00:00,-3.513,77,0,0,-1.028
2021-01-06 07:00:00,-2.833,77.8,0,0,-1.028
2021-01-06 08:00:00,-2.697,76,0.007,0,3.914
2021-01-06 09:00:00,1.306,60.33,0.033,0,31.51
2021-01-06 10:00:00,3.594,48.55,0.699,0,103.4
2021-01-06 11:00:00,5.262,40.72,0.195,0,138.3
2021-01-06 12:00:00,6.729,35,0.178,0,152.8
2021-01-06 13:00:00,6.854,35.39,0.167,0,146.7
2021-01-06 14:00:00,7.19,36.54,0.269,0,121.4
2021-01-06 15:00:00,7.86,32.27,0.107,0,77
2021-01-06 16:00:00,4.827,44.01,0.333,0,25.87
2021-01-06 17:00:00,2.276,51.98,0.073,0,0.517
2021-01-06 18:00:00,1.274,60.01,0.099,0,-1.019
2021-01-06 19:00:00,0.808,65.52,0,0,-0.956
2021-01-06 20:00:00,-0.063,66.49,0.002,0,-0.956
2021-01-06 21:00:00,-1.827,71.8,0,0,-0.956
2021-01-06 22:00:00,-2.362,73.4,0,0,-0.908
2021-01-06 23:00:00,-2.63,73.4,0,0,-0.948
2021-01-07 00:00:00,-2.901,73.9,0.014,0,-0.956
2021-01-07 01:00:00,-2.562,75.9,0,0,-0.941
2021-01-07 02:00:00,-2.358,73.2,0,0,-0.917
2021-01-07 03:00:00,-3.037,73.4,0.001,0,-0.901
2021-01-07 04:00:00,-2.562,71.8,0,0,-0.925
2021-01-07 05:00:00,-2.765,71,0.002,0,-0.925
2021-01-07 06:00:00,-3.649,72.4,0.009,0,-0.837
2021-01-07 07:00:00,-4.192,74.7,0,0,-0.957
2021-01-07 08:00:00,-2.562,70.1,0.031,0,3.491
2021-01-07 09:00:00,1.104,57.07,0.297,0,34.62
2021-01-07 10:00:00,3.594,48.75,0.239,0,100.1
2021-01-07 11:00:00,5.873,37.53,0.586,0,136.7
2021-01-07 12:00:00,6.053,33.84,0.339,0,134.8
2021-01-07 13:00:00,6.249,33.97,0.265,0,109.6
2021-01-07 14:00:00,6.855,35.33,0.097,0,85.7
2021-01-07 15:00:00,6.327,40.02,0.015,0,39.02
2021-01-07 16:00:00,4.237,44.03,0.014,0,16.03
2021-01-07 17:00:00,3.436,52.73,0,0,0.581
2021-01-07 18:00:00,3.035,56.48,0,0,-0.581
2021-01-07 19:00:00,2.029,58.87,0,0,-0.581
2021-01-07 20:00:00,1.623,58.05,0,0,-0.335
2021-01-07 21:00:00,0.536,63.15,0.003,0,-0.892
2021-01-07 22:00:00,-0.07,67.23,0,0,-0.956
2021-01-07 23:00:00,-1.012,67.79,0,0,-0.932
2021-01-08 00:00:00,-0.401,66.02,0.003,0,-0.892
2021-01-08 01:00:00,-0.197,61.2,0.008,0,-0.884
2021-01-08 02:00:00,-1.216,63.58,0.006,0,-0.956
2021-01-08 03:00:00,-1.478,62.71,0.012,0,-0.781
2021-01-08 04:00:00,-1.142,58.36,0.016,0,-0.924
2021-01-08 05:00:00,-1.148,58.55,0.035,0,-0.956
2021-01-08 06:00:00,-2.099,62.01,0.003,0,-0.996
2021-01-08 07:00:00,-0.261,57.33,0.079,0,-0.765
2021-01-08 08:00:00,-0.061,55.63,0.039,0,3.53
2021-01-08 09:00:00,3.469,45.3,0.233,0,33.31
2021-01-08 10:00:00,6.499,35.43,0.664,0,103.7
2021-01-08 11:00:00,7.69,31.75,0.718,0,142.3
