time;Tac;hs;u;Rg
2021-01-01 00:00:00;6.48;82.8;0.001;0.0
2021-01-01 01:00:00;6.751;81.5;0.002;0.0
2021-01-01 02:00:00;6.48;87.4;0.0;0.0
2021-01-01 03:00:00;5.734;83.1;0.0;0.0
2021-01-01 04:00:00;5.399;83.3;0.0;0.0
2021-01-01 05:00:00;4.588;84.0;0.0;0.0
2021-01-01 06:00:00;4.052;88.9;0.0;0.0
2021-01-01 07:00:00;3.373;89.0;0.002;0.0
2021-01-01 08:00:00;2.837;87.3;0.0;12.98611111111111
2021-01-01 09:00:00;4.393;84.8;0.001;87.30555555555556
2021-01-01 10:00:00;6.218;87.5;0.0;200.0
2021-01-01 11:00:00;7.76;76.0;0.035;340.0
2021-01-01 12:00:00;8.14;56.08;0.05;321.6666666666667
2021-01-01 13:00:00;9.16;53.03;0.015;288.05555555555554
2021-01-01 14:00:00;10.03;47.72;0.195;343.8888888888889
2021-01-01 15:00:00;10.76;46.63;0.14;260.27777777777777
2021-01-01 16:00:00;8.2;52.61;0.094;61.111111111111114
2021-01-01 17:00:00;5.924;61.87;0.001;0.0
2021-01-01 18:00:00;4.248;62.44;0.0;0.0
2021-01-01 19:00:00;3.577;67.61;0.01;0.0
2021-01-01 20:00:00;2.768;68.57;0.007;0.0
2021-01-01 21:00:00;1.962;70.8;0.0;0.0
2021-01-01 22:00:00;2.03;71.0;0.0;0.0
2021-01-01 23:00:00;1.012;73.9;0.0;0.0
2021-01-02 00:00:00;1.628;73.3;0.0;0.0
2021-01-02 01:00:00;1.488;67.36;0.002;0.0
2021-01-02 02:00:00;2.03;67.09;0.01;0.0
2021-01-02 03:00:00;2.37;66.34;0.052;0.0
2021-01-02 04:00:00;2.506;63.89;0.019;0.0
2021-01-02 05:00:00;2.438;63.96;0.616;0.0
2021-01-02 06:00:00;2.841;61.58;0.572;0.0
2021-01-02 07:00:00;2.971;62.12;0.26;0.0
2021-01-02 08:00:00;4.868;53.83;0.321;7.033333333333333
2021-01-02 09:00:00;4.527;56.34;0.435;41.22222222222222
2021-01-02 10:00:00;4.928;54.16;0.752;116.36111111111111
2021-01-02 11:00:00;5.598;55.98;0.649;92.66666666666667
2021-01-02 12:00:00;6.276;52.99;0.087;68.69444444444444
2021-01-02 13:00:00;5.802;57.61;0.157;87.22222222222223
2021-01-02 14:00:00;6.751;57.74;0.006;64.19444444444444
2021-01-02 15:00:00;6.344;57.95;0.015;18.15277777777778
2021-01-02 16:00:00;5.191;73.2;0.088;10.988888888888889
2021-01-02 17:00:00;4.112;72.7;0.34;1.127777777777778
2021-01-02 18:00:00;4.594;70.5;0.36;0.0
2021-01-02 19:00:00;4.392;62.11;0.547;0.08888888888888889
2021-01-02 20:00:00;4.392;54.1;1.36;0.0
2021-01-02 21:00:00;4.527;53.01;1.133;0.0
2021-01-02 22:00:00;4.663;51.11;1.717;0.0
2021-01-02 23:00:00;4.661;51.38;1.859;0.0
2021-01-03 00:00:00;4.457;52.67;1.885;0.0
2021-01-03 01:00:00;4.254;52.06;2.034;0.0
2021-01-03 02:00:00;3.916;52.33;1.979;0.0
2021-01-03 03:00:00;3.781;51.99;1.895;0.0
2021-01-03 04:00:00;3.577;52.47;1.735;0.0
2021-01-03 05:00:00;2.763;50.43;0.969;0.0
2021-01-03 06:00:00;2.967;53.9;0.779;0.0
2021-01-03 07:00:00;2.703;54.79;0.31;0.0
2021-01-03 08:00:00;2.777;52.01;0.441;8.405555555555555
2021-01-03 09:00:00;3.315;53.02;0.521;61.02777777777778
2021-01-03 10:00:00;5.546;47.11;0.611;176.69444444444446
2021-01-03 11:00:00;5.667;42.95;1.444;199.44444444444446
2021-01-03 12:00:00;6.005;43.16;0.839;135.75
2021-01-03 13:00:00;5.528;55.16;0.894;151.33333333333334
2021-01-03 14:00:00;5.186;59.03;0.271;116.91666666666669
2021-01-03 15:00:00;4.512;59.64;0.402;63.388888888888886
2021-01-03 16:00:00;4.716;65.0;0.071;20.88888888888889
2021-01-03 17:00:00;4.315;67.8;0.043;0.7527777777777778
2021-01-03 18:00:00;3.572;70.8;0.0;0.0
2021-01-03 19:00:00;3.849;68.35;0.146;0.0
2021-01-03 20:00:00;3.916;68.42;0.57;0.0
2021-01-03 21:00:00;3.577;70.3;0.501;0.0
2021-01-03 22:00:00;3.441;70.7;1.042;0.0
2021-01-03 23:00:00;3.306;76.0;0.23;0.0
2021-01-04 00:00:00;3.17;81.4;0.089;0.0
2021-01-04 01:00:00;2.898;81.8;0.003;0.0
2021-01-04 02:00:00;2.627;83.6;0.0;0.0
2021-01-04 03:00:00;2.695;83.2;0.003;0.0
2021-01-04 04:00:00;2.695;85.2;0.0;0.0
2021-01-04 05:00:00;1.747;84.5;0.001;0.0
2021-01-04 06:00:00;1.487;86.8;0.0;0.0
2021-01-04 07:00:00;0.401;84.9;0.0;0.0
2021-01-04 08:00:00;1.147;84.4;0.026;9.847222222222221
2021-01-04 09:00:00;2.03;84.1;0.0;51.72222222222222
2021-01-04 10:00:00;4.802;70.7;0.103;265.8333333333333
2021-01-04 11:00:00;5.597;67.72;0.348;421.1111111111111
2021-01-04 12:00:00;5.309;63.69;0.138;315.27777777777777
2021-01-04 13:00:00;6.456;61.99;0.056;318.3333333333333
2021-01-04 14:00:00;5.837;63.26;0.215;306.1111111111111
2021-01-04 15:00:00;6.516;62.45;0.393;241.38888888888889
2021-01-04 16:00:00;5.707;65.03;0.184;93.72222222222223
2021-01-04 17:00:00;3.831;69.0;0.166;3.8666666666666663
2021-01-04 18:00:00;3.772;73.4;0.099;0.0
2021-01-04 19:00:00;3.237;75.5;0.0;0.0
2021-01-04 20:00:00;1.949;75.3;0.0;0.0
2021-01-04 21:00:00;1.555;79.7;0.0;0.0
2021-01-04 22:00:00;1.962;81.4;0.0;0.0
2021-01-04 23:00:00;2.302;81.1;0.0;0.0
2021-01-05 00:00:00;1.691;78.7;0.0;0.0
2021-01-05 01:00:00;1.691;81.2;0.011;0.0
2021-01-05 02:00:00;1.283;82.2;0.0;0.0
2021-01-05 03:00:00;0.741;83.5;0.0;0.0
2021-01-05 04:00:00;-0.205;84.4;0.003;0.0
2021-01-05 05:00:00;-0.74;85.7;0.0;0.0
2021-01-05 06:00:00;-1.08;85.4;0.0;0.0
2021-01-05 07:00:00;-1.216;85.0;0.001;0.0
2021-01-05 08:00:00;-1.148;85.2;0.0;9.119444444444444
2021-01-05 09:00:00;0.754;84.7;0.004;99.36111111111113
2021-01-05 10:00:00;3.659;66.61;0.021;284.44444444444446
2021-01-05 11:00:00;5.736;48.38;0.572;379.72222222222223
2021-01-05 12:00:00;7.07;46.66;0.554;419.44444444444446
2021-01-05 13:00:00;7.12;40.27;0.48;379.72222222222223
2021-01-05 14:00:00;7.33;44.21;0.257;200.55555555555554
2021-01-05 15:00:00;7.33;42.85;0.523;141.55555555555554
2021-01-05 16:00:00;6.122;51.62;0.633;54.6388888888889
2021-01-05 17:00:00;5.391;56.99;0.032;2.9833333333333334
2021-01-05 18:00:00;4.852;60.87;0.023;0.0
2021-01-05 19:00:00;2.15;57.22;0.065;0.0
2021-01-05 20:00:00;1.61;58.24;0.021;0.0
2021-01-05 21:00:00;1.351;61.45;0.046;0.0
2021-01-05 22:00:00;0.741;64.71;0.011;0.0
2021-01-05 23:00:00;0.345;65.48;0.0;0.0
2021-01-06 00:00:00;-0.333;66.7;0.0;0.0
2021-01-06 01:00:00;-1.08;67.52;0.0;0.0
2021-01-06 02:00:00;-0.605;65.75;0.018;0.0
2021-01-06 03:00:00;-1.621;67.86;0.0;0.0
2021-01-06 04:00:00;-1.883;71.4;0.0;0.0
2021-01-06 05:00:00;-2.969;75.2;0.001;0.0
2021-01-06 06:00:00;-3.513;77.0;0.0;0.0
2021-01-06 07:00:00;-2.833;77.8;0.0;0.0
2021-01-06 08:00:00;-2.697;76.0;0.007;10.872222222222222
2021-01-06 09:00:00;1.306;60.33;0.033;87.52777777777777
2021-01-06 10:00:00;3.594;48.55;0.699;287.22222222222223
2021-01-06 11:00:00;5.262;40.72;0.195;384.1666666666667
2021-01-06 12:00:00;6.729;35.0;0.178;424.44444444444446
2021-01-06 13:00:00;6.854;35.39;0.167;407.5
2021-01-06 14:00:00;7.19;36.54;0.269;337.22222222222223
2021-01-06 15:00:00;7.86;32.27;0.107;213.88888888888889
2021-01-06 16:00:00;4.827;44.01;0.333;71.86111111111111
2021-01-06 17:00:00;2.276;51.98;0.073;1.4361111111111111
2021-01-06 18:00:00;1.274;60.01;0.099;0.0
2021-01-06 19:00:00;0.808;65.52;0.0;0.0
2021-01-06 20:00:00;-0.063;66.49;0.002;0.0
2021-01-06 21:00:00;-1.827;71.8;0.0;0.0
2021-01-06 22:00:00;-2.362;73.4;0.0;0.0
2021-01-06 23:00:00;-2.63;73.4;0.0;0.0
2021-01-07 00:00:00;-2.901;73.9;0.014;0.0
2021-01-07 01:00:00;-2.562;75.9;0.0;0.0
2021-01-07 02:00:00;-2.358;73.2;0.0;0.0
2021-01-07 03:00:00;-3.037;73.4;0.001;0.0
2021-01-07 04:00:00;-2.562;71.8;0.0;0.0
2021-01-07 05:00:00;-2.765;71.0;0.002;0.0
2021-01-07 06:00:00;-3.649;72.4;0.009;0.0
2021-01-07 07:00:00;-4.192;74.7;0.0;0.0
2021-01-07 08:00:00;-2.562;70.1;0.031;9.697222222222223
2021-01-07 09:00:00;1.104;57.07;0.297;96.16666666666667
2021-01-07 10:00:00;3.594;48.75;0.239;278.05555555555554
2021-01-07 11:00:00;5.873;37.53;0.586;379.72222222222223
2021-01-07 12:00:00;6.053;33.84;0.339;374.44444444444446
2021-01-07 13:00:00;6.249;33.97;0.265;304.44444444444446
2021-01-07 14:00:00;6.855;35.33;0.097;238.05555555555554
2021-01-07 15:00:00;6.327;40.02;0.015;108.3888888888889
2021-01-07 16:00:00;4.237;44.03;0.014;44.52777777777778
2021-01-07 17:00:00;3.436;52.73;0.0;1.613888888888889
2021-01-07 18:00:00;3.035;56.48;0.0;0.0
