heure;Tmoy;Vent;Rg_2
00:00:00;24.94;0;-2.536111111
01:00:00;25.41;0;-1.830555556
02:00:00;26.84;0.048;-1.830555556
03:00:00;25.55;0.185;-3.397222222
04:00:00;24.47;0.072;-3.022222222
05:00:00;23.92;0.268;22
06:00:00;27.51;0.232;142.3888889
07:00:00;30.99;0.291;315.2777778
08:00:00;31.5;0.858;493.3333333
09:00:00;34.8;0.769;655
10:00:00;36.6;0.609;748.6111111
11:00:00;37.39;0.411;758.8888889
12:00:00;39.53;0.719;897.2222222
13:00:00;39.45;1.405;886.3888889
14:00:00;38.62;1.8;808.8888889
15:00:00;38.09;2.128;692.7777778
16:00:00;34.66;2.334;529.1666667
17:00:00;33.6;2.198;361.9444444
18:00:00;30.39;1.209;138.7777778
19:00:00;27.71;0.616;63.16666667
20:00:00;26.12;0.439;2.225
21:00:00;25.19;0.012;-3.969444444
22:00:00;24.86;0;-3.772222222
23:00:00;23.79;0;-3.463888889
