heure;RH;Rg_2;Vent;Tmoy
00:00:00;46.25;2.1;0;24.68035219
01:00:00;46.53;2.03;0;23.37323664
02:00:00;53.57;1.41;0;22.53606979
03:00:00;54.18;1.52;0;22.25889132
04:00:00;51.41;1.39;0;22.32274215
05:00:00;53.65;18.41;0;23.57320181
06:00:00;48.09;142.08;0.001;26.90837953
07:00:00;40.07;316.39;0.023;31.22910875
08:00:00;33.68;473.33;0.06;34.66242629
09:00:00;27.18;623.89;0.365;37.15227429
10:00:00;16.76;752.5;0.468;39.37421287
11:00:00;15.68;846.94;0.649;41.1961044
12:00:00;13.37;889.17;0.862;42.63492417
13:00:00;14.99;876.94;1.099;43.64925062
14:00:00;12.29;803.06;1.066;44.54852069
15:00:00;9.39;700.56;1.274;45.32268301
16:00:00;6.617;576.11;1.121;44.70300941
17:00:00;8.37;350.56;1.145;42.4572783
18:00:00;11.55;65.08;0.194;39.44188852
19:00:00;16.36;56.53;0;36.43355089
20:00:00;26.65;9.06;0;34.00789271
21:00:00;31.46;3.46;0.002;31.56716008
22:00:00;37.22;3.53;0;29.17121153
23:00:00;37.84;3.16;0.002;26.79983077
